Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x77,x73,LBL
All Timesteps RMSE,0.032133,0.0607958,0,0,0,0.0382221,0,0.0200925,0.057457,0,0,0,0.0206766,0,0,0.0426505,0.0569456,0.035168,0.0375599,0.0262914,0,0,0.059387,0.0401527,0.0385797,0.061916,0.0617436,0.0287185,0.0615805,0.0655915,0.0360759,0.0385004,0,0.0303223,0,0.0343252,0.0132822,0.014252,0.0206523,0,0.025469,0.0519054,0.0411709,0,0,0.021996,0,0,0.0230836,0.0726309,0.028025,0.0235661,0.0316473,0.0553902,0.0342395,0.0327719,0.0456833,0.0662023,0.0574208,0.0288246,0.0254877,0.0128201,0.0361446,0.0418269,0.0344491,0.0101324,0.00988793,0.0568839,0.0482991,0,0,0,0,0,0,0,0,0
0,0.0322897,0.0599209,0,0,0,0.0418963,0,0.0217495,0.0699993,0,0,0,0.0222989,0,0,0.0424693,0.0568258,0.0232619,0.0399873,0.0293935,0,0,0.0572819,0.0447481,0.0276954,0.0498058,0.057277,0.0277512,0.0604043,0.065631,0.0389922,0.0354018,0,0.00675831,0,0.0324239,0.0130648,0.0156658,0.0186553,0,0.0261164,0.0447949,0.0413045,0,0,0.0204696,0,0,0.0237751,0.0770043,0.0447559,0.0192904,0.0295502,0.0606028,0.0322108,0.0369129,0.0575625,0.0752104,0.0602087,0.0230639,0.022689,0.00905991,0.0281969,0.0608083,0.033546,0.00932151,0.00917972,0.0549276,0.0513854,0,0,0,0,0,0,0,0,0
1,0.0318928,0.0604167,0,0,0,0.0414357,0,0.0220323,0.070387,0,0,0,0.0223076,0,0,0.042317,0.057207,0.02364,0.0398805,0.0297278,0,0,0.0568024,0.0447127,0.0273875,0.0491985,0.0571112,0.0276107,0.0601812,0.0652217,0.0388645,0.0353999,0,0.00607095,0,0.032257,0.0130748,0.015546,0.0185164,0,0.0263461,0.0449053,0.0408473,0,0,0.0203882,0,0,0.0237035,0.0770756,0.0452604,0.0192766,0.029316,0.0604382,0.0321862,0.0370935,0.0583616,0.0750732,0.0604551,0.0234955,0.0227923,0.00896479,0.0285618,0.0609719,0.0336649,0.00927468,0.00908983,0.0551518,0.0511901,0,0,0,0,0,0,0,0,0
2,0.0318392,0.0605211,0,0,0,0.0408191,0,0.0223151,0.0707884,0,0,0,0.022269,0,0,0.0423374,0.0577212,0.0239079,0.0397292,0.0300122,0,0,0.0564439,0.044649,0.0270125,0.0489368,0.0569658,0.0276145,0.0600015,0.0649608,0.0384026,0.0352537,0,0.00559704,0,0.0322326,0.0131285,0.0153902,0.0179761,0,0.0264131,0.0452077,0.0407615,0,0,0.0203954,0,0,0.0236595,0.077057,0.0445643,0.019268,0.0290501,0.0604218,0.032057,0.037212,0.0589385,0.0749269,0.060658,0.0238832,0.0227875,0.00880725,0.029084,0.059925,0.0336372,0.00929269,0.00903391,0.0550088,0.0510543,0,0,0,0,0,0,0,0,0
3,0.0317703,0.0606156,0,0,0,0.0417224,0,0.0222323,0.0709648,0,0,0,0.0221671,0,0,0.0423259,0.0581339,0.0234028,0.0396574,0.0301125,0,0,0.0563422,0.0446625,0.0268883,0.0489963,0.0568276,0.0276929,0.0601864,0.0651073,0.0384415,0.0354316,0,0.0062757,0,0.03231,0.0131832,0.0155624,0.016914,0,0.0265837,0.0458655,0.0407457,0,0,0.0204793,0,0,0.0236655,0.0767267,0.0446087,0.018787,0.0290749,0.0600191,0.0314919,0.036918,0.0587344,0.074361,0.0606039,0.0243245,0.0226577,0.00862512,0.0296226,0.0583596,0.0336577,0.00912566,0.00870062,0.0548855,0.0509111,0,0,0,0,0,0,0,0,0
4,0.0319653,0.0605028,0,0,0,0.0418966,0,0.0222357,0.0715066,0,0,0,0.0218997,0,0,0.0426792,0.0580603,0.0245421,0.0395677,0.02943,0,0,0.055721,0.0443097,0.0260226,0.0485405,0.05678,0.0277027,0.0602089,0.0652406,0.0384798,0.0354207,0,0.00609749,0,0.0323197,0.0128298,0.01489,0.016502,0,0.0257619,0.0457861,0.0408726,0,0,0.0205561,0,0,0.0236885,0.0769057,0.0414452,0.019284,0.0283239,0.0601224,0.0313998,0.0374331,0.059354,0.0743172,0.0610964,0.0250246,0.0227492,0.0083708,0.0306411,0.0543765,0.0334877,0.00922526,0.00886583,0.0546948,0.0506347,0,0,0,0,0,0,0,0,0
5,0.0319933,0.0606444,0,0,0,0.0423386,0,0.0222374,0.0716836,0,0,0,0.0216585,0,0,0.0428305,0.0582654,0.0246891,0.0395157,0.0291323,0,0,0.0554306,0.0441838,0.0256212,0.048008,0.0566482,0.0277921,0.0603659,0.0653147,0.0386607,0.0355157,0,0.00650125,0,0.0324316,0.0127368,0.0146434,0.0160951,0,0.0252815,0.0462068,0.0407631,0,0,0.0206642,0,0,0.0236138,0.076782,0.0392395,0.0192502,0.0281746,0.0597713,0.0312239,0.0374435,0.0590227,0.0737354,0.0612995,0.0260076,0.0226288,0.00810801,0.0318465,0.0500264,0.0334433,0.00925087,0.0087728,0.0547532,0.0504141,0,0,0,0,0,0,0,0,0
6,0.0320407,0.0607722,0,0,0,0.0426343,0,0.0223477,0.0718073,0,0,0,0.0214225,0,0,0.0429101,0.0585152,0.0246308,0.0394885,0.0289354,0,0,0.0550671,0.0440166,0.0253291,0.0476305,0.0564802,0.0278305,0.0604995,0.0653854,0.0387919,0.0354801,0,0.00688254,0,0.0325215,0.0125999,0.014407,0.0165262,0,0.0248669,0.0467976,0.0407073,0,0,0.0207434,0,0,0.0235048,0.0765899,0.0367425,0.0188353,0.0284158,0.0593406,0.0310142,0.0373417,0.0584143,0.0729934,0.0615433,0.0271364,0.0225106,0.00800313,0.0332685,0.0450216,0.0334188,0.00926866,0.00869453,0.0548983,0.0501305,0,0,0,0,0,0,0,0,0
7,0.0322191,0.0608587,0,0,0,0.0425615,0,0.0223896,0.0717705,0,0,0,0.0212149,0,0,0.0427159,0.0589907,0.0239599,0.0395662,0.0288841,0,0,0.0549376,0.0439652,0.0250618,0.047212,0.0563366,0.0279724,0.0608102,0.0656335,0.0390668,0.035794,0,0.00670644,0,0.0327756,0.0125836,0.0144283,0.0176354,0,0.0249404,0.0476926,0.0404612,0,0,0.0208724,0,0,0.0231425,0.0762508,0.0341637,0.0185208,0.0294079,0.0588989,0.0307599,0.0369439,0.0572608,0.0719338,0.0616462,0.0284838,0.0225432,0.00810019,0.0348972,0.0395267,0.0335083,0.00952552,0.0086107,0.0550127,0.0500386,0,0,0,0,0,0,0,0,0
8,0.0323146,0.0609534,0,0,0,0.0426692,0,0.0227309,0.0716871,0,0,0,0.0210394,0,0,0.0426893,0.0592186,0.0236231,0.0396021,0.028858,0,0,0.0546205,0.0435906,0.024987,0.0470845,0.0562055,0.0278567,0.0608936,0.0656572,0.0391974,0.0358482,0,0.00664635,0,0.0327942,0.0124876,0.0142396,0.0195856,0,0.0247686,0.0484012,0.0405207,0,0,0.0207774,0,0,0.0230197,0.0759149,0.0313093,0.0189624,0.030171,0.0586144,0.0303754,0.0369479,0.0559375,0.071103,0.0619607,0.029787,0.0228088,0.00873294,0.0364883,0.0340991,0.0336592,0.00956435,0.00848468,0.055163,0.0497265,0,0,0,0,0,0,0,0,0
