Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LHEE,LBR
All Timesteps RMSE,0.0291418,0.0625019,0,0,0,0.0423942,0,0.0188482,0.0565637,0,0,0,0.0228573,0,0,0.0426681,0.0585629,0.0367295,0.0277703,0,0,0.059576,0.0374248,0.037349,0.0612092,0.0609218,0.0278418,0.0620336,0.0657905,0.0364002,0.0390308,0,0.0269119,0,0.0326726,0.0140589,0.0133457,0.0204211,0,0.0277882,0.0499907,0.041766,0,0,0.0208067,0,0,0.0235238,0.0731742,0.0304051,0.0231081,0.0327357,0.0560856,0.0343168,0.0329195,0.0470252,0.0667687,0.0574885,0.0296013,0.0251166,0.0127312,0.0373539,0.0423397,0.0354419,0.0110965,0.00962627,0.0578733,0.046636,0,0,0,0,0,0,0,0,0.0323758,0
0,0.0287382,0.0611572,0,0,0,0.0444051,0,0.027654,0.068691,0,0,0,0.0284109,0,0,0.0410351,0.0576307,0.040183,0.0304634,0,0,0.0560612,0.0422019,0.0278479,0.0491343,0.0574807,0.026708,0.0593875,0.0656984,0.0372863,0.0326774,0,0.00961338,0,0.0288685,0.0138021,0.0155528,0.0226469,0,0.0275289,0.0412713,0.0405745,0,0,0.0181569,0,0,0.024134,0.0772855,0.0455091,0.0188834,0.0334401,0.0601233,0.0304463,0.035432,0.0588331,0.0757326,0.05863,0.0227994,0.0228429,0.00917648,0.0283766,0.0692375,0.0369337,0.00977748,0.00888893,0.0547014,0.0497476,0,0,0,0,0,0,0,0,0,0
1,0.0286335,0.0621881,0,0,0,0.044287,0,0.0278502,0.0690063,0,0,0,0.0269139,0,0,0.0414269,0.0578937,0.039987,0.0308689,0,0,0.0558782,0.0417098,0.0276573,0.0489513,0.0573903,0.0267267,0.0591415,0.0652747,0.037121,0.0325299,0,0.00952173,0,0.0296271,0.0139335,0.0153453,0.0223333,0,0.0274497,0.0416236,0.04023,0,0,0.018239,0,0,0.0240751,0.077491,0.0450904,0.0197131,0.0331644,0.0602463,0.0299939,0.0355363,0.0595085,0.0758629,0.0587825,0.0229248,0.023056,0.00901743,0.0286412,0.0690278,0.0367916,0.00957655,0.00876316,0.0547943,0.0497127,0,0,0,0,0,0,0,0,0,0
2,0.02875,0.0621876,0,0,0,0.04415,0,0.0277404,0.0692547,0,0,0,0.0272432,0,0,0.0413356,0.0582383,0.0398682,0.0310771,0,0,0.0558304,0.0418521,0.0273813,0.0485141,0.0572391,0.0268017,0.059077,0.0652757,0.0371215,0.0324711,0,0.00940465,0,0.029614,0.0140011,0.0150878,0.0216906,0,0.0275375,0.0420098,0.0400842,0,0,0.0184006,0,0,0.023859,0.077432,0.0442168,0.01966,0.0331745,0.0603688,0.0296956,0.0355096,0.0598629,0.0756557,0.0587473,0.0229168,0.023328,0.00898042,0.0288901,0.0678677,0.0367179,0.00965753,0.00859537,0.0547574,0.0498363,0,0,0,0,0,0,0,0,0,0
3,0.0290367,0.061097,0,0,0,0.0413858,0,0.0271592,0.0674716,0,0,0,0.0288337,0,0,0.0409975,0.0596566,0.0377846,0.0325298,0,0,0.0553993,0.0418162,0.0262415,0.0465924,0.0552535,0.0252466,0.0619989,0.0678684,0,0.0352852,0,0.00749703,0,0.0289371,0.0140187,0.0148601,0.0207748,0,0.0278179,0.0413992,0.0402607,0,0,0.0188243,0,0,0.0235415,0.077169,0.0433959,0.0195005,0.033549,0.0605147,0.0300675,0.0351898,0.0599459,0.0751567,0.058325,0.0230304,0.0234897,0.00886419,0.0293478,0.0662141,0.0362646,0.00991777,0.00880853,0.0545325,0.0501861,0,0,0,0,0,0,0,0,0,0
4,0.0290876,0.0608513,0,0,0,0.0431926,0,0.021458,0.0703549,0,0,0,0.0276725,0,0,0.0411822,0.0569749,0.039989,0.0320625,0,0,0.0552615,0.0411947,0.0282603,0.0492715,0.057116,0.0272683,0.0615839,0.0665185,0.040066,0.0356286,0,0.00603645,0,0.0296218,0.0139961,0.014762,0.0189583,0,0.0275607,0.0418882,0.0401279,0,0,0.0190451,0,0,0.0232919,0.0781896,0.0408169,0.0197437,0.03278,0.0608927,0.0297699,0.0354777,0.0594788,0.0745755,0.0588752,0.0232158,0.023824,0.00858982,0.0302131,0.062366,0.0361613,0.00983883,0.00865958,0.0546222,0.0500157,0,0,0,0,0,0,0,0,0.0251949,0
5,0.0291701,0.0608427,0,0,0,0.0428866,0,0.0215807,0.0704551,0,0,0,0.0287541,0,0,0.0409201,0.0577179,0.0398132,0.032144,0,0,0.0549623,0.0412552,0.0279418,0.0489599,0.056903,0.0272637,0.0614853,0.0663399,0.0400712,0.0355452,0,0.00611182,0,0.0291508,0.0139467,0.0146123,0.017523,0,0.0274421,0.0422312,0.0403073,0,0,0.0190812,0,0,0.0232833,0.0782576,0.0385421,0.0197295,0.0321455,0.0607787,0.0296722,0.0355718,0.0591592,0.0739827,0.059058,0.0240831,0.0239767,0.00829716,0.0312976,0.0589329,0.036253,0.00988472,0.00860294,0.0545051,0.0499956,0,0,0,0,0,0,0,0,0.0252017,0
6,0.029328,0.0611353,0,0,0,0.0485276,0,0.0232698,0.0706134,0,0,0,0.0274198,0,0,0.0413418,0.0574937,0.0401753,0.0322081,0,0,0.0552931,0.0416586,0.028936,0.0501879,0.0571278,0.0271318,0.0598483,0.0648251,0.038173,0.0334394,0,0.0127126,0,0.0295879,0.0134949,0.0143321,0.0192749,0,0.0257991,0.0426011,0.0394515,0,0,0.0196444,0,0,0.0225803,0.0790175,0.0338613,0.0184904,0.0322855,0.0599041,0.0295494,0.0348611,0.055772,0.0711345,0.0587334,0.0277118,0.0193503,0.00588385,0.0352448,0.0629325,0.0365137,0.0105648,0.00833799,0.0545544,0.0504253,0,0,0,0,0,0,0,0,0.0275793,0
7,0.0292756,0.0612792,0,0,0,0.0493944,0,0.0226834,0.070658,0,0,0,0.0278902,0,0,0.0411202,0.0580147,0.0400467,0.0322065,0,0,0.0549556,0.041794,0.0285533,0.0496809,0.0569702,0.02708,0.0594597,0.0647669,0.0377133,0.0324493,0,0.013249,0,0.0293722,0.0136255,0.0139406,0.0167905,0,0.0260668,0.0431578,0.0395088,0,0,0.0194861,0,0,0.0226261,0.0787807,0.0316729,0.018495,0.0320139,0.0597517,0.0294783,0.0348327,0.0554433,0.0707473,0.0589811,0.0283168,0.0197687,0.00626871,0.0361102,0.0574356,0.0366243,0.0105675,0.00833771,0.0547077,0.0502927,0,0,0,0,0,0,0,0,0.0285596,0
8,0.0290805,0.0614029,0,0,0,0.0424581,0,0.021693,0.0706552,0,0,0,0.0296575,0,0,0.040388,0.0591337,0.039663,0.03129,0,0,0.0540091,0.0417064,0.0264727,0.0477353,0.0563647,0.0272722,0.0615661,0.0660684,0.0398576,0.0358437,0,0.00667047,0,0.028931,0.0148526,0.0116785,0.0146676,0,0.0271142,0.0437142,0.0400788,0,0,0.0185358,0,0,0.0234414,0.0778719,0.0313909,0.0192005,0.0309996,0.0599521,0.0292952,0.0356292,0.0574273,0.0721054,0.0595441,0.026733,0.0236277,0.0078879,0.0347648,0.0459614,0.0366294,0.010121,0.00908702,0.0548969,0.0497107,0,0,0,0,0,0,0,0,0.0245032,0
