Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,x77
All Timesteps RMSE,0.0294023,0.062436,0,0,0,0.0396677,0,0.0193734,0.0539434,0,0,0,0.0194498,0,0,0.0424945,0.0569016,0.0368447,0.0375962,0.0266516,0,0,0.0614831,0.0394139,0.0404389,0.064275,0.0625496,0.028793,0.062092,0.0657147,0.0359836,0.039509,0,0.0341448,0,0.036481,0.0138389,0.0138962,0.0222113,0,0.0254114,0.050934,0.0411253,0,0,0.021967,0,0,0.02251,0.073178,0.0319335,0.0235414,0.0317278,0.0564418,0.0336344,0.0338487,0.0463486,0.0675138,0.0586105,0.0293128,0.0249929,0.0132887,0.0363893,0.0411849,0.0333024,0.0114203,0.00815679,0.059356,0.0453282,0,0,0,0,0,0,0,0,0
0,0.0316075,0.0601112,0,0,0,0.0566323,0,0.0172988,0.0682916,0,0,0,0.0200743,0,0,0.0409759,0.0604742,0.0213093,0.0321738,0.0253712,0,0,0.0500432,0.0340575,0.0260884,0.0512059,0.0561406,0.0269628,0.0605484,0.0654915,0.0356977,0.0353251,0,0.0241214,0,0.0335241,0.0134672,0.0123463,0.0165212,0,0.0279593,0.0513757,0.0429814,0,0,0.0205514,0,0,0.0223162,0.0724455,0.0198443,0.0230766,0.0355256,0.0602672,0.0269012,0.0345975,0.0479496,0.0661337,0.059747,0.032627,0.0267861,0.0137211,0.0411126,0.0258722,0.0339317,0.0110245,0.00688138,0.055972,0.0444198,0,0,0,0,0,0,0,0,0
1,0.031449,0.0605039,0,0,0,0.0559447,0,0.016402,0.0679129,0,0,0,0.0200147,0,0,0.040808,0.0598166,0.022665,0.0316828,0.0255513,0,0,0.0495488,0.033443,0.0266027,0.0518893,0.0560728,0.0261184,0.0607859,0.0657374,0.0356354,0.0354376,0,0.0227598,0,0.0335461,0.0135213,0.0122908,0.0138794,0,0.0318184,0.0506378,0.0429817,0,0,0.0204736,0,0,0.0223206,0.0720311,0,0.023186,0.0347532,0.0600603,0.0270817,0.0352857,0.0450681,0.0658493,0.0594864,0.0306939,0.0291078,0.0155093,0.0372727,0.0320049,0.0340304,0.0110608,0.00677564,0.0563827,0.044049,0,0,0,0,0,0,0,0,0
2,0.0313316,0.0606257,0,0,0,0.0562553,0,0.0153031,0.0671966,0,0,0,0.0200129,0,0,0.0406972,0.059429,0.0243907,0.0310004,0.0255489,0,0,0.0495919,0.0330624,0.0269834,0.0526181,0.0562836,0.0258308,0.0608145,0.0658037,0.035281,0.0354864,0,0.0226523,0,0.0336076,0.0135157,0.0122263,0.0118206,0,0.0315398,0.0505647,0.0429653,0,0,0.0205163,0,0,0.0223129,0.0718477,0,0.0232079,0.03415,0.0597423,0.0274718,0.0347084,0.0450626,0.0658234,0.0588658,0.0305733,0.0289921,0.0154705,0.0372777,0.0346735,0.0339538,0.0110341,0.00684533,0.0565905,0.0440076,0,0,0,0,0,0,0,0,0
3,0.0311943,0.0606201,0,0,0,0.0571563,0,0.0143368,0.066079,0,0,0,0.0200158,0,0,0.0406626,0.059205,0.0264866,0.0301153,0.0256256,0,0,0.0501647,0.0329526,0.0271862,0.053399,0.0564767,0.0256764,0.0607455,0.0658029,0.0346317,0.0353756,0,0.0231042,0,0.0336001,0.0134785,0.012211,0.0113357,0,0.0265319,0.0504042,0.0428388,0,0,0.0206966,0,0,0.0223354,0.072032,0.0190297,0.02275,0.0342932,0.0592085,0.0281217,0.0331622,0.0479242,0.0660291,0.0579159,0.031812,0.0267925,0.0134272,0.0405699,0.0324868,0.0336919,0.0110992,0.0070042,0.0566766,0.0442624,0,0,0,0,0,0,0,0,0
4,0.0310773,0.0605907,0,0,0,0.0566724,0,0.0139461,0.0650082,0,0,0,0.0200086,0,0,0.0406513,0.0587434,0.0284066,0.0295799,0.0257149,0,0,0.0508135,0.0329169,0.0275257,0.05406,0.0568265,0.0255463,0.0605181,0.0657236,0.0337831,0.0349308,0,0.0223591,0,0.0335396,0.0133527,0.0123157,0.010978,0,0.0261978,0.0500393,0.0427745,0,0,0.0209753,0,0,0.0223702,0.0719048,0.0193561,0.0227687,0.0337444,0.0588211,0.0288435,0.032578,0.0473696,0.0657746,0.0571725,0.0316238,0.0263381,0.012683,0.0401463,0.0335504,0.0333561,0.0112204,0.00715392,0.0567424,0.0443915,0,0,0,0,0,0,0,0,0
5,0.0309889,0.0605159,0,0,0,0.0553285,0,0.0140189,0.0633721,0,0,0,0.0200113,0,0,0.0406487,0.0584745,0.0305071,0.0288673,0.0259852,0,0,0.0517156,0.032896,0.0278823,0.0545984,0.0571604,0.0252927,0.059981,0.06527,0.032473,0.0343845,0,0.0218611,0,0.0334196,0.0131004,0.0125431,0.0109784,0,0.025789,0.0496964,0.0427228,0,0,0.0213471,0,0,0.0223487,0.0717183,0.0195065,0.0230235,0.0337445,0.0585081,0.0296683,0.0323204,0.0466061,0.0654078,0.05673,0.0312671,0.0258428,0.0120632,0.0396664,0.0337311,0.0328712,0.0112664,0.00738248,0.0568573,0.0444992,0,0,0,0,0,0,0,0,0
6,0.0309763,0.0603932,0,0,0,0.0533629,0,0.0145345,0.0614378,0,0,0,0.0200388,0,0,0.0407317,0.0580967,0.0324694,0.0281193,0.0262472,0,0,0.0525139,0.0326569,0.028397,0.0552021,0.0573454,0.0248239,0.0591795,0.0645471,0.0309608,0.0339097,0,0.0210132,0,0.0333249,0.0131611,0.0125256,0.010511,0,0.029503,0.049198,0.0427981,0,0,0.0218145,0,0,0.0223094,0.0711205,0,0.0237698,0.0334794,0.0585504,0.0306156,0.0329596,0.043864,0.0649567,0.0566753,0.029298,0.0272339,0.012787,0.0357955,0.0365278,0.0323026,0.011334,0.00767508,0.0570046,0.0442929,0,0,0,0,0,0,0,0,0
7,0.0308401,0.0602259,0,0,0,0.0517094,0,0.0148068,0.0589907,0,0,0,0.0201572,0,0,0.0409878,0.0583009,0.0337537,0.0273479,0.0263513,0,0,0.0540971,0.0328662,0.0288264,0.0558081,0.0577052,0.0248204,0.0580932,0.0633465,0.0291485,0.0335374,0,0.020397,0,0.0330854,0.0134204,0.0122899,0.0106211,0,0.0258265,0.0484578,0.0425708,0,0,0.0226331,0,0,0.0222325,0.0716627,0.0188541,0.0237071,0.034169,0.0584939,0.0317766,0.0318714,0.0458241,0.064841,0.0558787,0.0305455,0.0258274,0.0120275,0.0389565,0.0332847,0.0315106,0.0114327,0.00792966,0.0568029,0.0446332,0,0,0,0,0,0,0,0,0
8,0.0308209,0.0600689,0,0,0,0.0495214,0,0.0142128,0.0571073,0,0,0,0.0202283,0,0,0.0412329,0.0581511,0.0339086,0.0268804,0.0261594,0,0,0.055232,0.0330353,0.0297029,0.0563598,0.0584193,0.0251604,0.0570068,0.0620046,0.0275837,0.0334002,0,0.0184157,0,0.0328904,0.0135029,0.0123089,0.0102843,0,0.0260844,0.0477208,0.0423966,0,0,0.0234407,0,0,0.0222251,0.0717155,0.0182961,0.0242361,0.0343873,0.0585884,0.0329613,0.0317411,0.0455824,0.0648662,0.0556433,0.0304,0.0261917,0.0124619,0.038686,0.0328518,0.0307183,0.0116094,0.00826421,0.0567198,0.0447534,0,0,0,0,0,0,0,0,0
