Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
All Timesteps RMSE,0.0298654,0.0638447,0,0,0,0.0379695,0,0.0201218,0.05416,0,0,0,0,0.0188237,0,0,0.0432998,0.0569361,0.0367103,0.0383267,0.0269027,0,0,0.0625275,0.0397614,0.0401255,0.0639193,0.0624977,0.0287906,0.0619184,0.0656885,0.0361618,0.0391601,0,0.0353044,0,0.0376073,0.0138756,0.0144321,0.023447,0,0.0278313,0.0499565,0.0407626,0,0,0.0227495,0,0,0.0233341,0.0739358,0.0231263,0.023334,0.0311683,0.0576921,0.0328424,0.035618,0.0459094,0.0685133,0.0602523,0.0288382,0.024786,0.0128817,0.0350124,0.041418,0.0327032,0.0112681,0.00958675,0.0603803,0.0439379,0,0,0,0,0,0,0,0
0,0.0308522,0.0626782,0,0,0,0.0288372,0,0.0127348,0.047203,0,0,0,0,0.0189599,0,0,0.0433287,0.0584598,0.0412094,0.02514,0.0259138,0,0,0.0612628,0.0367031,0.0363029,0.062821,0.0647312,0.0287052,0.0556149,0.0584575,0.0268961,0.0368387,0,0.0476078,0,0.0354185,0.0131651,0.0148196,0.0164087,0,0.0287962,0.0484419,0.0415951,0,0,0.0268822,0,0,0.0239965,0.071041,0.00587929,0.0271784,0.033855,0.0607255,0.0370867,0.0313175,0.044383,0.0654912,0.056368,0.030019,0.0265489,0.0127187,0.0372421,0.0244326,0.0272985,0.0121312,0.0107864,0.0596971,0.0439765,0,0,0,0,0,0,0,0
1,0.0307057,0.0630277,0,0,0,0.0300304,0,0.013651,0.0460482,0,0,0,0,0.0190685,0,0,0.0434027,0.0583638,0.0438571,0.0253522,0.0261965,0,0,0.0614697,0.0368136,0.0370576,0.063426,0.0650309,0.0286332,0.0565978,0.0589737,0.0276461,0.0385399,0,0.0528949,0,0.0353796,0.0133882,0.0145962,0.0155734,0,0.0287169,0.0486365,0.0414818,0,0,0.0266699,0,0,0.0240316,0.0709628,0.00637163,0.0267586,0.033229,0.0601525,0.0372282,0.0315139,0.0443372,0.065381,0.0565214,0.0300392,0.0261958,0.0127525,0.0373589,0.025424,0.0275515,0.012181,0.0107086,0.0599121,0.0438936,0,0,0,0,0,0,0,0
2,0.0306408,0.0632706,0,0,0,0.0304929,0,0.0136889,0.0450453,0,0,0,0,0.0190815,0,0,0.0432875,0.0583209,0.0457565,0.0256665,0.0264655,0,0,0.0615667,0.0371601,0.0376563,0.0639055,0.0653639,0.0286787,0.0576346,0.0595762,0.0281375,0.0398983,0,0.0562694,0,0.0353973,0.0134486,0.0144435,0.0157717,0,0.0285513,0.0489295,0.0413998,0,0,0.0263314,0,0,0.0239516,0.0707709,0.00639461,0.0266802,0.0329344,0.059571,0.0371541,0.0317054,0.044196,0.0654134,0.0567035,0.0300623,0.0262646,0.0126943,0.0373486,0.0249825,0.0279012,0.012191,0.0106097,0.0599333,0.0439629,0,0,0,0,0,0,0,0
3,0.0306794,0.0634757,0,0,0,0.0307507,0,0.0134629,0.0441777,0,0,0,0,0.0191026,0,0,0.0431772,0.0582611,0.0469887,0.0261023,0.0268736,0,0,0.0614406,0.0370394,0.0382533,0.0644084,0.0657746,0.0287509,0.0585637,0.0601923,0.0286471,0.0411037,0,0.0582959,0,0.0354872,0.0133894,0.0144076,0.0161736,0,0.0284565,0.0492531,0.0412841,0,0,0.0260043,0,0,0.0238735,0.0705641,0.00630406,0.0268561,0.0327897,0.0589833,0.0370202,0.0318807,0.0439257,0.0654685,0.0568955,0.0301603,0.0262511,0.0126318,0.037327,0.0241593,0.0282308,0.0121774,0.010516,0.0600122,0.044084,0,0,0,0,0,0,0,0
4,0.0306636,0.0636889,0,0,0,0.0311666,0,0.0134348,0.043413,0,0,0,0,0.0190939,0,0,0.0431796,0.0581782,0.0477408,0.0265931,0.0273966,0,0,0.0611604,0.0369363,0.0389537,0.0647766,0.0661625,0.0288992,0.0593017,0.0607318,0.0292119,0.0421162,0,0.0597165,0,0.03565,0.0134389,0.0143612,0.0165761,0,0.0284028,0.0496057,0.0412054,0,0,0.0257376,0,0,0.0238342,0.0704222,0.00623487,0.0270151,0.0327226,0.0585483,0.0369381,0.0320673,0.0437576,0.0654392,0.0571229,0.0301439,0.0261017,0.0126093,0.0373849,0.0233905,0.0285298,0.012187,0.0104497,0.0601402,0.0441586,0,0,0,0,0,0,0,0
5,0.0305962,0.0638608,0,0,0,0.0315872,0,0.0135661,0.0427724,0,0,0,0,0.0189737,0,0,0.0432995,0.0580287,0.0484162,0.0271676,0.0278458,0,0,0.0608523,0.0371275,0.0397149,0.0652293,0.066537,0.0291079,0.0598156,0.0611287,0.0296081,0.0428815,0,0.060751,0,0.0358625,0.013534,0.0143725,0.0170794,0,0.0283683,0.0499008,0.0411157,0,0,0.025588,0,0,0.0237903,0.0704017,0.00619702,0.0271811,0.0325172,0.0583257,0.0369613,0.0322712,0.0436895,0.0653694,0.0574708,0.0302201,0.0259326,0.0126507,0.037476,0.0226184,0.0287793,0.0121935,0.0103697,0.0601666,0.044175,0,0,0,0,0,0,0,0
6,0.0305329,0.0639301,0,0,0,0.031906,0,0.0136361,0.0420933,0,0,0,0,0.0189287,0,0,0.0434601,0.0579184,0.049016,0.02767,0.028054,0,0,0.0607283,0.0373554,0.0403094,0.0658232,0.0669406,0.029283,0.0600919,0.0612909,0.0298945,0.0434426,0,0.0616941,0,0.0360754,0.0135743,0.0144133,0.0176592,0,0.0284176,0.0502312,0.0410224,0,0,0.0254812,0,0,0.0237261,0.0704683,0.00616328,0.0274737,0.0321967,0.058167,0.0370685,0.0324549,0.0435178,0.0653159,0.0577046,0.030322,0.0257888,0.0128297,0.0376203,0.0217932,0.0289583,0.0121938,0.0103272,0.0601577,0.0442034,0,0,0,0,0,0,0,0
7,0.0304118,0.0639306,0,0,0,0.0320171,0,0.0137829,0.0412389,0,0,0,0,0.0189681,0,0,0.0436297,0.0578405,0.0495891,0.0281253,0.0278925,0,0,0.0607574,0.0374999,0.0407372,0.0664362,0.0673049,0.0294174,0.0602539,0.0613788,0.0301459,0.0438603,0,0.0625542,0,0.0362869,0.0136657,0.0144066,0.018331,0,0.0285538,0.050598,0.0409586,0,0,0.0254055,0,0,0.0236507,0.0705207,0.00609608,0.027691,0.0318491,0.0580297,0.0373786,0.0326385,0.0433189,0.0652587,0.057818,0.0304933,0.0257104,0.0131274,0.0378204,0.0208751,0.0290294,0.0122041,0.0103152,0.060164,0.0442079,0,0,0,0,0,0,0,0
8,0.0302991,0.0638508,0,0,0,0.0321369,0,0.0140665,0.0404854,0,0,0,0,0.0190358,0,0,0.0438817,0.0578364,0.050183,0.0285871,0.0274996,0,0,0.0609209,0.0375513,0.0412701,0.0670367,0.0675963,0.0295116,0.0605094,0.06143,0.0304076,0.0442013,0,0.0630987,0,0.0364965,0.0137567,0.0144411,0.0190391,0,0.0287012,0.0509893,0.0409374,0,0,0.0254086,0,0,0.0236171,0.0703574,0.00596343,0.027783,0.0317512,0.0579371,0.0376476,0.0327932,0.043226,0.0651706,0.0579329,0.0306576,0.0257872,0.0133043,0.0380817,0.019903,0.029038,0.0122215,0.0103268,0.0601695,0.0441919,0,0,0,0,0,0,0,0
