Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Shopping Cart:CBR,,,Shopping Cart:CFR,,,Shopping Cart:CFL,,,Shopping Cart:CBL,,,Shopping Cart:IMUR_T,,,Shopping Cart:IMUR_M,,,Shopping Cart:IMUR_B,,,Shopping Cart:IMUL_T,,,Shopping Cart:IMUL_M,,,Shopping Cart:IMUL_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
21982,0,630.707092,-531.086609,1650.118042,748.979431,-522.330444,1658.177002,631.953491,-671.609924,1578.340576,791.069763,-650.815918,1588.828247,620.964600,-571.111328,1499.351318,775.369629,-533.410400,1502.997192,703.874023,-726.755249,1412.372681,700.026611,-761.971558,1335.506836,709.985718,-515.912842,1353.175049,714.742065,-474.503937,1270.238892,807.856812,-738.177002,1372.343262,499.977051,-604.643311,1398.669556,440.449646,-608.118286,1173.650513,441.627075,-615.878723,1071.261475,,,,447.542206,-551.836792,963.908508,511.880035,-510.056976,838.431274,481.781006,-576.249451,817.969849,504.753540,-498.260193,714.563904,471.117554,-556.045166,750.362061,898.333801,-594.324890,1425.810669,984.117188,-592.540710,1198.006348,988.824646,-584.002563,1085.848877,,,,990.647644,-562.522949,946.253357,923.807251,-504.428436,826.565491,962.973816,-568.547363,820.205750,950.255676,-503.122101,717.107178,972.971497,-562.407288,764.697998,601.626465,-488.495392,925.972046,850.902283,-494.609039,926.798279,639.703796,-712.296753,921.977966,779.984375,-728.465210,933.272888,544.332947,-554.283691,926.936768,,,,536.078979,-551.721619,815.380798,553.799194,-550.040894,708.751953,575.356812,-533.228882,629.263672,563.934753,-614.277039,611.285339,552.794739,-635.731567,691.866272,569.051025,-606.379333,526.747742,,,,559.358582,-644.562073,391.582855,567.798584,-597.181213,348.102173,556.204346,-660.694519,283.755615,558.755249,-703.386047,325.622101,599.424744,-670.692444,95.982399,,,,653.474243,-737.065552,41.180138,590.953918,-438.705688,56.924049,928.968140,-597.245728,833.795715,547.005371,-510.329590,34.532658,,,,868.932251,-503.459564,625.596191,,,,908.827881,-617.329529,658.624817,893.413879,-614.927551,520.402710,,,,883.565735,-677.542542,414.916199,914.571655,-640.306396,337.579010,891.258850,-689.490845,313.263702,851.373474,-718.960754,385.036621,868.989868,-671.742920,95.513588,,,,806.700439,-749.313293,42.108555,856.029480,-458.950562,43.052094,924.547119,-532.942383,44.602989,982.521851,112.717293,154.514786,954.104431,537.756287,155.113434,517.315430,526.378052,152.584366,507.616150,102.626328,166.752167,1058.160156,43.416077,1078.561890,1079.776245,24.316191,1051.878052,1079.097534,-3.949527,1023.514771,456.011719,50.932140,1095.173340,,,,401.588837,13.797353,1052.103027
21983,0,630.689453,-531.042542,1650.061768,748.945190,-522.206970,1658.213379,632.026245,-671.737244,1578.344238,791.160767,-650.741699,1588.774170,620.804260,-571.324707,1499.273682,775.200684,-533.057922,1502.725586,703.895813,-726.765686,1412.343018,700.020264,-762.001770,1335.499146,709.898254,-515.830200,1353.218628,714.565674,-474.475220,1270.207642,807.867554,-738.137878,1372.268677,499.980896,-604.689270,1398.720215,440.407928,-608.149536,1173.699341,441.719910,-615.775940,1071.276245,,,,447.863495,-551.451416,963.914978,512.408142,-509.154663,838.360352,482.163483,-576.226990,818.830200,505.208191,-497.689178,714.740967,471.259491,-555.342712,750.550598,898.319031,-594.256104,1425.800781,983.840637,-592.136108,1197.842041,988.723694,-583.779663,1085.794922,,,,990.491089,-562.251038,946.167358,923.527405,-504.257202,826.531982,962.802917,-568.417847,820.187256,949.979797,-502.890228,717.028564,972.801880,-562.181458,764.730408,601.368530,-488.556793,925.989746,850.645752,-494.673584,926.735779,639.597534,-712.362305,922.041077,779.835327,-728.425720,933.132568,544.137695,-554.574463,926.953186,909.080017,-606.759338,941.457092,535.994080,-551.695374,815.568176,553.631287,-550.181641,708.780640,575.225159,-533.166992,629.234192,563.763550,-614.459412,611.274902,552.652893,-635.813965,691.919434,568.911743,-606.493347,526.699280,,,,559.949890,-644.340576,392.046539,567.724976,-597.290833,348.074982,,,,558.694031,-703.524536,325.540039,599.490784,-670.575867,95.927551,,,,653.469910,-737.096985,41.129555,590.944946,-438.694092,56.898170,928.740417,-597.294312,833.837708,546.909424,-510.268463,34.184166,,,,868.294189,-503.221405,626.087769,,,,908.666199,-617.237305,658.540283,893.362305,-614.638611,520.073853,,,,883.467468,-677.517212,414.913544,914.523682,-640.277832,337.585083,891.252319,-689.487427,313.252594,851.285339,-718.929138,384.970642,868.973572,-671.760803,95.522789,,,,806.711121,-749.337463,42.088440,856.018127,-458.914764,43.060581,924.554199,-533.021912,44.584229,982.614258,112.617920,154.528992,954.087402,537.757996,155.094452,517.376953,526.253052,152.635651,507.637787,102.626167,166.831543,1058.118652,43.400684,1078.564941,1079.807251,24.269442,1051.897827,1079.101440,-3.953891,1023.502258,456.052063,50.887589,1095.261841,420.102692,40.855797,1081.203735,401.667725,13.782725,1052.128418
21984,0,630.682983,-531.157227,1649.958374,748.911255,-522.289795,1658.224854,632.107483,-671.766907,1578.343262,791.207764,-650.641052,1588.766235,621.080322,-570.932373,1499.228760,775.326843,-533.207642,1502.864868,703.934448,-726.733765,1412.360596,700.075378,-762.063171,1335.600708,709.703247,-515.826050,1353.259888,714.437744,-474.454071,1270.238403,807.903564,-738.097229,1372.295532,499.879791,-604.801025,1398.746948,440.582397,-607.832886,1173.608887,441.825562,-615.518616,1071.227173,,,,448.190369,-551.101562,963.971313,513.168335,-509.748474,837.220947,482.277039,-575.168579,818.186218,506.000641,-496.819641,714.695251,471.260529,-554.897827,751.063843,898.290527,-594.221313,1425.744873,983.686218,-591.837952,1197.704346,988.591492,-583.082947,1085.331055,,,,990.219177,-562.083435,946.075073,923.149719,-504.310120,826.324829,962.580933,-568.227661,820.174561,949.661804,-502.691803,716.984497,972.619324,-561.890015,764.645447,600.991821,-488.588531,925.991394,850.363892,-494.550842,926.713379,639.471130,-712.455200,921.937866,779.738892,-728.424805,933.196533,544.092834,-554.284119,926.935364,908.896729,-606.599976,941.373718,535.976868,-548.309021,817.733826,553.513428,-550.174194,708.760681,575.024597,-533.356079,629.217896,563.434631,-614.964417,611.438416,552.576172,-635.886780,691.989136,568.815796,-606.570801,526.638000,,,,559.630554,-644.532410,391.845734,567.701050,-597.322815,348.082855,,,,558.687866,-703.640015,325.491394,599.487244,-670.606079,95.883850,,,,653.484802,-737.103394,41.153683,590.965637,-438.707184,56.931496,928.654724,-597.075134,833.794189,546.919250,-510.286743,34.254864,,,,868.113464,-503.182343,626.220032,,,,908.601379,-617.163635,658.627930,893.251038,-614.564270,520.009827,,,,883.410828,-677.423096,414.950134,914.455566,-640.240479,337.549042,891.209229,-689.440369,313.255707,851.247009,-718.871094,385.047882,868.973694,-671.780396,95.507484,,,,806.727051,-749.336304,42.072823,856.190247,-458.888367,42.856068,924.568176,-533.019226,44.521099,982.631653,112.549965,154.550659,954.084045,537.734070,155.090652,517.366699,526.269470,152.614075,507.629700,102.609619,166.808655,1058.267578,43.369915,1078.602783,1079.787109,24.280943,1051.877319,1079.122681,-3.952369,1023.503052,456.039307,50.754097,1095.213989,419.390656,37.910557,1080.806030,401.682434,13.836851,1052.224976
21985,0,630.639587,-531.083130,1650.080078,748.811890,-522.214233,1658.196899,632.179382,-671.713379,1578.289917,791.274658,-650.602234,1588.738892,620.944641,-571.244629,1499.176025,775.271118,-533.169678,1502.792725,703.971985,-726.745117,1412.405518,700.057800,-762.037903,1335.559937,709.663208,-515.766602,1353.260132,714.281311,-474.401428,1270.190552,807.910034,-738.026428,1372.218994,499.841003,-604.896545,1398.808960,439.980164,-608.533630,1173.697266,441.914520,-615.275391,1071.209229,,,,448.474121,-550.648560,964.005676,513.707092,-509.395844,837.357910,482.542786,-575.151428,818.941895,506.003204,-496.937531,715.106506,471.544434,-553.978394,750.856445,898.228699,-594.130859,1425.763184,983.356018,-591.416565,1197.606934,988.439209,-583.199707,1085.533691,,,,990.067017,-561.840637,946.049255,922.720215,-504.287292,825.866516,962.314697,-567.834473,820.039734,949.325562,-502.528778,716.943054,972.399048,-561.620789,764.638672,600.497253,-488.492798,926.073669,850.100647,-494.389557,926.569763,639.323242,-712.543457,921.936157,779.588867,-728.371887,933.056824,543.808350,-554.630798,926.895386,908.682312,-606.515747,941.321045,535.766663,-548.586975,817.800110,553.426208,-550.247192,708.710999,574.871277,-533.433228,629.221069,563.670654,-614.889282,611.612305,552.461609,-636.000671,692.010742,568.778992,-606.588745,526.603271,,,,559.637512,-644.486511,391.814331,567.605957,-597.374390,348.040680,,,,558.590759,-703.674988,325.411102,599.466675,-670.604370,95.851791,,,,653.429077,-737.068298,41.098354,590.955627,-438.719360,56.939205,928.457397,-596.970886,833.738159,546.931030,-510.281494,34.243774,,,,867.918640,-503.111664,626.213867,,,,908.416748,-617.056824,658.657959,893.108826,-614.524109,520.076965,,,,883.319214,-677.395752,414.983093,914.351074,-640.208740,337.569733,891.108398,-689.381958,313.216248,851.151428,-718.833374,384.984039,868.912354,-671.818420,95.453415,,,,806.735413,-749.302734,42.084904,856.116394,-458.884338,43.072395,924.597046,-532.632385,44.966263,982.626221,112.591537,154.490585,954.077087,537.736694,155.096725,517.299561,526.360840,152.557663,508.803772,103.071251,165.394241,1058.238403,43.338402,1078.609863,1079.790405,24.318232,1051.841675,1079.105103,-3.957277,1023.488770,455.994263,50.758831,1095.165771,419.542114,38.278702,1080.787598,401.600311,13.805205,1052.134277
21986,0,630.629211,-531.175476,1649.915039,748.749512,-522.128174,1658.079834,632.290894,-671.631470,1578.301147,791.358826,-650.473633,1588.723755,620.945190,-571.240295,1499.441650,775.256165,-533.072754,1502.735596,704.031860,-726.823242,1412.486450,700.103088,-762.072998,1335.636353,709.556702,-515.749512,1353.265137,714.124390,-474.409454,1270.260864,807.933594,-737.938171,1372.212036,499.803406,-604.952942,1398.840942,440.043762,-608.288452,1173.675415,441.988007,-614.812012,1071.276367,,,,448.816589,-550.216003,963.991089,514.033203,-509.464752,837.517578,482.618500,-574.127930,818.327698,506.404114,-496.565735,715.292542,472.086456,-553.002502,750.892334,898.185486,-594.022827,1425.705078,983.341431,-591.372009,1197.579712,988.263611,-582.593567,1085.142944,,,,989.833130,-561.639282,946.011658,922.273621,-504.220673,826.151550,962.059387,-567.516052,820.024048,948.952332,-502.348175,716.906982,972.120972,-561.309509,764.675476,600.337524,-488.621613,926.020813,849.766296,-494.537964,926.706604,639.223938,-712.589355,921.964294,779.552979,-728.415894,933.189636,543.731689,-554.500427,926.861206,,,,535.852783,-548.075256,817.709412,553.319641,-550.217041,708.657349,574.671265,-533.596497,629.219971,563.514771,-615.026367,611.646606,552.322083,-636.114624,692.019775,568.589417,-606.750671,526.649536,,,,559.269043,-644.921997,392.085724,567.486084,-597.446289,348.106079,555.960449,-660.892456,283.664520,558.537537,-703.737427,325.412170,599.492188,-670.512268,95.826630,,,,653.475830,-737.082275,41.114857,590.949341,-438.719666,56.913311,928.253540,-596.930847,833.751770,546.926270,-510.325958,34.354446,,,,867.855469,-503.087708,626.170532,,,,908.336609,-616.985657,658.679443,892.999817,-614.361328,520.017517,,,,883.281189,-677.324402,415.142181,914.293152,-640.133240,337.597870,891.052917,-689.303406,313.310120,851.133728,-718.771790,385.071533,868.924622,-671.781128,95.488319,,,,806.720276,-749.332520,42.096439,855.953796,-458.864410,43.047047,924.534119,-532.914490,44.726055,982.767334,112.712135,154.357742,954.086670,537.759460,155.110535,517.819519,527.023010,152.538254,507.663177,102.588203,167.033340,1058.249512,43.335629,1078.621216,1079.749268,24.331821,1051.821045,1079.144287,-3.929232,1023.506165,456.130066,51.877769,1095.253296,419.437012,39.881710,1078.045532,401.673737,13.831744,1052.189331
21987,0,630.675110,-531.116089,1650.034790,748.768677,-522.096680,1658.030884,632.368652,-671.648193,1578.299438,791.414001,-650.371094,1588.678955,621.029175,-571.133057,1499.336182,775.246948,-533.076904,1502.730957,704.092346,-726.798035,1412.515625,700.089355,-762.100708,1335.625244,709.461670,-515.712952,1353.302490,714.006409,-474.390808,1270.228760,807.983276,-737.904846,1372.209106,499.798035,-605.021423,1398.923706,440.065460,-608.032532,1173.680786,442.083008,-614.254028,1071.128540,,,,449.209900,-549.632812,964.017090,514.584839,-509.128937,837.418396,482.913269,-574.188232,819.029480,506.955444,-495.930054,714.955017,472.196930,-552.413330,751.117981,898.216370,-593.878357,1425.655151,983.223267,-591.205322,1197.579834,987.842163,-581.987915,1084.745972,,,,989.537231,-561.157837,945.872192,921.922485,-503.972534,826.152100,961.784241,-567.236084,819.967651,948.530884,-502.116791,716.846680,971.873352,-561.108887,764.673157,599.874146,-488.365875,925.773987,849.490845,-494.394226,926.571106,639.142822,-712.624695,921.994690,779.397583,-728.409363,933.080811,543.147766,-555.466675,926.824707,908.377319,-606.446777,941.371338,,,,553.280029,-550.267334,708.571045,574.502563,-533.634827,629.201111,563.402039,-615.077942,611.618652,552.193848,-636.224121,692.013916,568.924683,-606.329468,526.577454,,,,559.445618,-644.613037,391.483307,567.483582,-597.437500,348.073608,,,,558.497131,-703.806030,325.419739,599.505554,-670.479370,95.791237,,,,653.494690,-737.093506,41.178482,590.951477,-438.722839,56.890354,928.072083,-596.814270,833.748901,546.967651,-510.256226,34.342258,,,,867.616089,-502.972473,626.237976,,,,908.159851,-616.937012,658.743103,892.881348,-614.267395,520.040222,,,,883.215027,-677.265259,415.076996,914.210754,-640.044067,337.632660,890.991699,-689.289062,313.382568,851.032166,-718.742004,385.184296,868.927063,-671.754578,95.512718,,,,806.706909,-749.352417,42.073154,856.145569,-458.734406,42.985023,924.673828,-532.535217,44.918880,982.635132,112.624924,154.521790,954.095337,537.743835,155.112213,517.352905,526.340881,152.563080,507.618561,102.647217,167.033295,1058.224487,43.340092,1078.651123,1079.750488,24.322163,1051.855225,1079.120117,-3.943036,1023.520447,456.025360,50.892754,1095.165527,419.972137,39.752258,1081.820312,401.631683,13.788048,1052.111694
21988,0,630.671875,-531.121704,1649.911621,748.836853,-522.030212,1658.010986,632.407532,-671.671631,1578.289917,791.442749,-650.335205,1588.655029,620.904297,-571.349487,1498.959229,775.246399,-533.034973,1502.692749,704.076782,-726.794250,1412.484863,700.103882,-762.127563,1335.712769,709.383362,-515.676819,1353.320068,713.851196,-474.349152,1270.295898,807.985291,-737.824829,1372.186157,499.733643,-605.078430,1398.973389,440.133820,-607.653442,1173.637573,442.066010,-613.686768,1071.153931,,,,449.516815,-549.062439,964.046204,515.203003,-508.838409,837.330688,482.942932,-573.256165,818.294678,507.738098,-495.186279,714.809998,471.983368,-552.176636,751.327515,898.213806,-593.746948,1425.635254,983.154175,-591.096191,1197.530640,987.854614,-582.140259,1084.964478,,,,989.196777,-560.936523,945.847778,921.572632,-503.704956,826.175781,961.485535,-567.037354,819.912659,948.078735,-501.932098,716.844238,971.629089,-560.862793,764.668274,599.705811,-488.424316,925.775818,849.254395,-494.314331,926.538635,638.967590,-712.703735,921.974365,779.267456,-728.384216,933.097168,543.109741,-555.491699,927.240540,908.114929,-606.286255,941.317993,,,,553.238831,-550.257935,708.590088,574.309937,-533.710327,629.203857,563.163025,-615.193970,611.569641,552.014954,-636.316162,692.035950,568.754639,-606.365601,526.582336,,,,559.859863,-644.082397,391.824707,567.383423,-597.494568,348.158569,555.875366,-660.966858,283.650024,558.345093,-704.006836,325.482758,599.536255,-670.215637,95.687103,,,,653.431274,-737.046326,41.080818,590.925842,-438.732147,56.943230,927.797241,-596.718262,833.731873,546.927246,-510.237823,34.288593,,,,867.545044,-502.950714,625.831055,,,,907.931580,-616.800781,658.697388,892.696411,-614.201599,520.083191,,,,883.028564,-677.209534,415.113251,914.061707,-639.934570,337.680054,890.888367,-689.197021,313.408417,850.953918,-718.665344,385.161285,868.856506,-671.661621,95.427505,,,,806.713318,-749.275757,42.053627,856.262329,-458.749084,42.942814,924.616333,-532.568604,45.000694,982.595276,112.563057,154.657654,954.079956,537.737122,155.102066,517.895081,527.030579,152.597275,507.642212,102.622040,166.901749,1058.165771,43.441410,1078.546387,1079.791992,24.299332,1051.903687,1079.114380,-3.923536,1023.527039,455.945007,50.833508,1095.067627,419.647583,38.221924,1081.095703,401.621124,13.790507,1052.108398
21989,0,630.674072,-531.117126,1649.997437,748.791931,-521.959778,1657.954468,632.480286,-671.665344,1578.291870,791.571350,-650.366455,1588.570923,620.921692,-571.409180,1499.068359,775.224792,-532.953186,1502.647461,704.080750,-726.789185,1412.462036,700.140869,-762.161560,1335.750488,709.303467,-515.634155,1353.349121,713.685852,-474.312592,1270.328735,807.980347,-737.772095,1372.112793,499.689850,-605.142456,1399.058960,440.100891,-607.300537,1173.600464,441.995483,-613.307617,1071.175293,,,,449.911377,-548.428650,964.053711,515.813721,-508.608948,837.413330,483.113525,-572.783997,818.355164,508.239685,-494.934540,714.837463,472.056427,-551.656067,751.310730,898.197266,-593.577454,1425.541992,983.076294,-591.041382,1197.482788,987.679810,-581.900513,1084.889893,,,,989.020874,-560.657410,945.802795,921.230530,-503.597137,826.109131,961.222229,-566.855408,819.894653,947.668213,-501.776581,716.817444,971.349854,-560.626526,764.586304,599.562012,-488.772125,925.985901,849.026733,-494.307495,926.620728,638.825562,-712.780640,921.967590,779.128296,-728.427551,933.051025,542.970093,-555.149475,926.905640,907.918091,-606.275513,941.355530,535.404724,-547.563843,817.777710,553.159973,-550.304565,708.591431,574.069946,-533.945740,629.284058,563.064697,-615.258728,611.583069,551.869812,-636.435059,691.996216,568.617126,-606.446777,526.566711,,,,559.267090,-644.705994,391.542358,567.268921,-597.583679,348.110596,555.828430,-661.107910,283.631104,558.344421,-703.883240,325.327393,599.365662,-670.692688,95.904305,,,,653.495239,-737.075989,41.305428,590.926514,-438.716797,56.961742,927.696472,-596.511047,833.722900,546.902649,-510.270782,34.287579,,,,867.508545,-502.865387,625.714966,,,,907.795227,-616.645813,658.728271,892.556641,-614.025146,520.029480,,,,882.929749,-677.129700,415.146210,913.994995,-639.877991,337.708954,890.829346,-689.129944,313.418701,850.856934,-718.625366,385.188171,868.835083,-671.703552,95.536011,,,,806.680298,-749.323242,42.097614,856.094177,-458.750275,43.036804,924.633423,-532.522034,44.945469,982.580872,112.581924,154.647217,954.076660,537.743408,155.125519,517.688538,526.403442,152.891785,508.715271,102.958206,165.422302,1058.154419,43.423672,1078.578247,1079.787964,24.306892,1051.898682,1079.105713,-3.930685,1023.549072,456.008667,50.788265,1095.240356,419.443909,38.114841,1080.853882,401.635468,13.809200,1052.169556
21990,0,630.668945,-531.261169,1650.452881,748.793762,-521.869324,1657.928345,632.542114,-671.836365,1578.315308,791.586548,-650.244751,1588.577148,620.865112,-571.478516,1498.875122,775.223511,-532.975098,1502.629761,704.115662,-726.818237,1412.411011,700.148438,-762.164612,1335.708130,709.235413,-515.608887,1353.349121,713.656128,-474.282166,1270.336182,808.095154,-737.728149,1372.128540,499.656677,-605.166626,1399.050171,440.038696,-606.986694,1173.689453,442.096619,-612.417908,1070.840332,,,,450.305115,-547.717468,964.078064,516.414917,-508.346619,837.466736,483.266296,-572.295776,818.471802,508.338867,-495.130493,714.938721,472.244202,-551.280151,751.831665,898.171204,-593.552551,1425.535889,983.024658,-590.925842,1197.420776,987.487610,-581.674011,1084.799683,,,,988.757446,-560.624878,945.900024,920.944275,-503.367371,826.012451,960.976807,-566.789856,819.879211,947.354065,-501.753571,716.749512,971.028809,-560.455383,764.477539,599.299438,-488.912354,926.067383,848.777222,-494.235504,926.608032,638.683655,-712.859741,921.977600,779.062683,-728.467651,933.113525,542.746094,-555.399475,926.915649,907.753540,-606.400330,941.411804,535.279785,-547.767151,817.868164,553.919861,-550.257935,708.620605,573.914246,-534.033142,629.271179,562.945801,-615.324524,611.534546,551.647827,-636.583130,691.932251,568.388000,-606.629883,526.526062,,,,559.172607,-644.847107,391.227814,567.169983,-597.700439,347.987549,555.704529,-660.603271,282.843781,558.227783,-704.145630,325.357391,599.502319,-670.379883,95.724899,,,,653.448914,-737.110168,41.105984,590.897034,-438.759277,56.928963,927.532349,-596.413391,833.693481,546.875977,-510.321198,34.293270,,,,867.138550,-502.652222,625.858948,,,,907.609680,-616.543030,658.649902,892.421570,-613.963989,520.032166,,,,882.873413,-677.068298,415.241699,913.900574,-639.782715,337.667786,890.755188,-689.153870,313.525177,850.795105,-718.609436,385.261383,868.832214,-671.607117,95.516861,,,,806.712646,-749.328857,42.115131,856.039612,-458.843964,42.951641,924.624451,-532.606812,45.042641,982.607910,112.608833,154.498062,954.082092,537.748291,155.119751,517.305725,526.373962,152.569962,508.621765,102.867577,165.488739,1058.207520,43.348469,1078.612793,1079.773071,24.323570,1051.871826,1079.091675,-3.942931,1023.525940,456.072510,50.856911,1095.241699,419.645966,37.826775,1081.433105,401.665344,13.831274,1052.185669
