Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LASI,,RASI
All Timesteps RMSE,0.0444629,0,0,0,0,0.0480993,0,0,0,0,0,0,0.0378351,0,0.0289554,0,0,0.0156914,0,0,0.0298846,0.0453478,0.0354137,0.0237012,0.0167598,0.0423735,0.0342772,0.0379961,0.0429318,0.0382866,0.0282793,0.0347972,0.0387278,0.0235686,0.0260443,0.0359451,0.0439226,0.0185616,0.0318844,0,0.0300041,0.0427459,0,0,0.018789,0,0,0.0317189,0.0553654,0.0473504,0.0194086,0.02514,0.0395554,0.0487915,0.0441418,0.0637779,0.0561465,0.0413568,0.0611322,0.0420894,0.045319,0.0687211,0.021855,0.0444782,0.033597,0.0246468,0.0542523,0.0657317,0,0,0,0,0.0538472,0,0.0425739
0,0.0408088,0,0,0,0,0.0561971,0,0,0,0,0,0,0.0554357,0,0.0240734,0,0,0.0099507,0,0,0.0312362,0.0399196,0.0372762,0.0248644,0.0215902,0.0626431,0.0361049,0.0310809,0.0378937,0.0459669,0.031975,0.033962,0.0351637,0.0240656,0.0312522,0.014738,0.0426401,0.0162497,0.0263304,0,0.0242471,0.0349706,0,0,0.0107842,0,0,0.0461768,0.0508071,0.0411243,0.0259727,0.0243802,0.0655975,0.0682891,0.0350821,0.0606203,0.048183,0.0283056,0.0646955,0.0422812,0.0457854,0.0711465,0.0218088,0.041734,0.0499274,0.0330814,0.062098,0.0638589,0,0,0,0,0,0,0
1,0.0402234,0,0,0,0,0.0566195,0,0,0,0,0,0,0.0553561,0,0.024069,0,0,0.0100112,0,0,0.0311348,0.0401168,0.0373872,0.0248245,0.0216539,0.0627467,0.0361081,0.0309164,0.0377899,0.0461824,0.0321341,0.0339206,0.0350685,0.0241037,0.0313457,0.0148917,0.0420882,0.0161562,0.0262661,0,0.0241974,0.0350367,0,0,0.0117625,0,0,0.0481049,0.0508541,0.0410449,0.0262344,0.0245871,0.0656393,0.0684769,0.0348581,0.0604334,0.0480989,0.028334,0.0648404,0.0423778,0.0459036,0.07132,0.0216463,0.0419721,0.0519664,0.0389244,0.0622491,0.0636263,0,0,0,0,0,0,0
2,0.0399242,0,0,0,0,0.0568091,0,0,0,0,0,0,0.0553589,0,0.0240708,0,0,0.0100032,0,0,0.031025,0.0401479,0.0374166,0.0248081,0.0216029,0.0626817,0.0360283,0.0307337,0.0376714,0.0462846,0.0321473,0.0338715,0.0350541,0.0241511,0.0313794,0.0148661,0.0420563,0.0161275,0.0262392,0,0.0242094,0.0352111,0,0,0.0122446,0,0,0.048872,0.050912,0.0410704,0.0264918,0.0245767,0.0655882,0.0685613,0.03485,0.0603679,0.0481884,0.0285072,0.0648105,0.0423476,0.0458813,0.0711922,0.0215191,0.042009,0.0526002,0.0412504,0.0623066,0.0636916,0,0,0,0,0,0,0
3,0.0411918,0,0,0,0,0.055321,0,0,0,0,0,0,0.0555283,0,0.0238518,0,0,0.0103169,0,0,0.0308066,0.0411275,0.0348015,0.0228489,0.0215252,0.0619153,0.0369011,0.0329506,0.0370498,0.0441541,0.0323351,0.0356949,0.0373891,0.0254034,0.0314557,0.0140164,0.0425563,0.0163758,0.0250477,0,0.0243904,0.0343116,0,0,0.0102406,0,0,0.0446579,0.0483409,0.0418775,0.0246363,0.0238724,0.0645026,0.0683231,0.0370822,0.0622826,0.0493353,0.027721,0.0643405,0.0420243,0.0454966,0.0709434,0.024502,0.0407261,0.0415204,0.0303116,0.0611727,0.0646964,0,0,0,0,0.0330044,0,0
4,0.0414428,0,0,0,0,0.0549691,0,0,0,0,0,0,0.0555656,0,0.023888,0,0,0.0104007,0,0,0.0307352,0.0409706,0.0348154,0.0226303,0.0215102,0.0615658,0.0370254,0.0329523,0.0370531,0.0440875,0.032133,0.0356673,0.0373708,0.0253264,0.0313099,0.0139264,0.0428529,0.0164099,0.0253009,0,0.0245387,0.0340712,0,0,0.00973271,0,0,0.0437915,0.0484394,0.0419095,0.0245652,0.0236647,0.064189,0.0684846,0.0374628,0.0624114,0.0495184,0.0280322,0.0641274,0.0418441,0.0453245,0.0707325,0.0243151,0.0405545,0.0389639,0.0276087,0.0608875,0.0649981,0,0,0,0,0.0331006,0,0
5,0.0416803,0,0,0,0,0.0546619,0,0,0,0,0,0,0.0556702,0,0.0239447,0,0,0.0104004,0,0,0.03057,0.0409221,0.0347868,0.0219105,0.021521,0.0612844,0.0370484,0.0329469,0.0371512,0.0440981,0.0320076,0.0356234,0.0373157,0.0252864,0.031183,0.0137955,0.0430251,0.0164119,0.0254268,0,0.0245651,0.033853,0,0,0.00941396,0,0,0.0429874,0.0484476,0.0419635,0.0243626,0.0234745,0.0639157,0.0685491,0.0378541,0.0627029,0.0497108,0.0283229,0.0639651,0.0417161,0.0451875,0.0706818,0.0243254,0.0403245,0.0367856,0.0253402,0.0606515,0.0652481,0,0,0,0,0.0333125,0,0
6,0.0419264,0,0,0,0,0.0543044,0,0,0,0,0,0,0.055789,0,0.023997,0,0,0.0103378,0,0,0.030432,0.0408975,0.0346892,0.0213087,0.0215148,0.0610014,0.0370518,0.0329331,0.0373435,0.0440559,0.0319195,0.0356259,0.0373098,0.0252435,0.0310756,0.0136427,0.0431177,0.0164378,0.0255419,0,0.0246561,0.0336797,0,0,0.00907217,0,0,0.0421213,0.0484453,0.0419884,0.0239765,0.0232119,0.0636477,0.0686025,0.0382886,0.0629307,0.0498961,0.0286385,0.063765,0.041619,0.0450416,0.07049,0.0242384,0.0400341,0.034475,0.0228469,0.060393,0.0655157,0,0,0,0,0.0335026,0,0
7,0.0421481,0,0,0,0,0.0539059,0,0,0,0,0,0,0.0559043,0,0.0240213,0,0,0.0103372,0,0,0.0303516,0.0408885,0.0345279,0.021182,0.0215484,0.060748,0.0370869,0.0328874,0.0373592,0.0440055,0.0318948,0.035689,0.0373645,0.0252334,0.0309966,0.0134601,0.0433615,0.0164838,0.0256369,0,0.0247244,0.033603,0,0,0.00883594,0,0,0.041406,0.048424,0.0419029,0.0237585,0.0230361,0.0633561,0.0686667,0.0386606,0.0630233,0.0500389,0.0288422,0.0636502,0.0415542,0.04496,0.0701888,0.0242402,0.0398136,0.0325008,0.0207083,0.0601326,0.0657759,0,0,0,0,0.0336257,0,0
8,0.0423208,0,0,0,0,0.0535348,0,0,0,0,0,0,0.0560616,0,0.024042,0,0,0.0103295,0,0,0.0302275,0.0409511,0.034295,0.0214018,0.0216322,0.0605547,0.0370562,0.0328319,0.037104,0.0439969,0.0319536,0.0357845,0.0374055,0.0252057,0.0309467,0.013245,0.043705,0.0165176,0.0256615,0,0.0247759,0.0333946,0,0,0.0088377,0,0,0.0407594,0.0483229,0.0419197,0.0235573,0.0228627,0.0630526,0.0687029,0.0389303,0.0630992,0.0501922,0.0289664,0.0636063,0.0415248,0.044901,0.0701398,0.0242693,0.0397248,0.0307765,0.0187363,0.0598445,0.0660281,0,0,0,0,0.0336695,0,0
