Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,
All Timesteps RMSE,0.0463113,0,0,0,0,0.0433069,0,0,0,0,0,0,0.0359506,0,0.0246972,0.0400647,0,0,0.0151988,0,0,0.0464025,0.0379855,0.0301639,0.0174425,0.0194445,0.0362087,0.029537,0.0295287,0.0339449,0.0402245,0.0364858,0.0389245,0.0433377,0.0269738,0.0298794,0.0287865,0.0481573,0.0265678,0.0165571,0.0376233,0,0.028507,0.0422419,0.0490829,0,0,0.0226418,0,0,0.0273905,0.0568066,0.0476369,0.0226414,0.0221854,0.041234,0.0517111,0.0419593,0.0636045,0.0500166,0.0371652,0.0608225,0.0398327,0.0442816,0.0678404,0.0256315,0.0393538,0.0249729,0.0142742,0.0487888,0.0711244,0,0,0,0
0,0.0422934,0,0,0,0,0.0500657,0,0,0,0,0,0,0.0430713,0,0.0255128,0.0407674,0,0,0.0140545,0,0,0.0523334,0.0341655,0.0261253,0.0179212,0.0194172,0.0309294,0.0378322,0.0246716,0.0260741,0.0401637,0.0375339,0.0410708,0.0453554,0.0285754,0.0322432,0.0102787,0.056923,0.0157877,0.0171564,0.0335959,0,0.0258094,0.0443923,0.0468072,0,0,0.00582714,0,0,0.0229194,0.061934,0.0440989,0.0210228,0.0211839,0.0404398,0.0575371,0.0394502,0.0590235,0.0459109,0.040229,0.0627137,0.041767,0.0465914,0.06761,0.0135507,0.041974,0.0220614,0.0147233,0.0583479,0.0739177,0,0,0,0
1,0.0409345,0,0,0,0,0.0501383,0,0,0,0,0,0,0.0428115,0,0.0254913,0.0401498,0,0,0.0142703,0,0,0.0519292,0.034435,0.0261497,0.0182545,0.0195982,0.0315599,0.0375694,0.0252111,0.026456,0.0397945,0.0369161,0.0407557,0.0450081,0.0284226,0.0319323,0.0106535,0.0558862,0.0146293,0.0177978,0.0335412,0,0.026123,0.0438486,0.0469496,0,0,0.0124453,0,0,0.0266538,0.0612759,0.0442664,0.0200769,0.0207603,0.0401034,0.053929,0.0396517,0.0599156,0.0467987,0.0397646,0.0624979,0.0415349,0.0463446,0.06753,0.013706,0.0473181,0.0183835,0.0170873,0.0583571,0.0728057,0,0,0,0
2,0.0404436,0,0,0,0,0.0504387,0,0,0,0,0,0,0.0427674,0,0.0255934,0.0400783,0,0,0.0145067,0,0,0.0518497,0.034461,0.0260753,0.0182816,0.0198943,0.0316972,0.037819,0.0255009,0.0265773,0.039584,0.0365185,0.0410216,0.0449054,0.0283275,0.0316405,0.0106953,0.0559137,0.0145242,0.017849,0.0334431,0,0.0261015,0.0437504,0.0467771,0,0,0.01227,0,0,0.0265867,0.0611457,0.0442803,0.0198402,0.0208166,0.0401569,0.0540798,0.039703,0.0600217,0.0467996,0.039751,0.0625423,0.0415075,0.0463032,0.0674761,0.0138012,0.0473637,0.017089,0.0181379,0.0584702,0.0725111,0,0,0,0
3,0.0399887,0,0,0,0,0.0507043,0,0,0,0,0,0,0.0427184,0,0.0256955,0.040056,0,0,0.0146142,0,0,0.0517795,0.034501,0.0259613,0.0182538,0.0201307,0.0318763,0.0379319,0.0259639,0.026574,0.0394016,0.0361352,0.0412245,0.044715,0.0282279,0.031425,0.0107904,0.0558523,0.0144112,0.0179171,0.0334889,0,0.0261075,0.043645,0.0466476,0,0,0.0121,0,0,0.026564,0.0610511,0.0442382,0.0197775,0.0209211,0.0402201,0.0542155,0.039701,0.0599967,0.0466036,0.0397829,0.0625454,0.0415098,0.0462632,0.067467,0.0137313,0.0473211,0.0160642,0.0188661,0.0585941,0.0721851,0,0,0,0
4,0.0399071,0,0,0,0,0.0504917,0,0,0,0,0,0,0.0485433,0,0.0270804,0.0398246,0,0,0.0151168,0,0,0.0512402,0.034349,0.0293633,0.0172524,0.0210079,0.0327052,0.0381346,0.0266222,0.0270718,0.0379791,0.0345224,0.0405855,0.0451171,0.0263368,0.028177,0.00815896,0.0560944,0.0146882,0.0185918,0.0356753,0,0.0275202,0.0433492,0.0466031,0,0,0.0122562,0,0,0.026258,0.0610567,0.0440239,0.0196541,0.0202833,0.0408514,0.0539891,0.0395789,0.0605114,0.0467777,0.0396202,0.0620388,0.0405467,0.0456225,0.0674184,0.0134337,0.0474431,0.0156392,0.0196385,0.0583468,0.0721472,0,0,0,0
5,0.0396317,0,0,0,0,0.0507017,0,0,0,0,0,0,0.0477077,0,0.0271713,0.0395198,0,0,0.0150672,0,0,0.0513922,0.0344669,0.0279219,0.0171028,0.0209623,0.0329558,0.0385841,0.025726,0.0270316,0.037972,0.0346872,0.0403741,0.0448269,0.0263035,0.0285714,0.00691682,0.0560566,0.0144082,0.0186996,0.0353653,0,0.0275664,0.0433706,0.0464378,0,0,0.0123921,0,0,0.0263243,0.0608899,0.0439578,0.0196135,0.0203325,0.0407806,0.0537721,0.0396431,0.0605908,0.0468144,0.0395865,0.0619409,0.0405269,0.0455768,0.0673396,0.0135568,0.0474998,0.0156024,0.0192771,0.0587012,0.0719442,0,0,0,0
6,0.0393708,0,0,0,0,0.0509011,0,0,0,0,0,0,0.0468961,0,0.0274731,0.039374,0,0,0.015052,0,0,0.0515425,0.0348987,0.0265142,0.0168017,0.0208437,0.0331746,0.038882,0.025335,0.0269937,0.0380065,0.0347144,0.0400658,0.0444509,0.0261833,0.0290159,0.00657339,0.0558785,0.0142043,0.0188612,0.0353588,0,0.0277013,0.0433782,0.0463575,0,0,0.0125703,0,0,0.0264079,0.0607095,0.0438188,0.0194616,0.0204031,0.0406832,0.0535504,0.0397579,0.0606632,0.0468249,0.0395428,0.0619607,0.0404657,0.0455229,0.0672794,0.0135272,0.0475804,0.0156032,0.019055,0.058776,0.0716991,0,0,0,0
7,0.0392127,0,0,0,0,0.0510327,0,0,0,0,0,0,0.0462612,0,0.0279784,0.0395073,0,0,0.0149846,0,0,0.0515887,0.0354665,0.0255694,0.0166761,0.0208774,0.0333813,0.0390701,0.0253451,0.0268496,0.038028,0.0345756,0.0398731,0.0440865,0.0259851,0.029263,0.00727713,0.0556869,0.0139339,0.0190794,0.0355442,0,0.0278667,0.0434556,0.0463376,0,0,0.0126665,0,0,0.0263142,0.0606081,0.0436726,0.0194571,0.0204666,0.0406406,0.0532142,0.0394713,0.0606474,0.0467531,0.0395669,0.0620485,0.0404122,0.045491,0.0671716,0.0134698,0.0475189,0.0153846,0.0188285,0.0587631,0.0715682,0,0,0,0
8,0.0391174,0,0,0,0,0.0511185,0,0,0,0,0,0,0.0458972,0,0.028368,0.0395546,0,0,0.0148803,0,0,0.0516255,0.03601,0.0251574,0.0167658,0.0207543,0.0336143,0.0391687,0.0254197,0.0268085,0.038045,0.0343873,0.0396061,0.0437652,0.0262131,0.0293177,0.0081161,0.0555032,0.0136474,0.019264,0.0356386,0,0.0279991,0.0436027,0.0463938,0,0,0.0125102,0,0,0.0260679,0.0605252,0.0435124,0.0195645,0.0205486,0.0405308,0.052833,0.0383862,0.060513,0.046746,0.0396081,0.0619926,0.0403592,0.0454045,0.0671137,0.0134997,0.0473901,0.014624,0.0187784,0.0586943,0.0715026,0,0,0,0
