Timestep,C7,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,CBL,IMUL_M,R5HD
All Timesteps RMSE,0.0459612,0,0,0,0.0472506,0,0,0,0,0,0.0385414,0,0.0291846,0.0365282,0,0,0.0174963,0,0,0.0468936,0.0411268,0.0330755,0.0289437,0.0152543,0.0409531,0.0315867,0.0320017,0.0383673,0.0412886,0.0303089,0.0326212,0.0368406,0.0207663,0.0253197,0.0184029,0.0473775,0.028007,0.015609,0.0266387,0.0273481,0.0465785,0.0439862,0,0,0.0439158,0,0,0.0275575,0.0510562,0.0502193,0.0205475,0.019439,0.03768,0.0462167,0.0435993,0.0678563,0.0558987,0.0361616,0.0581913,0.039212,0.0444304,0.0683489,0.0317224,0.0426506,0.0331776,0.0224081,0.0542496,0.0615146,0,0,0,0,0,0,0
0,0.0486404,0,0,0,0.0451923,0,0,0,0,0,0.0285196,0,0.0280002,0.0326172,0,0,0.0211566,0,0,0.0515836,0.0381052,0.030934,0.0283023,0.0107679,0.0486038,0.0313271,0.0334494,0.0411542,0.0411061,0.0276159,0.0302457,0.0348325,0.0161522,0.021938,0.0254277,0.0414908,0.0287563,0.0102674,0.027904,0.024805,0.0423037,0.0454349,0,0,0.0533066,0,0,0.0311407,0.0543022,0.0560954,0.0130535,0.0165942,0.0408898,0.0566024,0.038641,0.0680181,0.0576799,0.0303649,0.0552368,0.0385115,0.0391592,0.0654428,0.0459077,0.0430899,0.0306707,0.0269368,0.0522057,0.0591182,0,0,0,0,0,0,0
1,0.0493409,0,0,0,0.0439727,0,0,0,0,0,0.0275749,0,0.0281061,0.0323648,0,0,0.0214926,0,0,0.0528867,0.0374459,0.0308182,0.0282466,0.0108996,0.0484999,0.0314202,0.0331514,0.0407231,0.0410796,0.0274818,0.0297948,0.0351696,0.0162092,0.0214404,0.0264483,0.0385772,0.028167,0.00998223,0.0282445,0.0239292,0.0414031,0.0476991,0,0,0.0523025,0,0,0.0299404,0.0545062,0.0557211,0.0138204,0.01766,0.0415768,0.0558381,0.038731,0.0684215,0.0584205,0.0301846,0.0547189,0.0378017,0.0382615,0.0654083,0.049628,0.0433523,0.0317899,0.0261013,0.0512839,0.0594745,0,0,0,0,0,0,0
2,0.0497121,0,0,0,0.0436884,0,0,0,0,0,0.0265622,0,0.0280557,0.0327433,0,0,0.0215855,0,0,0.0529938,0.0371355,0.0307069,0.0282183,0.0109987,0.0486804,0.0321346,0.0329016,0.0409498,0.0410561,0.0271559,0.0289815,0.0353159,0.0163012,0.0212392,0.0275702,0.0385535,0.027811,0.00984918,0.0275548,0.0232487,0.040593,0.0475468,0,0,0.0519168,0,0,0.0296199,0.0544532,0.0553803,0.0139327,0.0188176,0.0421018,0.056316,0.0385999,0.0684784,0.0587664,0.029855,0.0542914,0.0373448,0.0379067,0.065334,0.0533306,0.042643,0.032272,0.0256713,0.0513784,0.0597752,0,0,0,0,0,0,0
3,0.0499884,0,0,0,0.0435585,0,0,0,0,0,0.0259628,0,0.0280248,0.0330003,0,0,0.021673,0,0,0.0531868,0.0368294,0.0307864,0.0281663,0.0111481,0.0489139,0.0327538,0.0326693,0.0410229,0.040999,0.0268752,0.0289564,0.0353109,0.0162557,0.0209506,0.0282588,0.0382698,0.0276438,0.00994549,0.0269103,0.0224981,0.0398295,0.0473301,0,0,0.0513933,0,0,0.0293204,0.0544548,0.0553424,0.0140285,0.0197461,0.0426617,0.0568228,0.0385168,0.068565,0.0591764,0.0296454,0.0539402,0.0370529,0.0377815,0.0655931,0.0572481,0.0420175,0.032639,0.0253936,0.051258,0.0600907,0,0,0,0,0,0,0
4,0.0502576,0,0,0,0.0435407,0,0,0,0,0,0.0255574,0,0.0280647,0.0330021,0,0,0.0217679,0,0,0.053405,0.0364622,0.0308978,0.0282599,0.0110681,0.0491758,0.0331949,0.032447,0.0405354,0.0409994,0.0267525,0.0296176,0.035325,0.0159783,0.0206863,0.0287068,0.038101,0.0277183,0.0102334,0.0268795,0.0215763,0.0391345,0.0470721,0,0,0.0511243,0,0,0.0290121,0.0545258,0.0558936,0.0142119,0.0202775,0.0432671,0.0572623,0.0385369,0.0687968,0.0597359,0.029506,0.0538241,0.0370403,0.0379572,0.0662234,0.0612267,0.0414493,0.0328467,0.0248429,0.0509719,0.060385,0,0,0,0,0,0,0
5,0.0506777,0,0,0,0.0434921,0,0,0,0,0,0.0250459,0,0.0280612,0.0332215,0,0,0.0218982,0,0,0.0535459,0.0361065,0.0309125,0.0283855,0.0108564,0.0493395,0.0335783,0.0322328,0.0405449,0.0410577,0.0269813,0.0294597,0.0352947,0.0157643,0.0205619,0.0292482,0.0379435,0.0277173,0.0106021,0.0275245,0.0203712,0.0386034,0.0468193,0,0,0.050912,0,0,0.0285574,0.0545471,0.05718,0.0144638,0.0208286,0.0439313,0.0577061,0.0386679,0.0692896,0.0604062,0.0294152,0.054157,0.0375034,0.0385746,0.067021,0.0653417,0.0410577,0.0329099,0.0243774,0.0508245,0.0607114,0,0,0,0,0,0,0
6,0.0514281,0,0,0,0.0433606,0,0,0,0,0,0.0239387,0,0.0280535,0.0333008,0,0,0.0220731,0,0,0.0533583,0.0356711,0.0313389,0.0283018,0.0106332,0.0489036,0.0328023,0.0322214,0.0411464,0.0411712,0.0262483,0.0290601,0.0349687,0.0155422,0.0202031,0.030803,0.0380405,0.027701,0.0109446,0.0284129,0.0179002,0.0378579,0.046745,0,0,0.0506111,0,0,0.0279526,0.054061,0.0563893,0.016177,0.0189496,0.0443145,0.0581934,0,0.0725923,0.061853,0.0305509,0.0551341,0.0378731,0.0398609,0.0689599,0.0682739,0.0405999,0.0330505,0.0239446,0.0508011,0.0604873,0,0,0,0,0,0,0
7,0.0516002,0,0,0,0.0432095,0,0,0,0,0,0.0241454,0,0.0280957,0.0338402,0,0,0.0222164,0,0,0.053356,0.0356696,0.0311618,0.0280421,0.0108157,0.0494034,0.033829,0.0318433,0.0406664,0.0413422,0.0267187,0.0292653,0.0353521,0.0155995,0.0202135,0.0301827,0.0376759,0.0275631,0.0111358,0.0316789,0.0187244,0.0379533,0.046323,0,0,0.0504732,0,0,0.0274821,0.0545212,0.0601749,0.0150358,0.0215754,0.0451678,0.0584509,0.039179,0.0701163,0.0606065,0.0297069,0.0554221,0.038692,0.0402734,0.0696166,0.0742051,0.0399429,0.0331464,0.0236364,0.0504348,0.061506,0,0,0,0,0,0,0
8,0.0520392,0,0,0,0.04291,0,0,0,0,0,0.0236489,0,0.0280922,0.0341797,0,0,0.0223365,0,0,0.0533426,0.03559,0.0314264,0.027997,0.010603,0.0493221,0.0338575,0.0317301,0.0403668,0.041429,0.0266734,0.0290436,0.0355185,0.0154672,0.0201011,0.0307851,0.0378075,0.027301,0.0109216,0.0339647,0.0185147,0.0377158,0.0461907,0,0,0.0504556,0,0,0.0270493,0.0545325,0.0618447,0.0153385,0.0219937,0.0454967,0.058775,0.0394807,0.0701931,0.0608167,0.0297457,0.0559733,0.039205,0.040891,0.0705673,0.0787089,0.0394319,0.0332245,0.0233878,0.0501392,0.0618663,0,0,0,0,0,0,0
