Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUL_M,RTHIA,RASI,,x74
All Timesteps RMSE,0.044469,0,0,0,0,0.0448485,0,0,0,0,0,0.0359127,0,0.028778,0.0281919,0,0,0.0155096,0,0,0.0391237,0.0504813,0.0314494,0.0220647,0.0248536,0.0435294,0.0337151,0.0372479,0.0388653,0.0404332,0.0361764,0.0362037,0.0402706,0.0246027,0.027449,0.0287176,0.0495051,0.031485,0.0159263,0.0312081,0,0.0276728,0.0450998,0,0,0.0235993,0,0,0.025177,0.0456998,0.0478104,0.0276263,0.0201775,0.0395733,0.0439986,0.0449633,0.0512004,0.0330014,0.063737,0.0441536,0.0482213,0.0717678,0.0347195,0.0428333,0.0257053,0.0153042,0.0488645,0.065108,0,0,0,0,0.0667655,0.0777325,0,0
0,0.0465042,0,0,0,0,0.0494503,0,0,0,0,0,0.0376113,0,0.0331834,0.0287393,0,0,0.0153112,0,0,0.0473545,0.0519025,0.0319989,0.0223684,0.024315,0.0305692,0.0401572,0.0378016,0.0318462,0.0421228,0.0431257,0.0375307,0.0409045,0.0252434,0.0301149,0.0221303,0.0569405,0.0157251,0.0192066,0.0318979,0,0.0265311,0.040105,0,0,0.00975706,0,0,0.0246392,0.0420032,0.0402391,0.0309847,0.0202909,0.026654,0.0512657,0.0435918,0.0536811,0.0360434,0.0569967,0.0373381,0.0442629,0.0662851,0.0118799,0.0493956,0.0201254,0.0207283,0.0641028,0.0628396,0,0,0,0,0,0,0,0
1,0.046555,0,0,0,0,0.0493249,0,0,0,0,0,0.0375732,0,0.0332694,0.0288826,0,0,0.0152664,0,0,0.0474889,0.0518285,0.0319979,0.0218373,0.0248367,0.0306217,0.0400257,0.0378596,0.0318952,0.042016,0.0430309,0.0374538,0.0409101,0.0252655,0.0300663,0.0221542,0.0568126,0.015765,0.0192831,0.0318251,0,0.0265731,0.0402271,0,0,0.0097364,0,0,0.0244666,0.0420737,0.0401345,0.030911,0.0202843,0.0266436,0.0513698,0.0437399,0.0536433,0.0360319,0.0569828,0.0373007,0.0442664,0.0663553,0.0118723,0.0493904,0.0200683,0.0206471,0.0638183,0.0628593,0,0,0,0,0,0,0,0
2,0.0465858,0,0,0,0,0.0492181,0,0,0,0,0,0.0376226,0,0.0333299,0.0288065,0,0,0.0152094,0,0,0.0475996,0.0517394,0.0319599,0.0219025,0.0250283,0.0306537,0.0399543,0.0379375,0.0319078,0.0421659,0.0430197,0.0374678,0.0409106,0.0252823,0.0300062,0.0220924,0.0568684,0.0158592,0.0192733,0.0318209,0,0.0265484,0.0403199,0,0,0.0097095,0,0,0.0244888,0.042089,0.0400835,0.0309276,0.0202621,0.0266605,0.0514643,0.0436974,0.0535846,0.035981,0.0569451,0.0372036,0.0443114,0.0664095,0.0118773,0.0493817,0.0199903,0.0206423,0.0635497,0.0629011,0,0,0,0,0,0,0,0
3,0.0466255,0,0,0,0,0.0490961,0,0,0,0,0,0.0376363,0,0.0333361,0.0287672,0,0,0.0152412,0,0,0.0477635,0.0516157,0.0318724,0.0218832,0.0250627,0.0306817,0.0399076,0.0380161,0.0318956,0.0421752,0.0429954,0.0374445,0.0408365,0.0253345,0.0299668,0.0220416,0.0569564,0.0159095,0.0191868,0.0318727,0,0.0265162,0.0403916,0,0,0.00959597,0,0,0.0245132,0.0420633,0.0400776,0.0309362,0.0202441,0.0266908,0.0515306,0.0437319,0.0535621,0.0359182,0.0568716,0.0373333,0.0443274,0.0664275,0.0118691,0.0493498,0.0199348,0.0206262,0.0633511,0.0628902,0,0,0,0,0,0,0,0
4,0.0466262,0,0,0,0,0.0489956,0,0,0,0,0,0.0376395,0,0.0332961,0.0286719,0,0,0.0152434,0,0,0.047817,0.0514909,0.0317957,0.0218063,0.0249235,0.0307026,0.0398835,0.0380827,0.0318877,0.0420236,0.0429352,0.0373815,0.0407257,0.0253279,0.0299582,0.0219649,0.0570731,0.0160013,0.0190932,0.0318678,0,0.0265005,0.040479,0,0,0.0095449,0,0,0.0246331,0.0420426,0.0400516,0.0309377,0.0202282,0.0266602,0.0516272,0.0437917,0.0535278,0.0358604,0.0568793,0.0374101,0.0443036,0.0664341,0.0118462,0.0493543,0.0198993,0.0206267,0.0632242,0.0628057,0,0,0,0,0,0,0,0
5,0.0466,0,0,0,0,0.0489052,0,0,0,0,0,0.0376655,0,0.0332496,0.0285455,0,0,0.0151859,0,0,0.0478489,0.0513805,0.0316689,0.0219218,0.0249034,0.0307413,0.0398541,0.0381483,0.0318839,0.0418326,0.0429296,0.037364,0.0407546,0.0253429,0.0299876,0.0218779,0.0572847,0.0160858,0.0188391,0.0318479,0,0.0264747,0.0405395,0,0,0.00952158,0,0,0.0246446,0.0420287,0.0400264,0.030963,0.020205,0.0266543,0.0517158,0.0438334,0.0535015,0.0357993,0.0569114,0.0374349,0.0442858,0.0664779,0.0118201,0.0493544,0.019833,0.0206602,0.0631063,0.06277,0,0,0,0,0,0,0,0
6,0.0466027,0,0,0,0,0.0488124,0,0,0,0,0,0.0376647,0,0.0332634,0.0286641,0,0,0.0152189,0,0,0.0479844,0.0512245,0.0316375,0.0219298,0.0249716,0.0307739,0.0398528,0.0382005,0.0318835,0.0417615,0.042947,0.0374326,0.0408404,0.0254009,0.030021,0.0217721,0.0573088,0.0161819,0.0184817,0.0318496,0,0.0264578,0.0405628,0,0,0.00949435,0,0,0.0245853,0.0420301,0.0400412,0.0309967,0.0201817,0.0266905,0.0518071,0.0437729,0.0535004,0.0357387,0.0569065,0.0374411,0.04431,0.0664931,0.0118153,0.0493138,0.0197009,0.0207371,0.0629426,0.0627834,0,0,0,0,0,0,0,0
7,0.0466182,0,0,0,0,0.0487814,0,0,0,0,0,0.0376389,0,0.0333285,0.0290448,0,0,0.0152577,0,0,0.0481424,0.0510788,0.0316353,0.0218825,0.0250698,0.0307961,0.0398471,0.0382075,0.0318964,0.0418146,0.0429636,0.0375303,0.040895,0.0254816,0.0300355,0.0217409,0.0573427,0.016412,0.0180925,0.0318713,0,0.026437,0.0405741,0,0,0.00947149,0,0,0.0245711,0.0420222,0.0400501,0.0309951,0.0201536,0.0266926,0.0518451,0.0435895,0.0534974,0.0357152,0.0569313,0.0374101,0.0443611,0.0664475,0.0117892,0.0492636,0.0196204,0.0207642,0.0628454,0.0627983,0,0,0,0,0,0,0,0
8,0.0465936,0,0,0,0,0.0487814,0,0,0,0,0,0.0376832,0,0.0333255,0.0290142,0,0,0.0152742,0,0,0.0482326,0.0510073,0.0315698,0.0219796,0.0250498,0.0307823,0.0398865,0.038056,0.0319625,0.0419534,0.0429296,0.037462,0.0408929,0.025533,0.0300105,0.0216845,0.0574316,0.0169592,0.01768,0.0318807,0,0.0264446,0.0406123,0,0,0.00946927,0,0,0.024584,0.0419676,0.0400156,0.0309822,0.0201237,0.026559,0.0518534,0.0433665,0.0534802,0.0357239,0.0569954,0.0372973,0.0444068,0.0664566,0.0117531,0.0492608,0.0195943,0.0207517,0.0628377,0.0627766,0,0,0,0,0,0,0,0
