Timestep,C7,CBL,CBR,CFR,CLAV,IMUL_B,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFIN,RFRM,RGTR,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBP,RUPA,STRN,T10,x71,x72,x73,LTIBA,RKNE,RTHI,RBHD,RHEE,RTHII,,RFHD,IMUL_M,RTHIA,IMUR_B,IMUL_T,IMUR_M,CFL,LTHI,RWRB,RTOE,RTIBA,x74,RTIBI,LASI,RWRA,LANK,LHEE,LWRA
All Timesteps RMSE,0.0459406,0,0,0,0.0471336,0,0.034278,0,0,0,0.0143541,0,0,0.0404631,0.0623361,0.0303268,0.0194525,0.0408223,0.028991,0.0425563,0.0342117,0.0304224,0.0224899,0.0274113,0.0337952,0.0479911,0.0183979,0.0479302,0,0.0344845,0.0500331,0.0450722,0,0.0199708,0,0.0207541,0.0516772,0.0186942,0.0343423,0.0481677,0.0402741,0.0584927,0.0676593,0.0429835,0.0523644,0.0609511,0,0,0,0.0348628,0.0255708,0.0438369,0,0.0696121,0.0547134,0,0,0,0.0634214,0,0,0,0,0.0326103,0.0132945,0.0267826,0.0387973,0,0.0440271,0.0404294,0.0202554,0.0321496,0.0392701,0.0184306
0,0.0312162,0,0,0,0.0611678,0,0.0333274,0,0,0,0.0115282,0,0,0.0324828,0.0545944,0.0288957,0.0126283,0.0482411,0.022306,0.0525116,0.0308681,0.02617,0.020527,0.0194137,0.0362477,0.046577,0.0186393,0.0759808,0,0.0836107,0.0654604,0.0398756,0,0.0232723,0,0.00317465,0.0634899,0.0224744,0.0317254,0.0429335,0.0311681,0.0395768,0.0474819,0.0478894,0.0683783,0.0511356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0326773,0,0,0,0.0611725,0,0.0337983,0,0,0,0.011448,0,0,0.0318951,0.0565401,0.035,0.011665,0.0494808,0.0218391,0,0.0293442,0.0217079,0.0174897,0.0198992,0.0328658,0.0473807,0.0190833,0.0851709,0,0.0778724,0.065742,0.0393197,0,0.0218229,0,0.00299218,0.0603878,0.0221168,0.030234,0.0408992,0.0317309,0.0393771,0.0480977,0.0488613,0.068876,0.048887,0,0,0,0.0281174,0.0371749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0323685,0,0,0,0.0606643,0,0.0377557,0,0,0,0.0112658,0,0,0.0319915,0.0578457,0.031681,0.0124623,0.0498167,0.0233079,0,0,0.0249032,0,0.0197594,0.0288637,0.0469131,0.0192877,0.0806568,0,0.0881463,0.0653619,0.0397294,0,0.0220106,0,0.00309507,0.0455875,0.0228276,0.0307346,0.0413111,0.0346299,0.055021,0.0391165,0.0486983,0.0680882,0.0500574,0,0,0,0,0,0.0284969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0329087,0,0,0,0.0600622,0,0.0308386,0,0,0,0.0111881,0,0,0.0323389,0.0562979,0.0281126,0.00595026,0.0506365,0.02301,0,0.0916788,0.026705,0.0232323,0.0279574,0.0424808,0.0457164,0.0194099,0.0870545,0,0.0792862,0.0693586,0.0383161,0,0.0263591,0,0,0.0538035,0.023014,0.032853,0.0379545,0.0312475,0.0431614,0.0437679,0.0486444,0.0672451,0.0525704,0,0,0,0.0309956,0.0359141,0.0338888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0301553,0,0,0,0.0602902,0,0.0315495,0,0,0,0.010967,0,0,0.0335674,0.0532316,0.0288552,0.00807253,0.0520173,0.0264413,0,0.100661,0.0308867,0.0261692,0.0305126,0.0432406,0.0443041,0.0189314,0.206047,0,0.0244405,0.0603135,0.0395957,0,0.0240987,0,0.00431492,0.0470474,0.020517,0.0328625,0.0437836,0.0407874,0,0,0.0468362,0.0662467,0.0557897,0,0,0,0,0.0488277,0,0,0.268272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0321604,0,0,0,0.0595361,0,0.0328725,0,0,0,0.0110458,0,0,0.0319901,0.05443,0.0318746,0.0134706,0.0487645,0.0252942,0,0,0.0272864,0,0.0199374,0.0334165,0.0470275,0.0193722,0.0856357,0,0.0679099,0.0527955,0.038161,0,0.0250284,0,0.00357251,0.0453045,0.0208714,0.0288068,0.0442228,0.0398905,0,0,0.0453638,0.0669058,0.0529675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0328371,0,0,0,0.0585375,0,0.0336426,0,0,0,0.0102952,0,0,0.0328278,0.057029,0.025756,0.00957416,0.0489794,0.0262596,0.0467892,0,0.0305164,0,0.0236564,0.0370376,0.0461734,0.0189557,0.204736,0,0.0161807,0.06442,0.0375857,0,0.0279348,0,0,0.0452428,0.0237832,0.0303759,0.0427179,0.0444505,0.0817955,0,0.0446273,0.0657177,0.0552432,0,0,0,0,0.0349652,0,0,0.275674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.032617,0,0,0,0.0592326,0,0.0272565,0,0,0,0.0108643,0,0,0.0322386,0.0533955,0.0332307,0.00205602,0.0503839,0.0264689,0.0518805,0,0.0287547,0.0739929,0.0314637,0.0477256,0.0463034,0.019517,0.0625812,0,0,0.0554842,0.0363236,0,0.0254681,0,0.00601001,0.044073,0.0199714,0.0283548,0.043714,0.031173,0.0344817,0.0190372,0.0449398,0.0663592,0.0541091,0,0,0,0,0.035488,0,0,0,0.0425335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0322993,0,0,0,0.0592075,0,0.0354834,0,0,0,0.0110492,0,0,0.0341615,0.0614588,0.0334655,0.0100005,0.0508859,0.0277759,0,0,0.0235091,0,0.0199024,0.0299645,0.0424204,0.0192019,0.201854,0,0,0,0.0402293,0,0.0207642,0,0,0.0422582,0.0260457,0.0282557,0.0383177,0.0417521,0,0.0880046,0,0.0669956,0.0526743,0,0,0,0,0.0400623,0.04188,0,0.274641,0.0510384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0329287,0,0,0,0.058193,0,0.0316827,0,0,0,0.0104204,0,0,0.0332181,0.0619911,0.0322308,0.00816344,0.0495148,0.0285127,0.0507734,0,0.0236376,0.0169008,0.0216096,0.0344658,0.0448775,0.019545,0.195237,0,0.0173792,0,0.0375959,0,0.0277059,0,0,0.0415534,0.0269978,0.0276906,0.0426282,0.0442115,0.0744821,0.0777359,0.0447121,0.0662489,0.0542199,0,0,0,0.0290179,0.034035,0.0459022,0,0.283719,0.0546514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0323587,0,0,0,0.0597229,0,0.0293951,0,0,0,0.0111439,0,0,0.0315048,0.0598151,0.028136,0.00924982,0.0444322,0.0239875,0.0530013,0,0.0219393,0,0.0215117,0.0382039,0.0482406,0.0190071,0.0869228,0,0.0754455,0,0.0389706,0,0.0260576,0,0.00414731,0.0529219,0.0343651,0.0273846,0.0463351,0.0355432,0.0391542,0.0379397,0.044874,0.0687044,0.0502804,0,0,0,0.027001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0326643,0,0,0,0.0584384,0,0.0321677,0,0,0,0.00977142,0,0,0.0331234,0.0614921,0.0278,0.00919726,0.0479967,0.0269837,0.0477508,0,0.0268255,0,0.0214307,0.0349628,0.0455518,0.0189698,0.199192,0,0.0182103,0,0.0375808,0,0.028841,0,0,0.0422603,0.0299609,0.0280886,0.0444839,0.0483308,0.071994,0.0769589,0.0437424,0.0665586,0.054748,0,0,0,0,0,0,0,0.280579,0.0567536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0321733,0,0,0,0.0589308,0,0.0310746,0,0,0,0.0104889,0,0,0.0332871,0.0591765,0.0351736,0.00763892,0.0483413,0.0279353,0,0,0.0212843,0,0.0222937,0.0321027,0.0448392,0.0190237,0.193476,0,0.0217098,0,0.0373632,0,0.0259813,0,0.00889603,0.044008,0.0242043,0.0264449,0.0448357,0.0401123,0,0.0903465,0.0448968,0.0673746,0.0535796,0,0,0,0.0273243,0,0.0355374,0,0.278496,0.0510952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0324216,0,0,0,0.0579972,0,0.0321515,0,0,0,0.00934419,0,0,0.00821455,0.0646299,0.0353401,0.00842645,0.0478899,0.0281217,0,0,0.0205688,0,0.0229095,0.0313103,0.0449281,0,0.197081,0,0.0168122,0,0.0391205,0,0.025678,0,0.00395713,0.0418427,0.0314921,0.02334,0.0449433,0.0459512,0.0713998,0.0760168,0.0448069,0.0671457,0.0524073,0,0,0,0.0265039,0.0316231,0,0,0.282441,0.0563466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0323092,0,0,0,0.0592348,0,0.0294708,0,0,0,0.0109708,0,0,0.0315155,0.0611776,0.029154,0.01001,0.0452799,0.0250558,0.0535392,0,0.0216702,0.0140522,0.0204763,0.0370832,0.0480994,0.0191142,0.0835709,0,0.0772045,0,0.038914,0,0.0259503,0,0.00397927,0.0512103,0.034312,0.0266915,0.0459613,0.0330381,0.03614,0.0401067,0.0448991,0.0682311,0.0505751,0,0,0,0.0270184,0.0373368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.031719,0,0,0,0.0586614,0,0.0330373,0,0,0,0.0105277,0,0,0.032919,0.0605979,0.0333746,0.00965119,0.047072,0.0281422,0,0,0.0224083,0.0130655,0.0196446,0.0293429,0.0461395,0.0187175,0.204095,0,0.0267086,0,0.0384831,0,0.0265938,0,0.00428763,0.0443148,0.0305354,0.0250005,0.0458108,0.0386996,0,0,0.0443371,0.0670554,0.0530655,0,0,0,0,0.0469781,0,0,0.268665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0319602,0,0,0,0.0591039,0,0.0271456,0,0,0,0.0108937,0,0,0.0316745,0.0558105,0.0334129,0.0115642,0.0489773,0.025214,0,0,0.0239859,0.0158782,0.0194795,0.0354929,0.0476024,0.0191849,0.086161,0,0.0678977,0.0529104,0.0377854,0,0.0260962,0,0,0.0460528,0.0210357,0.0284588,0.0435286,0.0406391,0,0,0.0453812,0.0666911,0.0526518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
