Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LTIBI,,RTHI,RTHII,x74,x80,x78,x82
All Timesteps RMSE,0.0479605,0,0,0,0,0.0431189,0,0,0,0,0,0,0.049323,0.0505764,0.0951244,0,0,0.014445,0,0,0.0409875,0.396565,0.0824337,0.0787474,0.0465134,0.0749602,0.0304791,0.111991,0.0710513,0.0959681,0.0803115,0.0359241,0.0255458,0.0588038,0.0414079,0.0515893,0.0290356,0.0215006,0.0322511,0,0.0274586,0.084729,0.0443419,0,0,0.0237324,0,0,0.0224844,0.0587435,0.0528305,0.0280553,0.0248323,0.0597824,0.0418885,0.0682306,0.0392023,0.0546919,0.0353417,0.0411533,0.0640692,0.0312138,0.0429507,0.0263149,0.0162183,0.0462554,0.0694825,0,0,0,0.0389394,0,0.034185,0.0597882,0,0,0,0
0,0.0471017,0,0,0,0,0.043501,0,0,0,0,0,0,0.0475207,0.019378,0.0577166,0,0,0.017322,0,0,0.0465549,0.0634042,0.0525152,0.0306347,0.0403784,0.0458752,0.0473783,0.0427063,0.0480375,0.0724632,0.06861,0.0453939,0.0343531,0.0638275,0.0119915,0.0553608,0.019636,0.0192438,0.0266196,0,0.0231173,0.0780038,0.0404402,0,0,0.0127302,0,0,0.0231619,0.0446089,0.0484792,0.0247097,0.0183037,0.0362072,0.0442829,0.0696819,0.0331957,0.0497222,0.0317729,0.0389193,0.061296,0.015056,0.0493292,0.0286504,0.0193455,0.0517471,0.0687187,0,0,0,0,0,0,0,0,0,0,0
1,0.0479185,0,0,0,0,0.0430959,0,0,0,0,0,0,0.0500689,0.0204418,0.0572593,0,0,0.0131039,0,0,0.0510265,0.0636584,0.0504283,0.0303458,0.039363,0.0466444,0.0419817,0.0425144,0.0478971,0.0719725,0.0682262,0.0437485,0.0330761,0.0616682,0.0112833,0.060814,0.0152041,0.0182961,0.0272093,0,0.0239339,0.0785258,0.0390639,0,0,0.0133368,0,0,0.0240522,0.044644,0.0495534,0.0246324,0.0198004,0.0368649,0.0437058,0.0706489,0.0343664,0.0481969,0.0305484,0.0375429,0.0598754,0.0162118,0.0495104,0.0262361,0.0179331,0.0509472,0.0683094,0,0,0,0,0,0,0,0,0,0,0
2,0.0474555,0,0,0,0,0.0435849,0,0,0,0,0,0,0.0547475,0.0223417,0.0575699,0,0,0.0137783,0,0,0.0501856,0.0640159,0.0489631,0.0307441,0.0374479,0.0443891,0.0407217,0.0424713,0.0484975,0.0715027,0.0673561,0.0410146,0.0312755,0.0584747,0.00978775,0.0611593,0.0159753,0.0193544,0.0259279,0,0.0235842,0.0816216,0.0394237,0,0,0.0130996,0,0,0.0237173,0.0416265,0.0493925,0,0.0198225,0.0346144,0.0440767,0.0728293,0.0346859,0.0482186,0.0304201,0.0375989,0.0602674,0.0173014,0.0495864,0.0261502,0.0180376,0.051954,0.0669523,0,0,0,0.0366534,0,0,0,0,0,0,0
3,0.0468715,0,0,0,0,0.0432729,0,0,0,0,0,0,0.0534094,0.0226107,0.060304,0,0,0.0139686,0,0,0.0472703,0,0.0519698,0.0338095,0.0396261,0.0476171,0.0450383,0.0433804,0.0504795,0.0745179,0.0700299,0.0426733,0.0319543,0.0620108,0.0111789,0.0568504,0.0183473,0.0233055,0.0264413,0,0.0233755,0.0803651,0.0404973,0,0,0.0149714,0,0,0.0242229,0.0432984,0.0496386,0.0259058,0.0184055,0.036645,0.0423402,0.0708894,0.0330215,0.0490359,0.0310506,0.0382809,0.0606635,0.0153939,0.0513591,0.0277214,0.0199356,0.0511622,0.0681904,0,0,0,0,0,0,0,0,0,0,0
4,0.0473271,0,0,0,0,0.0435674,0,0,0,0,0,0,0.05678,0.0244577,0.0604699,0,0,0.0140231,0,0,0.0494517,0,0.0510247,0.0339467,0.0377651,0.0480449,0.0424202,0.0426218,0.050646,0.0742535,0.0690145,0.0395935,0.0301592,0.0588932,0.0100676,0.0608713,0.0163539,0.0196302,0.0265433,0,0.0237328,0.0801204,0.0387684,0,0,0.0144571,0,0,0.0240594,0.0435323,0.0498579,0.0256135,0.0189034,0.0370987,0.0422544,0.0711314,0.0334466,0.0485856,0.0306331,0.0379004,0.06036,0.0157558,0.0504182,0.0274426,0.0195662,0.0510916,0.068016,0,0,0,0.0361119,0,0,0,0,0,0,0
5,0.0477485,0,0,0,0,0.043144,0,0,0,0,0,0,0.0546726,0.0218111,0.0575672,0,0,0.0133785,0,0,0.0504014,0.0624988,0.0491267,0.0304387,0.0370907,0.0466983,0.0420849,0.04099,0.0481096,0.0715903,0.0674288,0.0409825,0.0315848,0.0594269,0.010973,0.0606685,0.0157332,0.0189376,0.0271209,0,0.0237631,0.078062,0.0395084,0,0,0.0132673,0,0,0.0242266,0.0449611,0.0493494,0.024143,0.0199729,0.0373188,0.043612,0.0705564,0.034544,0.0484418,0.0307582,0.0378452,0.0601139,0.0161784,0.0497591,0.0261495,0.0180093,0.0509225,0.0684329,0,0,0,0.0373503,0,0,0,0,0,0,0
6,0.0480121,0,0,0,0,0.0430168,0,0,0,0,0,0,0.0541147,0.0214774,0.0575464,0,0,0.01341,0,0,0.0505318,0.0628417,0.0492853,0.0306709,0.0376935,0.0471071,0.0423868,0.0409777,0.048055,0.0717874,0.0679434,0.0414903,0.0318677,0.0600142,0.0108405,0.0607935,0.0155733,0.0190827,0.0271205,0,0.0238851,0.0781334,0.0393567,0,0,0.0131218,0,0,0.0238628,0.0448032,0.0492427,0.0236954,0.0195805,0.0374366,0.0436616,0.0706775,0.0341708,0.0485407,0.0305732,0.0378892,0.0603056,0.0160772,0.0494948,0.0262592,0.0181094,0.0507846,0.0686408,0,0,0,0.0376949,0,0,0,0,0,0,0
7,0.0465906,0,0,0,0,0.0437703,0,0,0,0,0,0,0.0562343,0.0243544,0.0606031,0,0,0.0140598,0,0,0.0475493,0,0.0508099,0.034357,0.0384379,0.0457155,0.0445639,0.0431568,0.0509506,0.0743687,0.0695656,0.0401878,0.030662,0.0591353,0.00936581,0.0569244,0.0187402,0.0230831,0.0252765,0,0.0230684,0.0837084,0.0407212,0,0,0.0141989,0,0,0.0244098,0.0395535,0.0491701,0,0.0182123,0.0339992,0.042679,0.073723,0.0331337,0.0490224,0.0307726,0.0382802,0.0611147,0.0167451,0.0513979,0.0278879,0.0197185,0.0522788,0.0670194,0,0,0,0.0360059,0,0,0,0,0,0,0
8,0.0475082,0,0,0,0,0.0429008,0,0,0,0,0,0,0.0527549,0.0224026,0.0614938,0,0,0.0149234,0,0,0.0470962,0,0.0533275,0.0361771,0.0419468,0.0489492,0.0468158,0,0.0513806,0.0761323,0.0727887,0.044752,0.0326463,0.0645793,0.0119769,0.0563708,0.0187766,0.0227189,0.0254195,0,0.0228441,0.0829826,0.040061,0,0,0.0154149,0,0,0.0243013,0.0405822,0.0499035,0.0274137,0.0174061,0.0357203,0.0415746,0.0727736,0.0320253,0.0490579,0.0308041,0.0383634,0.060806,0.0162154,0.0518155,0.0284665,0.020524,0.051044,0.0683313,0,0,0,0,0,0,0,0,0,0,0
