Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73
All Timesteps RMSE,0.0483766,0,0,0,0,0.0443927,0,0,0,0,0,0,0.0383717,0,0.0292423,0.0392462,0,0,0.0172151,0,0,0.04828,0.0416575,0.0328998,0.0272489,0.0195382,0.0301665,0.036944,0.0320622,0.0422991,0.0380397,0.0396615,0.0446368,0.0266023,0.0336589,0.0220364,0.0615663,0.0167991,0.0210852,0.029103,0,0.0250681,0.0510788,0.0409879,0,0,0.013697,0,0,0.0233151,0.0549097,0.0404685,0.0172568,0.0185722,0.0312116,0.0472327,0.0640734,0.0385057,0.0560904,0.0371635,0.0437174,0.0670506,0.0132069,0.0499874,0.026973,0.0185825,0.0543027,0.065015,0,0,0
0,0.0484616,0,0,0,0,0.0442397,0,0,0,0,0,0,0.0396589,0,0.029376,0.0420387,0,0,0.017159,0,0,0.0485376,0.0419011,0.0347006,0.0286376,0.0176486,0.0294134,0.0366945,0.0333756,0.042678,0.0362441,0.0382733,0.0438056,0.0265881,0.0322722,0.0215343,0.0618037,0.0169314,0.0209803,0.0300115,0,0.0257187,0.0495111,0.0407352,0,0,0.0127666,0,0,0.0227709,0.0576112,0.0399422,0.0175384,0.0200433,0.0318224,0.0474056,0.062333,0.039764,0.0564266,0.037671,0.0439883,0.0672308,0.0123316,0.0500697,0.0241592,0.0164464,0.0537479,0.0651632,0,0,0
1,0.0486977,0,0,0,0,0.0440897,0,0,0,0,0,0,0.0400518,0,0.0304235,0.0385612,0,0,0.0167629,0,0,0.0484495,0,0.0344745,0.0270306,0.019482,0.0314431,0.0377459,0.0320626,0.0434685,0.0390213,0.0387759,0.0441401,0.027042,0.0329232,0.0213113,0.0612609,0.0168108,0.0210801,0.0287486,0,0.024846,0.052525,0.0402627,0,0,0.0133659,0,0,0.0230873,0.0538826,0.0405826,0.0167382,0.0185282,0.0307446,0.0465376,0.0640317,0.0375882,0.0558422,0.0369993,0.0436437,0.0669349,0.013543,0.0502847,0.0245194,0.0168595,0.053574,0.0654494,0,0,0
2,0.0486133,0,0,0,0,0.0441506,0,0,0,0,0,0,0.0378929,0,0.0288203,0.037217,0,0,0.0168177,0,0,0.0484144,0,0.0312931,0.0269289,0.0211585,0.0313072,0.0376687,0.0307764,0.0424889,0.0399359,0.0407991,0.0455633,0,0.035017,0.0224567,0.0612551,0.0166363,0.0210972,0.0285225,0,0.0248322,0.0520061,0.0404272,0,0,0.0131487,0,0,0.0230346,0.0535034,0.0404415,0.01707,0.018338,0.0307408,0.0467662,0.0642977,0.0373869,0.0559795,0.0370478,0.0437344,0.0672036,0.0136147,0.0500633,0.0243464,0.016827,0.0537061,0.0656101,0,0,0
3,0.0485147,0,0,0,0,0.0441747,0,0,0,0,0,0,0.0372339,0,0.0280669,0.0407698,0,0,0.0174472,0,0,0.0482489,0.0420459,0.0315264,0.02787,0.0192522,0.0293687,0.0366821,0.0320184,0.0417676,0.0372058,0.0402138,0.0451799,0,0.0344745,0.0228082,0.0617142,0.0168447,0.0211444,0.0295047,0,0.0254524,0.0488112,0.0410595,0,0,0.012719,0,0,0.0226185,0.057455,0.0396697,0.0176488,0.0198531,0.0320289,0.0477224,0.0624698,0.0395692,0.0567374,0.0378758,0.0442859,0.0676372,0.0124855,0.0497982,0.0238834,0.0164556,0.053721,0.0654907,0,0,0
4,0.0486376,0,0,0,0,0.0441897,0,0,0,0,0,0,0.0379012,0,0.0288477,0.0371208,0,0,0.0168072,0,0,0.0486026,0,0.0313575,0.0269462,0.0211302,0.031269,0.0376886,0.0308127,0.0424284,0.0398441,0.04124,0.0456052,0,0.034961,0.0224843,0.0614333,0.0165337,0.0208538,0.0286355,0,0.0247883,0.0518,0.0404267,0,0,0.0131273,0,0,0.0228225,0.0533908,0.0403974,0.0171436,0.0182171,0.0307942,0.046766,0.0642892,0.0373943,0.056108,0.0371438,0.0438155,0.0672362,0.0134763,0.0500626,0.0244009,0.0168869,0.0537314,0.0655857,0,0,0
5,0.0486578,0,0,0,0,0.044182,0,0,0,0,0,0,0.0379355,0,0.0287705,0.0370194,0,0,0.016803,0,0,0.0486011,0,0.0312812,0.026884,0.0210509,0.0313184,0.0377911,0.0307857,0.0423875,0.0398706,0.0413767,0.0456908,0,0.0349645,0.0223471,0.0614139,0.0165048,0.0208445,0.028462,0,0.0248053,0.0518871,0.0404578,0,0,0.0130567,0,0,0.022751,0.0534207,0.0404044,0.0171528,0.0182045,0.0308245,0.0467688,0.0643162,0.037393,0.0560066,0.0370739,0.0437767,0.067233,0.0135687,0.0500551,0.0243692,0.016828,0.0539419,0.0655794,0,0,0
6,0.0487516,0,0,0,0,0.0441511,0,0,0,0,0,0,0.0400744,0,0.0304796,0.0384596,0,0,0.0167128,0,0,0.0485936,0,0.0343831,0.0268223,0.0192749,0.0314865,0.0379539,0.0319844,0.0433575,0.0389529,0.0390013,0.044325,0.0270205,0.0329346,0.0211459,0.0613847,0.0164296,0.0208584,0.0284474,0,0.024801,0.0524024,0.0403368,0,0,0.0132129,0,0,0.0229052,0.0538272,0.0406332,0.016895,0.0184067,0.0308709,0.0465699,0.0642815,0.0376302,0.0557355,0.0369213,0.0435576,0.0669469,0.0136511,0.0501467,0.0244192,0.0168963,0.0540885,0.0654771,0,0,0
7,0.0485645,0,0,0,0,0.0443266,0,0,0,0,0,0,0.0389432,0,0.0296278,0.0417661,0,0,0.0179764,0,0,0.0480284,0.0413406,0.0343855,0.0269217,0.017517,0.0272947,0.0359095,0.0331838,0.0423771,0.035992,0.0382701,0.0440724,0.026771,0.0324124,0.0220489,0.0621411,0.0172413,0.0213067,0.0292465,0,0.0255708,0.0509119,0.0414807,0,0,0.0121959,0,0,0.0224133,0.0570349,0.0406555,0,0.01974,0.0314472,0.0484958,0.0637373,0.040218,0.0560401,0.0373754,0.0437024,0.066947,0.0129774,0.0496288,0.0234685,0.0160271,0.0548522,0.0645946,0,0,0
8,0.0475974,0,0,0,0,0.0446424,0,0,0,0,0,0,0.0388825,0,0.0296881,0.041494,0,0,0.0179689,0,0,0.0479975,0.0415817,0.0344803,0.0272223,0.0176451,0.0281295,0.0351245,0.0335318,0.0423296,0.0357979,0.0379319,0.0438095,0.0266296,0.0323168,0.0220947,0.06169,0.0171527,0.0212145,0.0294192,0,0.0254709,0.0503871,0.0422789,0,0,0.0112068,0,0,0.021632,0.0566958,0.0405987,0,0.0194565,0.0315451,0.0468266,0.063935,0.0399929,0.056098,0.0374106,0.0437672,0.0669707,0.012937,0.0501172,0,0.0203335,0.0548047,0.063947,0,0,0
9,0.0475576,0,0,0,0,0.0448113,0,0,0,0,0,0,0.0378552,0,0.0287218,0.036409,0,0,0.0173293,0,0,0.0484082,0,0.0311793,0.0266407,0.0214008,0.0297174,0.0357248,0.0312946,0.0416449,0.0392895,0.0404081,0.0455107,0,0.0347262,0.0224635,0.0614485,0.0167494,0.0208994,0.0285312,0,0.025107,0.0535156,0.0416382,0,0,0.0113178,0,0,0.0218992,0.0515608,0.0415708,0,0.0175114,0.0296954,0.0455308,0.0666731,0.0376,0.0552587,0.0363761,0.0430138,0.0665524,0.0141618,0.0505773,0,0.0207916,0.0547459,0.0637184,0,0,0
10,0.0488197,0,0,0,0,0.0442016,0,0,0,0,0,0,0.040077,0,0.0304141,0.0383905,0,0,0.0168394,0,0,0.0485296,0,0.0342466,0.0267852,0.0195899,0.0315074,0.0377401,0.0320973,0.0431997,0.0388562,0.0388623,0.044165,0.0270277,0.0329491,0.0209618,0.0613866,0.0163793,0.0209179,0.028651,0,0.0246559,0.0521974,0.0402898,0,0,0.0130421,0,0,0.0233114,0.053637,0.0405617,0.0170519,0.0181054,0.0309035,0.0466036,0.064401,0.0375161,0.0558028,0.0369798,0.0436198,0.0668832,0.0135193,0.0501932,0.0251274,0.0160245,0.0540588,0.0654141,0,0,0
11,0.048508,0,0,0,0,0.0444455,0,0,0,0,0,0,0.0393477,0,0.0296423,0.0420182,0,0,0.0171899,0,0,0.0484008,0.0416141,0.0347512,0.0282362,0.0176589,0.0294992,0.0369418,0.033381,0.0424874,0.0360557,0.0383993,0.0436448,0.0264437,0.0322032,0.021629,0.0616883,0.016767,0.0209689,0.0298842,0,0.0255663,0.0493096,0.0408649,0,0,0.0128147,0,0,0.0226007,0.0575614,0.0399854,0.0175438,0.019696,0.0318703,0.0476174,0.0627099,0.0397592,0.0562597,0.0375108,0.0439555,0.0671085,0.0123417,0.0497588,0.0243007,0.015932,0.0545127,0.0652006,0,0,0
12,0.0487548,0,0,0,0,0.0442805,0,0,0,0,0,0,0.0396925,0,0.030581,0.0386707,0,0,0.0166547,0,0,0.0484727,0,0.0345853,0.0269519,0.0194609,0.0314672,0.0380058,0.0320846,0.0432957,0.0387707,0.0387642,0.0440509,0.026815,0.0327769,0.0212629,0.0612836,0.0164996,0.0209293,0.0286846,0,0.0246616,0.0523274,0.0403523,0,0,0.0134495,0,0,0.0227464,0.0538403,0.0406013,0.0168542,0.01814,0.0309061,0.0467536,0.0643386,0.0375715,0.0557767,0.0369088,0.043636,0.0668456,0.0134904,0.0499799,0.0246087,0.0165636,0.0542812,0.0654835,0,0,0
13,0.0487769,0,0,0,0,0.0442608,0,0,0,0,0,0,0.0396289,0,0.0305059,0.0385958,0,0,0.0166306,0,0,0.0484291,0,0.0343969,0.02685,0.0195421,0.0314799,0.038045,0.0320188,0.0432859,0.0388576,0.038717,0.0440496,0.0265148,0.0328444,0.0212025,0.0612514,0.0164719,0.0209941,0.0285297,0,0.0246587,0.0524064,0.0403684,0,0,0.013395,0,0,0.0227935,0.0537957,0.0406453,0.0169288,0.018162,0.0309598,0.0467582,0.0643393,0.0376069,0.0557726,0.0368178,0.0435547,0.0668667,0.0135546,0.0499706,0.024598,0.0166534,0.0543176,0.0655144,0,0,0
14,0.0485585,0,0,0,0,0.0444143,0,0,0,0,0,0,0.039158,0,0.0294094,0.042002,0,0,0.0171787,0,0,0.0482803,0.0415747,0.0345467,0.0281362,0.0177795,0.0294878,0.0370174,0.033304,0.0424518,0.0361154,0.0384153,0.0436254,0.0255069,0.0322283,0.0216444,0.0616097,0.0168064,0.0210833,0.0298704,0,0.0255432,0.0493318,0.0408964,0,0,0.0127671,0,0,0.0226348,0.0575209,0.0400352,0.0175627,0.0195694,0.0319573,0.0476215,0.0626898,0.0397921,0.0563374,0.0374167,0.0439059,0.067176,0.0123693,0.0497349,0.0241689,0.0162999,0.0546178,0.065262,0,0,0
15,0.048554,0,0,0,0,0.0444213,0,0,0,0,0,0,0.0391896,0,0.0293596,0.0421067,0,0,0.0171776,0,0,0.0482853,0.0415122,0.034696,0.0281433,0.0177129,0.0295033,0.036973,0.0333725,0.042466,0.0360182,0.0385004,0.0435346,0.0259277,0.0321381,0.0216387,0.0616157,0.016719,0.0210762,0.0300878,0,0.0255258,0.0492226,0.0408997,0,0,0.0127393,0,0,0.0225807,0.0575057,0.0400094,0.0175262,0.0194313,0.0319551,0.0475514,0.0626916,0.0397731,0.0563902,0.0374697,0.0439247,0.0672011,0.012331,0.0497253,0.0240372,0.0163865,0.0545325,0.0652437,0,0,0
16,0.048698,0,0,0,0,0.0443253,0,0,0,0,0,0,0.0375465,0,0.0286719,0.0373512,0,0,0.0167329,0,0,0.0483159,0,0.0313795,0.0268543,0.021035,0.0313372,0.0378733,0.0308854,0.0422596,0.0395955,0.0409953,0.0452358,0,0.0348061,0.0223357,0.0612516,0.0165211,0.0210437,0.028731,0,0.0246411,0.0516547,0.0405245,0,0,0.0131024,0,0,0.0227474,0.0533431,0.0404267,0.0172179,0.0176637,0.0309554,0.0468204,0.0645119,0.0373977,0.0560337,0.0370111,0.0436938,0.0671602,0.0135459,0.0498986,0.0239579,0.0167996,0.0541266,0.0655943,0,0,0
17,0.0486229,0,0,0,0,0.0443228,0,0,0,0,0,0,0.0367651,0,0.0280221,0.0407222,0,0,0.0173916,0,0,0.0479797,0.0416761,0.0315098,0.0277998,0.01908,0.029467,0.0369232,0.0321003,0.041528,0.036964,0.040603,0.0448467,0,0.0343319,0.0227319,0.0616171,0.0169651,0.0212501,0.0297089,0,0.0252585,0.0485501,0.0411629,0,0,0.0126329,0,0,0.0223958,0.057245,0.0396717,0.0177936,0.0191978,0.032197,0.0477459,0.0625847,0.0395291,0.0567551,0.0377873,0.0442016,0.0674713,0.0124713,0.0496704,0.0235986,0.0163766,0.0542988,0.0654888,0,0,0
18,0.0489064,0,0,0,0,0.0442545,0,0,0,0,0,0,0.0395614,0,0.03052,0.0385962,0,0,0.01674,0,0,0.0483314,0,0.0343003,0.0268903,0.0193806,0.0313937,0.0380582,0.032063,0.0431175,0.0387334,0.0392656,0.0439741,0.0268958,0.0328491,0.0211449,0.061336,0.0165728,0.0210679,0.0288316,0,0.024579,0.0521441,0.0403486,0,0,0.0133817,0,0,0.022628,0.0536955,0.0406258,0.0170258,0.017833,0.0309915,0.0466593,0.064305,0.0375885,0.0559342,0.03691,0.0435468,0.0668534,0.0135335,0.0500411,0.0266268,0.0167681,0.0542159,0.0655456,0,0,0
19,0.0489281,0,0,0,0,0.0442388,0,0,0,0,0,0,0.0373381,0,0.0287217,0.0373827,0,0,0.0167743,0,0,0.0482913,0,0.0311665,0.0267702,0.0210336,0.0311817,0.0380457,0.0307748,0.042208,0.0397386,0.0408289,0.0454217,0,0.0349933,0.0223206,0.0613245,0.0165716,0.0211265,0.0285919,0,0.0245861,0.0517432,0.0404555,0,0,0.0132602,0,0,0.0223887,0.053333,0.0404898,0.0173421,0.017658,0.0309653,0.0469961,0.0645436,0.0373857,0.0560752,0.0369554,0.0436597,0.0670863,0.0135888,0.0498901,0.0287351,0.0164458,0.0542135,0.0657739,0,0,0
