Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,,RWRA,RASI,LTHI,RTHI,RTHII,x75,x80
All Timesteps RMSE,0.0482722,0,0,0,0,0.0440862,0,0,0,0,0,0,0.0350737,0,0.0309939,0.0318977,0,0,0.0218486,0,0,0.0482791,0.0461862,0.0346061,0.0266871,0.0188446,0.0396669,0.0276246,0.0407316,0.039511,0.0315177,0.035204,0.0382501,0.0406047,0.0282346,0.0307973,0.0512396,0.0550061,0.0296594,0.0293012,0,0.0247245,0.045781,0,0,0.0224249,0,0,0.0271993,0.0489306,0.0443241,0.0296316,0.0216905,0.0354219,0.0458682,0.0685072,0.0369057,0.0620416,0.0430421,0.0475277,0.0700485,0.030284,0.0412064,0.0180375,0.0519734,0.0617849,0,0,0,0,0.0382948,0.0443078,0.0363691,0.0525544,0.053097,0,0
0,0.0445277,0,0,0,0,0.049847,0,0,0,0,0,0,0.0357495,0,0.0296708,0.043957,0,0,0.0112029,0,0,0.0524768,0.0409087,0.034549,0.0361903,0.0176157,0.036454,0.0459831,0.0390063,0.0437334,0.0354087,0.0374949,0.0403327,0.0254265,0.0327872,0.0240896,0.0524899,0.0145524,0.0172614,0.0320934,0,0.0273462,0.0427075,0,0,0.0108263,0,0,0.0222432,0.0583967,0.0382107,0.145979,0.0237975,0.0314822,0.0419275,0.0560287,0.039959,0.0614926,0.0422252,0.0478335,0.0699421,0.00811645,0.0528153,0.0206427,0.0596365,0.0663192,0,0,0,0,0,0,0,0,0,0,0
1,0.045791,0,0,0,0,0.0493352,0,0,0,0,0,0,0.035516,0,0.0300418,0.0446394,0,0,0.0116905,0,0,0.0515972,0.0413114,0.0337138,0.0363383,0.0170706,0.0356307,0.0467512,0.0389729,0.0433236,0.0349487,0.037733,0.0406973,0.025983,0.032999,0.0233799,0.0532529,0.0143529,0.0180442,0.0315739,0,0.0267389,0.0420849,0,0,0.00824817,0,0,0.0212124,0.0597419,0.0375594,0.151152,0.0247169,0.0317041,0.0446464,0.0550212,0.0407784,0.0622577,0.0430287,0.0485376,0.0704069,0.00816971,0.0489534,0.0209267,0.0593513,0.067068,0,0,0,0,0,0,0,0,0,0,0
2,0.0458652,0,0,0,0,0.049106,0,0,0,0,0,0,0.0353593,0,0.0302714,0.0440634,0,0,0.0119276,0,0,0.05129,0.0410761,0.0336635,0.0355944,0.0172579,0.0345047,0.046058,0.0388046,0.0432241,0.0350812,0.0378177,0.0407831,0.0261661,0.0329125,0.0237058,0.053312,0.0144603,0.0179847,0.0310119,0,0.0264583,0.0425205,0,0,0.0100518,0,0,0.0190387,0.0584431,0.0375689,0.1426,0.0243025,0.0304929,0.0440197,0.0563353,0.0406403,0.0616686,0.0425063,0.0480936,0.0700445,0.00889785,0.0508304,0.0194865,0.0594596,0.0663736,0,0,0,0,0,0,0,0,0,0,0
3,0.0471172,0,0,0,0,0.0489267,0,0,0,0,0,0,0.0494775,0,0.0321054,0.0340647,0,0,0.0167188,0,0,0.0472084,0.0513447,0.0243411,0.0259299,0.0193379,0.0184585,0.0380652,0.0398922,0.0415511,0.0407168,0.0404578,0.0436425,0.0280285,0.0365128,0.00577749,0.057707,0.0187166,0.0211761,0.0243417,0,0.0247743,0.0454505,0,0,0.00487107,0,0,0.0182915,0.0442623,0.0444832,0,0.0206735,0.0254112,0.0494887,0.0752627,0.0421139,0.0545802,0.0364129,0.0426145,0.0649852,0.0188162,0.0482375,0.018878,0.0633933,0.0588591,0,0,0,0,0,0,0,0,0,0,0
4,0.0468996,0,0,0,0,0.0489401,0,0,0,0,0,0,0.0441786,0,0.032088,0.0339511,0,0,0.0167749,0,0,0.047202,0.0512234,0.0285488,0.025331,0.022475,0.0183811,0.0378235,0.0389291,0.0401742,0.038791,0.0391771,0.0422225,0.0260125,0.0325493,0.0122724,0.0580019,0.0190447,0.0213459,0.024319,0,0.0246899,0.0456414,0,0,0.00460236,0,0,0.0179338,0.0446237,0.0442968,0,0.020574,0.0260787,0.0498842,0.0751601,0.042173,0.0548776,0.0366721,0.0429059,0.065282,0.018762,0.0478793,0.0182688,0.0632867,0.0587613,0,0,0,0,0,0,0,0,0,0,0
5,0.0472964,0,0,0,0,0.049217,0,0,0,0,0,0,0.0362251,0,0.0315905,0.0371371,0,0,0.0147225,0,0,0.0486332,0.048658,0.0302832,0.0283758,0.0207917,0.0221826,0.0407225,0.0370641,0.0414969,0.0380477,0.039985,0.0426742,0.0276731,0.0336783,0.0216669,0.0580101,0.0181793,0.0206401,0.0254595,0,0.0246828,0.0429151,0,0,0.00767703,0,0,0.0224834,0.0476763,0.0425459,0.0419363,0.0222118,0.0238101,0.0534258,0.0701955,0.0415717,0.0554571,0.0372712,0.0435128,0.0656847,0.0168571,0.044381,0.0197566,0.0624545,0.061372,0,0,0,0,0.0300562,0,0,0,0,0,0
6,0.047065,0,0,0,0,0.0493288,0,0,0,0,0,0,0.0359156,0,0.0318894,0.0368668,0,0,0.0148816,0,0,0.0485351,0.0489477,0.0307256,0.0280829,0.0208246,0.0214712,0.0407781,0.0370015,0.0416918,0.0381635,0.0401288,0.0426628,0.0276101,0.0335288,0.0222492,0.0580879,0.0186044,0.0207107,0.0250972,0,0.0248238,0.0433258,0,0,0.00920781,0,0,0.0210273,0.0472821,0.0432152,0.0354914,0.0222522,0.0238096,0.0539615,0.0710627,0.0417429,0.0548577,0.0367537,0.0429721,0.0651467,0.0174079,0.0443265,0.0173403,0.0626279,0.0609902,0,0,0,0,0.025279,0,0,0,0,0,0
7,0.0470931,0,0,0,0,0.0492235,0,0,0,0,0,0,0.0358459,0,0.0318621,0.0367637,0,0,0.0148521,0,0,0.0485851,0.0488584,0.0307332,0.0280912,0.020734,0.0216719,0.040804,0.0370902,0.0416962,0.0381132,0.0399631,0.0426475,0.0275142,0.0335268,0.0222598,0.0580028,0.0184074,0.0204785,0.0250656,0,0.0248528,0.0433033,0,0,0.00881403,0,0,0.0209973,0.047387,0.0427806,0.0367412,0.0222709,0.0238376,0.0536797,0.0708436,0.0417037,0.0548981,0.0367427,0.0429734,0.0651948,0.0172906,0.0444735,0.0167606,0.0624461,0.0609792,0,0,0,0,0.0243109,0,0,0,0,0,0
8,0.0471993,0,0,0,0,0.0491277,0,0,0,0,0,0,0.0357785,0,0.0317713,0.0367615,0,0,0.014807,0,0,0.0486539,0.0488447,0.0307229,0.0281594,0.0207106,0.0218917,0.0407938,0.0371628,0.0416863,0.0380796,0.0398373,0.0426315,0.0272912,0.0335247,0.0222745,0.0579876,0.0182774,0.0203884,0.0250682,0,0.0248488,0.0432566,0,0,0.00827223,0,0,0.0211836,0.0474498,0.0424611,0.0376197,0.0222697,0.0238768,0.0533867,0.0706624,0.0416486,0.0549206,0.0367786,0.043026,0.0652857,0.0172127,0.0446036,0.0166183,0.0622949,0.0610317,0,0,0,0,0.0238967,0,0,0,0,0,0
9,0.0473095,0,0,0,0,0.0490312,0,0,0,0,0,0,0.0358261,0,0.0316461,0.0367844,0,0,0.0148057,0,0,0.0487918,0.0486733,0.0307894,0.028072,0.0207031,0.022072,0.0407294,0.0371402,0.0417395,0.0380856,0.039787,0.042585,0.0273688,0.0334888,0.0222834,0.0580518,0.0181549,0.0203458,0.0250934,0,0.0248448,0.0432397,0,0,0.00784238,0,0,0.021344,0.0473678,0.0423827,0.0374497,0.0222319,0.0239282,0.0531752,0.0706572,0.0415854,0.0549083,0.0367515,0.0430155,0.065319,0.0172154,0.0447629,0.0165766,0.0621873,0.0610997,0,0,0,0,0.0236074,0,0,0,0,0,0
10,0.0476564,0,0,0,0,0.0488894,0,0,0,0,0,0,0.0379426,0,0.0319217,0.0336565,0,0,0.0144366,0,0,0.0488776,0,0.0292603,0.0278684,0.0232527,0.0240173,0.0416114,0.0367683,0.0422022,0.0412925,0.0405693,0.0428997,0.0278796,0.0344437,0.0193886,0.0577988,0.0177201,0.0204134,0.0242923,0,0.0243575,0.0426012,0,0,0.00675672,0,0,0.0221777,0.0427224,0.0432433,0.0389739,0.0206534,0.0216287,0.0516411,0.0731551,0.0398452,0.0541167,0.0358604,0.0424288,0.0648918,0.0184615,0.0452446,0.0177337,0.0620967,0.0609811,0,0,0,0,0.0236319,0,0,0,0,0,0
11,0.0477311,0,0,0,0,0.0487561,0,0,0,0,0,0,0.0380131,0,0.0319503,0.0335721,0,0,0.014585,0,0,0.0488375,0,0.0290663,0.0278152,0.0232582,0.0242256,0.0416027,0.0365767,0.0420937,0.0413699,0.0406188,0.0429549,0.0279548,0.0345318,0.0192321,0.0578866,0.0177276,0.0205267,0.0242399,0,0.0242628,0.0425943,0,0,0.00685283,0,0,0.0222,0.0426575,0.0431597,0.0385963,0.0206197,0.0216403,0.0514284,0.0731303,0.0397839,0.0541834,0.0359278,0.0425234,0.0649274,0.0184533,0.0453994,0.0178037,0.0619359,0.0609027,0,0,0,0,0.0236223,0,0,0,0,0,0
12,0.0475119,0,0,0,0,0.0487136,0,0,0,0,0,0,0.0358253,0,0.0318701,0.0364642,0,0,0.0148848,0,0,0.048798,0.0462508,0.0312274,0.0273007,0.0206883,0.0229902,0.0407006,0.0363838,0.042141,0.0386222,0.0396886,0.0424317,0.0272504,0.0334921,0.0226764,0.0581395,0.0179421,0.0205972,0.0249445,0,0.0247428,0.043129,0,0,0.00651789,0,0,0.0219521,0.0468523,0.0423773,0.0364918,0.0220722,0.0240406,0.0522763,0.0707436,0.0412344,0.0547949,0.0366432,0.0429756,0.065286,0.0173368,0.0452855,0.0173685,0.0617144,0.061153,0,0,0,0,0.0230828,0,0,0,0,0,0
13,0.0477463,0,0,0,0,0.0491072,0,0,0,0,0,0,0.035692,0,0.0323109,0.0352567,0,0,0.0156914,0,0,0.0484261,0.0477919,0.0319662,0.0249536,0.0210668,0.0176142,0.0389801,0.0372499,0.0425574,0.0388965,0.0392146,0.0417868,0.0268711,0.0332024,0.0230502,0.0585299,0.0184787,0.0209622,0.0241542,0,0.0248372,0.04408,0,0,0.00529376,0,0,0.0215761,0.0444345,0.0439534,0,0.0204899,0.0256189,0.0544382,0.0754017,0.0419063,0.0543887,0.0362574,0.0424961,0.0648381,0.0192413,0.0447532,0.016319,0.0635197,0.0591924,0,0,0,0,0.0218281,0,0,0,0,0,0
14,0.0476455,0,0,0,0,0.048729,0,0,0,0,0,0,0.0358739,0,0.031764,0.0364684,0,0,0.0147716,0,0,0.0487584,0.0459047,0.0313191,0.0272301,0.0205539,0.0222457,0.0405453,0.0364792,0.0423023,0.038502,0.0396236,0.0423092,0.0274387,0.0334817,0.0225747,0.0577469,0.0179032,0.0205548,0.0252314,0,0.0248477,0.0433636,0,0,0.0065657,0,0,0.0214214,0.0469323,0.0424862,0.0376695,0.0219891,0.024155,0.0527579,0.0709398,0.0414599,0.0547619,0.0366222,0.042853,0.0650482,0.0172685,0.0453886,0.0170277,0.0619039,0.0611101,0,0,0,0,0.0220403,0,0,0,0,0,0
15,0.0483556,0,0,0,0,0.0486558,0,0,0,0,0,0,0.0383338,0,0.0324691,0.0316257,0,0,0.0157854,0,0,0.0479832,0,0.0293495,0.025934,0.0240839,0.0192239,0.0397937,0.0375841,0.042588,0.0420621,0.0403895,0.0422167,0.0276309,0.0344307,0.018855,0.0584128,0.0186457,0.0211156,0.0229919,0,0.0242408,0.0434353,0,0,0.00630887,0,0,0.0215893,0.0398532,0.0446866,0,0.0188074,0.0230479,0.0526647,0.0783182,0.0405368,0.0537111,0.0354465,0.0420322,0.064532,0.0209083,0.0457415,0.0172388,0.0632719,0.0584975,0,0,0,0,0.0219038,0,0,0,0,0,0
16,0.0478117,0,0,0,0,0.0483705,0,0,0,0,0,0,0.0360497,0,0.0318833,0.0359739,0,0,0.0149904,0,0,0.0485176,0.0461624,0.0310038,0.0271403,0.0208022,0.0229841,0.0404347,0.0364498,0.0422013,0.0386402,0.0401258,0.0424208,0.0273067,0.0335332,0.0222853,0.0580175,0.0181594,0.0205609,0.0252481,0,0.024748,0.0431514,0,0,0.0068868,0,0,0.0214823,0.0467946,0.0420937,0.0368211,0.0218615,0.0241925,0.0519683,0.0708083,0.0412271,0.0548717,0.0367119,0.042997,0.0653004,0.0172061,0.0458463,0.0176162,0.0614485,0.0610344,0,0,0,0,0.0220868,0,0,0,0,0,0
17,0.0478253,0,0,0,0,0.048354,0,0,0,0,0,0,0.0356914,0,0.0320594,0.0362037,0,0,0.0148789,0,0,0.0486843,0.0460362,0.0314676,0.027265,0.0205929,0.0231404,0.0405655,0.0365744,0.0425003,0.0386053,0.0399574,0.0423402,0.0271652,0.0334614,0.0229386,0.0579253,0.0180034,0.0204037,0.0251171,0,0.0247816,0.0430694,0,0,0.00686589,0,0,0.0214411,0.0468836,0.0421255,0.036449,0.0220133,0.0241928,0.0519276,0.0707449,0.0412798,0.0547268,0.0365968,0.0428797,0.0653437,0.017301,0.0457825,0.0176716,0.0613503,0.0611291,0,0,0,0,0.0220354,0,0,0,0,0,0
18,0.0478582,0,0,0,0,0.0483198,0,0,0,0,0,0,0.0357286,0,0.0319832,0.0362178,0,0,0.0148004,0,0,0.0486764,0.0459549,0.0316424,0.027185,0.0204907,0.0232022,0.0405577,0.0363477,0.042633,0.0385592,0.0398948,0.0422386,0.0270641,0.0334532,0.0229407,0.0579636,0.0179764,0.020475,0.0250144,0,0.0247682,0.0430457,0,0,0.0068674,0,0,0.0213855,0.0468902,0.0422766,0.036306,0.0220488,0.0242538,0.0519321,0.0707208,0.0412955,0.0546759,0.0365578,0.0428734,0.0652868,0.0173521,0.0457355,0.0176879,0.0611898,0.0611829,0,0,0,0,0.0220234,0,0,0,0,0,0
19,0.0481315,0,0,0,0,0.0482145,0,0,0,0,0,0,0.0380414,0,0.0319952,0.0331225,0,0,0.0145331,0,0,0.0486274,0,0.0292103,0.0280046,0.0230724,0.0246571,0.0415026,0.0361681,0.0422647,0.0412691,0.0407544,0.0427394,0.0277303,0.0345261,0.0192145,0.0577908,0.0177122,0.0206332,0.0241633,0,0.0242194,0.0424125,0,0,0.00721892,0,0,0.0217381,0.0425412,0.0431443,0.0381746,0.0204965,0.021722,0.0508024,0.0732031,0.0397694,0.0540623,0.0358062,0.0424319,0.0649526,0.0185594,0.0460576,0.0182725,0.0611683,0.0607869,0,0,0,0,0.0226277,0,0,0,0,0,0
20,0.048197,0,0,0,0,0.0485391,0,0,0,0,0,0,0.0363877,0,0.0321884,0.0347944,0,0,0.0158902,0,0,0.0479523,0.0479109,0.0308272,0.0249719,0.0211339,0.0177586,0.0389251,0.036873,0.0423366,0.0388281,0.0398821,0.0418973,0.0270645,0.0335807,0.0215452,0.0585185,0.0187131,0.0211976,0.0238745,0,0.0246958,0.0440442,0,0,0.00583295,0,0,0.0210322,0.0444087,0.0439425,0,0.0205205,0.0255938,0.054012,0.0754637,0.0420849,0.0541778,0.0360788,0.0423944,0.0648368,0.0193721,0.0452212,0.0168022,0.0627306,0.0592069,0,0,0,0,0.0210031,0,0,0,0,0,0
21,0.0482649,0,0,0,0,0.048116,0,0,0,0,0,0,0.0381789,0,0.0319227,0.0332193,0,0,0.0144989,0,0,0.0485846,0,0.0288839,0.0278407,0.0230924,0.0243208,0.0414561,0.0362565,0.0419586,0.0410994,0.0410669,0.0427466,0.0278666,0.0345659,0.0188512,0.0577249,0.0178061,0.0204971,0.0242666,0,0.0241746,0.0423932,0,0,0.00727783,0,0,0.0216127,0.0425128,0.0429351,0.0387231,0.0202562,0.0216223,0.050992,0.0733511,0.0397774,0.0541241,0.035833,0.0424578,0.0649799,0.0184885,0.0459605,0.0183219,0.0610551,0.0607533,0,0,0,0,0.0225793,0,0,0,0,0,0
22,0.048253,0,0,0,0,0.0481753,0,0,0,0,0,0,0.038037,0,0.0319614,0.0334255,0,0,0.0144978,0,0,0.0486208,0,0.0289661,0.0278825,0.0230746,0.0241858,0.0415544,0.0362645,0.0419339,0.0409492,0.0410445,0.0427763,0.0279259,0.0345009,0.0191256,0.0577062,0.0177742,0.0204075,0.0241367,0,0.0242094,0.0424273,0,0,0.00721878,0,0,0.0215774,0.0426376,0.0429498,0.0387831,0.0203817,0.0215752,0.0511058,0.073403,0.0399162,0.0540037,0.0357353,0.0424008,0.0648761,0.0185739,0.045914,0.0182572,0.0610507,0.0608011,0,0,0,0,0.0223208,0,0,0,0,0,0
23,0.0474985,0,0,0,0,0.048328,0,0,0,0,0,0,0.0380107,0,0.0319075,0.0333938,0,0,0.0144938,0,0,0.0486808,0,0.0290735,0.0282122,0.0232101,0.0247215,0.0411196,0.036597,0.0419551,0.0407952,0.0407674,0.0426255,0.027669,0.0343981,0.0191589,0.0574116,0.0177879,0.020307,0.024094,0,0.0242414,0.0431136,0,0,0.00722279,0,0,0.0201234,0.0424475,0.042909,0.0385767,0.0203178,0.0215811,0.049515,0.0735865,0.0399311,0.0539551,0.0356608,0.0423032,0.0648258,0.018648,0.0462479,0.0221858,0.060973,0.0602834,0,0,0,0,0,0,0,0,0,0,0
24,0.0476239,0,0,0,0,0.0482303,0,0,0,0,0,0,0.0379547,0,0.0318591,0.0335033,0,0,0.014457,0,0,0.0487239,0,0.0290257,0.0282744,0.0232711,0.0245624,0.0410005,0.0366052,0.0419333,0.0407468,0.0406442,0.0426261,0.027466,0.0344404,0.0191909,0.0573471,0.0177195,0.0203727,0.0241142,0,0.024255,0.0431547,0,0,0.00666195,0,0,0.0188318,0.0424542,0.0429172,0.0388157,0.0203019,0.0216131,0.0490952,0.0736477,0.0399667,0.0539708,0.0356771,0.0422964,0.0647955,0.0186572,0.0465553,0.0224131,0.0608351,0.0602842,0,0,0,0,0,0,0,0,0,0,0
25,0.0483563,0,0,0,0,0.048223,0,0,0,0,0,0,0.0380148,0,0.0318461,0.0338304,0,0,0.0144138,0,0,0.0486638,0,0.0289236,0.0280213,0.0231551,0.0235216,0.041559,0.0363151,0.0419498,0.0407757,0.0409394,0.0428049,0.027759,0.0344978,0.019177,0.0577191,0.0178246,0.0205853,0.0241535,0,0.0242271,0.042429,0,0,0.0068275,0,0,0.0217734,0.0427242,0.0432325,0.0395165,0.0203579,0.0215165,0.0515227,0.0735679,0.0401126,0.0539609,0.0357297,0.0423423,0.0647278,0.0186517,0.0457479,0.0165873,0.0609473,0.0608379,0,0,0,0,0.0250381,0,0,0,0,0,0
26,0.0483954,0,0,0,0,0.0482231,0,0,0,0,0,0,0.0380854,0,0.0318346,0.0340278,0,0,0.014353,0,0,0.0487343,0,0.0290074,0.0279098,0.0230643,0.0232252,0.0417302,0.0363144,0.0419918,0.040719,0.0409976,0.0428243,0.0280456,0.0344357,0.0191378,0.0576909,0.0178479,0.0204504,0.0241661,0,0.0242391,0.0424826,0,0,0.00761836,0,0,0.0209417,0.0428099,0.0436734,0.0397684,0.0204003,0.0215082,0.0518225,0.0736267,0.040207,0.0538719,0.035689,0.0422988,0.0646434,0.0187064,0.0455536,0.0168157,0.0610765,0.0608989,0,0,0,0,0.0262443,0,0,0,0,0,0
27,0.0479729,0,0,0,0,0.0482862,0,0,0,0,0,0,0.0380783,0,0.0318114,0.0341049,0,0,0.0143994,0,0,0.0487854,0,0.0290789,0.0280385,0.0230846,0.0236085,0.0414293,0.0365318,0.0420188,0.0406374,0.0409119,0.0426903,0.0278808,0.0344022,0.0190923,0.0575736,0.0178463,0.0202578,0.0240538,0,0.0242212,0.0427431,0,0,0.00732521,0,0,0.0222081,0.0426862,0.0435767,0.0395973,0.0203597,0.0214978,0.0515345,0.0737079,0.0401522,0.0538611,0.035647,0.0422277,0.064617,0.018745,0.045664,0.0179315,0.0609985,0.0605772,0,0,0,0,0.0138462,0,0,0,0,0,0
28,0.0482171,0,0,0,0,0.0484808,0,0,0,0,0,0,0.0383285,0,0.0322816,0.0326211,0,0,0.0151927,0,0,0.0483743,0,0.0293178,0.0255382,0.0238676,0.0180894,0.0393186,0.0376163,0.0425323,0.0413801,0.0405208,0.0420345,0.0271637,0.0343603,0.018757,0.0573987,0.0181351,0.0204838,0.0226794,0,0.0241654,0.0444485,0,0,0.00443974,0,0,0.0144585,0.0401846,0.0452903,0,0.0186893,0.0236183,0.0504049,0.0790261,0.0410373,0.053356,0.03517,0.0417271,0.0642128,0.0213557,0.0461516,0.0195647,0.0626139,0.0583533,0,0,0,0,0,0,0,0,0,0,0
29,0.0468232,0,0,0,0,0.04883,0,0,0,0,0,0,0.0383525,0,0.0322667,0.0321771,0,0,0.0154281,0,0,0.0482349,0,0.0294651,0.0265658,0.0240446,0.0203675,0.0387744,0.0382835,0.0425657,0.0412985,0.0400822,0.0416517,0.0268849,0.0342143,0.0187203,0.0576964,0.0184898,0.0207828,0.0227401,0,0.0241062,0.0447695,0,0,0.022836,0,0,0.0292808,0.0395572,0.045109,0,0.0184226,0.0229059,0.0552046,0.0789952,0.0407307,0.0534045,0.0351176,0.0417731,0.0643909,0.021256,0.0452078,0.0316386,0.0623714,0.0572801,0,0,0,0,0.0622746,0,0,0,0,0,0
30,0.0480509,0,0,0,0,0.0486218,0,0,0,0,0,0,0.0382743,0,0.0321162,0.0327782,0,0,0.0151627,0,0,0.0484074,0,0.029207,0.0257331,0.0239917,0.0180732,0.0398416,0.0376888,0.0425182,0.0413839,0.0401956,0.041991,0.0272808,0.0343902,0.0187831,0.0579699,0.0184062,0.0206447,0.0228279,0,0.024285,0.0440107,0,0,0.00793265,0,0,0.0232505,0.0401192,0.0454984,0,0.0186032,0.0234888,0.0542404,0.0791584,0.0412572,0.0532731,0.0350444,0.041659,0.0642651,0.0212198,0.0451768,0.0221974,0.0628288,0.0582787,0,0,0,0,0,0,0,0,0,0,0
31,0.0477149,0,0,0,0,0.0487571,0,0,0,0,0,0,0.0359302,0,0.032053,0.0358845,0,0,0.0153346,0,0,0.0486009,0.0478775,0.0317592,0.0249252,0.0211144,0.0168504,0.0386241,0.0374074,0.0425827,0.038151,0.039346,0.0415227,0.0266675,0.0330641,0.0226728,0.0581824,0.0186323,0.0204862,0.0239448,0,0.024832,0.0446134,0,0,0.00589859,0,0,0.0227336,0.0444588,0.0445915,0,0.0201803,0.0259713,0.0547402,0.0763808,0.0425288,0.0539222,0.0358461,0.0420914,0.0645006,0.0195854,0.045001,0.0226282,0.0626882,0.0587777,0,0,0,0,0,0,0,0,0,0,0
32,0.0482638,0,0,0,0,0.0486705,0,0,0,0,0,0,0.0358204,0,0.0320948,0.0361865,0,0,0.0152216,0,0,0.04861,0.0476693,0.0318814,0.0247545,0.0210035,0.0161123,0.0388297,0.0372088,0.0426584,0.0381148,0.0394835,0.0415799,0.0267518,0.0330901,0.0228381,0.0581571,0.0185335,0.0206156,0.0239605,0,0.0248599,0.044408,0,0,0.00375506,0,0,0.020687,0.0447436,0.0445556,0,0.0202981,0.0262755,0.0545635,0.0763376,0.0426007,0.0539404,0.0359041,0.0421133,0.0644678,0.0196139,0.0448396,0.0228972,0.0627205,0.0591696,0,0,0,0,0.0153483,0,0,0,0,0,0
33,0.0486541,0,0,0,0,0.0480351,0,0,0,0,0,0,0.0382321,0,0.0316505,0.0343566,0,0,0.0140478,0,0,0.0490036,0,0.0289282,0.0278114,0.0230538,0.0226665,0.0415105,0.0364711,0.0421098,0.0405399,0.0408548,0.0426146,0.0275843,0.0344803,0.0188415,0.0575217,0.0176753,0.0203286,0.024317,0,0.0243768,0.0426377,0,0,0.00552799,0,0,0.0212064,0.0428333,0.0434542,0.040711,0.0202787,0.0215099,0.051475,0.0739988,0.0404188,0.0537634,0.0355826,0.0421099,0.0645462,0.0185769,0.0457992,0.0220006,0.060945,0.060838,0,0,0,0,0.0242222,0,0,0,0,0,0
34,0.0485902,0,0,0,0,0.0480396,0,0,0,0,0,0,0.0380881,0,0.0317485,0.0342412,0,0,0.0141792,0,0,0.0490998,0,0.028995,0.0280022,0.0230441,0.022806,0.0415166,0.0365141,0.0420996,0.0404636,0.0408166,0.04262,0.0275107,0.0344291,0.0190678,0.0575835,0.0175307,0.0201018,0.0240795,0,0.0243462,0.0426223,0,0,0.00552644,0,0,0.0215925,0.0428297,0.0434919,0.0405334,0.0203812,0.0214531,0.0513934,0.0739775,0.0404578,0.0536217,0.0354663,0.0420245,0.0644874,0.0186885,0.0459427,0.0207943,0.0608888,0.0607651,0,0,0,0,0.0223369,0,0,0,0,0,0
