Trajectories
100
,,Walker:IMUL_T,,,Walker:IMUL_M,,,Walker:IMUL_B,,,Walker:IMUR_T,,,Walker:IMUR_M,,,Walker:IMUR_B,,,Walker:WBR,,,Walker:WBL,,,Walker:WFL,,,Walker:WFR,,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
27671,0,445.758148,-178.773743,834.884705,425.350098,-209.650558,817.545410,436.677612,-246.598251,798.837341,1016.578064,-138.530838,834.713623,1050.722534,-154.523712,824.984924,1068.056763,-187.055649,806.367188,1010.831848,-285.660217,261.953888,489.697327,-298.620514,260.932739,486.917908,55.723404,255.548477,1013.005615,63.064560,251.945908,612.253296,-459.714417,1452.699707,729.942200,-457.800995,1463.417969,594.379395,-595.063843,1531.481445,755.029907,-586.569824,1539.027832,594.546265,-597.224487,1394.823364,,,,674.332092,-787.235535,1440.924316,670.443726,-857.527344,1398.271484,689.975586,-627.383545,1287.577515,690.334351,-632.292908,1201.050049,774.878174,-812.790955,1423.439331,500.851501,-658.730164,1415.179321,406.576477,-670.577209,1216.270996,388.737885,-661.557739,1116.004395,,,,437.128082,-556.752563,1065.422974,533.311829,-481.791748,1002.904419,492.707336,-496.284363,944.656860,493.840607,-372.892212,943.186096,471.564789,-442.059540,922.704773,827.613953,-645.476990,1442.332886,970.993958,-606.302612,1279.810669,1012.515198,-572.925720,1189.415039,,,,1028.373169,-498.818146,1075.308105,950.190491,-425.962708,979.277222,1005.418152,-476.615356,954.984314,1013.382080,-344.447449,943.318604,1034.470947,-427.704834,924.630798,578.737976,-805.801880,917.669617,824.120178,-791.661072,944.045776,641.515198,-1023.064148,951.671570,782.642212,-1024.571289,965.216309,527.351257,-877.869812,925.989990,898.245667,-888.842346,964.458679,522.817932,-878.732300,815.551819,543.707458,-884.010925,707.532471,561.726074,-872.198120,626.960938,561.656677,-955.414307,617.012329,553.870605,-970.516052,700.533325,567.585815,-945.578125,533.173462,,,,565.945679,-1014.878540,406.254486,575.635193,-984.759033,349.706970,574.712219,-1064.893677,309.938934,574.754272,-1091.295532,364.233856,625.236206,-1147.458740,143.995178,,,,704.845459,-1219.055786,123.283676,632.911865,-971.560120,49.087879,915.945801,-861.749329,859.660095,569.500977,-1030.763916,33.086941,882.526245,-762.021240,723.746460,847.687256,-711.088684,661.356384,878.641663,-765.250000,602.186829,903.654724,-822.290649,668.304443,886.333008,-778.740234,551.135742,,,,878.068359,-853.084717,464.435150,910.959900,-833.528625,381.697968,886.089050,-884.338379,365.581085,845.970337,-899.611206,443.077301,868.238098,-909.042175,147.555649,,,,791.658325,-983.854553,110.891785,866.272827,-711.305481,83.295258,920.925171,-780.249146,72.732277
27672,0,445.421661,-178.834442,834.870239,425.227478,-209.406860,817.424133,436.833984,-246.277985,798.905457,1016.582703,-138.386032,834.742554,1050.744263,-154.364288,824.937195,1068.015747,-186.958740,806.488770,1010.701782,-285.561279,261.718353,489.702423,-298.462952,260.931091,486.946228,55.901173,255.477661,1013.057800,63.202343,251.928864,613.425171,-455.881958,1455.049438,730.956543,-454.072113,1465.737793,595.877686,-591.536072,1533.141724,756.460510,-582.975159,1540.583374,594.776123,-594.291199,1396.948364,,,,675.792725,-783.479736,1441.513916,671.823364,-853.414307,1398.479980,691.119629,-622.900208,1288.895874,691.674744,-626.338074,1202.334106,776.141052,-808.946045,1423.791870,501.917175,-655.097656,1416.816162,407.476715,-666.741516,1218.396240,389.077637,-658.419067,1117.994995,,,,437.004120,-554.645325,1066.262329,533.199341,-480.622375,1003.362427,492.317596,-495.524231,945.287537,493.497131,-372.302368,943.224792,471.943512,-441.024017,922.887451,829.059265,-641.716370,1443.528442,972.702454,-603.416199,1280.559814,1014.403931,-571.461426,1189.996460,,,,1029.170898,-497.408142,1074.971802,950.281372,-425.767212,979.420227,1005.590454,-476.345337,954.997803,1013.346680,-344.312897,943.320862,1034.550171,-427.487457,924.609497,579.225159,-800.378357,917.883606,824.563171,-785.738770,944.125061,642.221863,-1017.343384,951.871155,783.312805,-1018.661255,965.210388,527.716187,-872.380737,926.399414,898.739136,-882.805176,964.395447,523.088745,-873.735107,815.903564,542.362427,-879.759583,708.622314,561.941284,-867.934875,627.246704,561.720947,-951.264160,617.567993,554.153320,-965.682739,701.107666,567.417114,-942.093506,534.016846,,,,565.827576,-1012.118469,407.394196,575.361694,-982.178711,350.642120,574.593506,-1062.420898,311.185852,574.396118,-1089.003662,364.952179,624.907288,-1145.498047,145.275818,,,,704.505981,-1217.384521,125.769020,632.941711,-971.505066,49.104702,916.409180,-855.716431,859.595703,569.155029,-1030.793823,33.106831,882.594849,-755.748535,723.566467,846.627380,-704.444641,660.802307,878.628052,-758.650330,602.158997,904.132935,-816.170776,668.391174,886.100830,-772.296021,550.842285,,,,878.325989,-845.774292,463.052765,911.033630,-824.602173,380.510590,886.394714,-875.438843,363.678650,846.383057,-892.139221,441.108795,868.700317,-896.966919,145.531921,,,,792.083069,-971.488220,107.911331,866.120544,-698.897095,84.276283,920.581787,-767.159424,72.137131
27673,0,445.449188,-178.511887,834.890808,425.096863,-209.074646,817.297363,437.075439,-245.882156,798.895386,1016.569031,-138.212616,834.722778,1050.771973,-154.190979,824.924500,1068.055786,-186.705795,806.374390,1010.851135,-285.421631,261.963837,489.726440,-298.326416,260.952271,487.050171,56.080879,255.445541,1013.126282,63.284092,251.884399,614.665649,-452.093140,1457.414673,732.258606,-450.031708,1467.907715,597.389404,-588.280151,1534.619629,758.054382,-579.310181,1541.931274,596.901489,-589.061646,1398.136230,,,,677.337524,-779.541382,1442.071533,673.277710,-849.195435,1398.659790,692.272705,-618.443726,1290.029907,692.538391,-621.466858,1203.390869,777.412292,-804.819885,1423.986938,503.063324,-651.154419,1418.351807,407.477905,-663.846375,1220.254395,388.946991,-655.729065,1120.082642,,,,436.714935,-552.606140,1067.186279,532.986328,-479.863220,1003.531677,491.891602,-494.713074,945.917542,493.694153,-371.461304,943.401855,471.740143,-440.143127,923.250854,830.526733,-637.638550,1444.618774,974.586182,-600.454834,1281.191895,1016.704468,-569.615540,1190.604370,,,,1030.270874,-496.258148,1074.899414,950.491333,-425.579437,979.430664,1005.821106,-476.077393,954.890564,1013.350708,-344.093018,943.241089,1034.578369,-427.210022,924.516907,579.778992,-794.815613,917.993713,824.970215,-779.735901,944.158020,642.881226,-1011.597168,951.997009,784.009827,-1012.730713,965.070618,528.226990,-866.662964,926.753845,899.318848,-876.765137,964.331116,523.538269,-868.862427,815.896606,542.813782,-875.040283,708.940063,562.483765,-863.645081,627.323914,561.794983,-947.304504,618.527283,554.289368,-961.167969,701.953796,567.455444,-938.516479,534.754578,,,,565.659790,-1009.345276,408.379425,575.085876,-979.540405,351.658783,574.458374,-1059.882324,312.272247,574.511536,-1086.166260,366.144867,624.499634,-1143.562622,146.609299,,,,704.233765,-1215.603882,128.263992,632.836304,-971.590088,49.039177,916.906006,-849.649841,859.474304,569.072266,-1030.525269,33.047699,882.726807,-749.770935,723.673645,846.282776,-698.270813,660.158569,878.802246,-752.564636,602.087830,904.224854,-809.690369,667.917419,886.089294,-766.120850,550.741577,,,,878.542175,-838.536560,461.541168,910.969604,-815.451477,378.906921,886.716919,-866.565430,361.746979,846.913330,-884.596497,438.766327,868.893005,-884.860779,143.530777,,,,793.061768,-959.865906,105.935188,865.755127,-685.999268,84.524445,920.498718,-753.768555,71.716507
27674,0,445.515228,-178.358139,834.774475,425.895630,-208.503723,817.278564,437.015350,-245.680664,798.947083,1016.690735,-138.106445,834.706604,1050.827759,-154.068954,824.856750,1068.129883,-186.544418,806.345764,1010.894897,-285.350250,261.947083,489.729706,-298.301270,260.979126,487.095795,56.206966,255.356766,1013.286804,63.396961,252.001495,615.662354,-448.601379,1459.629395,733.721863,-445.825684,1469.613770,599.150330,-584.603821,1536.202515,759.794128,-575.690735,1543.098389,598.036987,-584.668884,1399.857666,,,,678.890747,-775.425171,1442.451660,674.805542,-844.811768,1398.759399,693.519897,-613.752441,1291.106323,693.335815,-616.550232,1204.584106,778.751343,-800.497009,1424.227417,504.370209,-646.997070,1420.001343,407.879242,-660.736511,1222.286987,388.756866,-653.364075,1121.997559,,,,436.412537,-550.478882,1067.949219,532.723816,-478.808319,1004.543884,491.587982,-493.960907,946.440491,493.768188,-370.637787,943.610962,471.514008,-439.366394,923.526489,832.113708,-633.373596,1445.619141,976.467896,-597.309875,1281.648682,1018.900879,-567.194885,1190.474609,,,,1031.486084,-495.189270,1074.691406,950.372192,-425.435242,979.721008,1006.143188,-475.842285,954.795959,1013.433594,-343.608093,942.672485,1034.803101,-427.052856,924.407837,580.365295,-789.411072,918.200317,825.386658,-773.662598,944.137634,643.578979,-1005.762207,951.992798,784.746582,-1006.744873,964.949524,528.521118,-861.161865,926.998413,899.898987,-870.653625,964.061829,523.815186,-863.532288,816.289978,543.069397,-870.249573,709.121338,562.232117,-859.557434,627.759827,561.842346,-943.151428,619.399658,554.375488,-956.779724,702.941650,567.490540,-934.820984,535.358826,,,,565.647461,-1006.237976,409.305359,574.652710,-977.090027,352.751160,574.413940,-1057.206543,313.425476,574.608032,-1083.298462,367.499359,624.271362,-1141.541992,148.151077,,,,704.561890,-1213.453125,130.051224,632.882751,-971.541504,49.008438,917.356689,-843.402344,859.234375,569.062805,-1030.190308,32.943089,883.120605,-743.504089,722.502075,846.676819,-692.955322,660.834412,,,,904.505859,-803.792542,668.046448,886.201843,-760.030518,550.518860,,,,878.937683,-831.311523,459.890686,911.188049,-806.728394,377.566162,887.161987,-857.781189,359.766235,847.427795,-877.199524,436.487946,869.411865,-872.541382,141.271210,,,,793.625183,-946.560974,101.769051,865.388062,-672.349365,84.050896,920.145386,-740.164490,71.248932
27675,0,445.481201,-178.187836,834.772400,426.343903,-208.156235,817.550903,436.830200,-245.588638,799.084778,1016.794678,-138.067703,834.674500,1050.936035,-154.008545,824.844666,1068.244751,-186.543747,806.314270,1010.895996,-285.278046,261.935974,489.801056,-298.207367,260.920837,487.156036,56.262886,255.383484,1013.311401,63.434631,251.973892,617.672546,-443.784058,1461.315308,735.314026,-441.734680,1471.286987,600.863586,-580.893921,1537.668823,761.563416,-572.008362,1544.003296,,,,,,,680.463867,-771.117859,1442.769897,676.250793,-840.229431,1398.707642,694.718689,-608.885620,1292.046631,694.186768,-611.305359,1205.527466,780.113647,-795.991821,1424.445679,505.708527,-642.656616,1421.384888,407.527710,-658.676697,1224.098022,388.670441,-651.206055,1124.102295,,,,436.161652,-548.507385,1068.730835,532.016296,-480.760681,1004.543213,492.628540,-492.563446,946.411682,494.764648,-369.856812,943.161316,471.457581,-438.791046,923.642700,833.619141,-628.891663,1446.478760,978.485046,-594.181030,1282.137817,1020.997986,-565.228638,1190.763184,,,,1032.882568,-494.453613,1074.737793,950.692749,-425.251312,979.697388,1006.470459,-475.677124,954.652710,1013.599060,-343.894043,942.910522,1034.955078,-426.909241,924.258911,580.888428,-783.807251,918.278625,825.864441,-767.535156,944.077271,644.277344,-999.945557,951.934082,785.432190,-1000.706665,964.615417,528.915833,-855.612732,927.403503,900.428101,-864.604492,963.825623,524.091248,-858.155090,816.616943,544.602783,-865.325073,708.893066,562.651855,-855.085571,627.686035,561.989746,-938.459717,619.943359,554.358765,-952.022278,703.608826,567.173401,-930.944397,535.818726,,,,565.525269,-1003.158203,410.223724,574.378052,-973.914368,353.229401,574.345215,-1054.457642,314.598572,574.423462,-1080.835449,368.987854,624.068359,-1139.457764,149.590515,,,,703.834839,-1211.488281,132.903564,632.766052,-971.503113,49.011185,917.763916,-837.130371,858.919617,568.888916,-1029.721558,32.720776,883.308899,-737.744629,722.754822,846.745117,-687.174927,660.419800,878.942627,-740.610596,601.677063,,,,886.258972,-753.983093,550.178162,,,,879.354614,-824.167358,458.135162,911.379333,-797.931946,376.193024,887.665161,-848.812500,357.520447,847.562439,-870.976135,435.557770,869.668274,-860.078125,138.889923,,,,794.417847,-934.628662,99.222183,865.205139,-659.627991,84.953537,920.091187,-726.634705,70.978485
27676,0,445.700348,-178.008026,834.877502,426.521118,-208.038040,817.582031,436.901550,-245.506485,799.067627,1016.862061,-138.084412,834.668213,1051.017944,-154.047089,824.817383,1068.266479,-186.206619,805.762634,1010.929565,-285.271881,261.916992,489.864410,-298.120331,260.957642,487.206848,56.325928,255.480057,1013.377808,63.461914,251.922852,619.334473,-439.423706,1463.192017,736.897217,-437.605103,1472.838501,602.591614,-576.924011,1538.732178,763.369385,-567.917908,1544.738159,600.438660,-576.060486,1402.059937,,,,682.081665,-766.602478,1442.980225,677.911865,-835.439819,1398.799561,695.889648,-603.933044,1292.877075,694.943909,-606.841370,1205.866455,781.480530,-791.215149,1424.529419,507.336426,-638.121155,1422.740723,408.698608,-654.568787,1226.225830,388.070557,-649.829346,1126.032593,,,,435.911011,-546.773987,1069.538818,532.473938,-477.259125,1004.576233,491.175934,-492.967072,947.137756,494.161499,-369.757416,943.961243,471.503510,-438.260437,923.693726,835.085632,-624.194885,1447.111450,980.306946,-590.976440,1282.326904,1023.040894,-563.270935,1191.120728,,,,1034.146240,-493.494110,1074.410278,950.977356,-425.267303,979.783569,1006.741516,-475.601013,954.508423,1013.772278,-343.527100,942.523865,1035.071777,-426.920258,924.111206,581.098450,-778.545410,918.397217,826.387878,-761.408386,943.945374,645.019470,-994.129517,951.798096,786.195190,-994.704346,964.130676,529.357056,-850.059570,927.682251,901.082275,-858.442627,963.292236,524.280518,-852.812500,816.983826,543.371826,-860.417725,709.623535,562.720398,-850.434509,627.835083,562.031433,-933.696411,620.024841,554.397522,-947.147217,703.971680,567.221252,-926.927246,536.233643,,,,565.937317,-999.013367,410.869659,574.047363,-971.102173,354.156311,574.348938,-1051.533691,315.872162,574.646851,-1077.379272,369.882141,624.291687,-1136.870483,151.605896,,,,703.785339,-1209.394043,135.452469,632.557861,-971.476379,48.984165,918.239197,-830.802368,858.473206,568.794861,-1029.374756,32.573467,883.454285,-731.598328,722.143311,845.932434,-680.826782,659.738586,878.397644,-734.419189,600.744995,905.321167,-791.516479,667.019592,886.280457,-747.799194,549.592590,,,,879.639099,-816.654419,456.162659,911.581665,-789.033447,374.665405,888.237305,-839.885742,355.187592,848.771973,-862.141724,431.314819,870.206177,-847.721375,136.499893,,,,794.751709,-920.973877,94.073563,864.447571,-646.666748,86.021446,920.150757,-713.717224,71.354095
27677,0,445.771088,-178.029022,834.844238,426.635864,-207.992447,817.660400,437.028625,-245.483978,799.094299,1016.935486,-138.128891,834.672058,1051.092529,-154.093369,824.856934,1068.341309,-186.526794,806.128418,1011.011963,-285.310730,261.914062,489.897186,-298.094910,260.920868,487.297089,56.363487,255.395737,1013.491394,63.424759,251.923798,621.037170,-434.910553,1465.004639,738.567993,-433.049072,1474.091675,604.543274,-572.667236,1539.969604,765.262512,-563.764893,1545.317505,602.063782,-571.292847,1403.184814,,,,683.771912,-761.926453,1443.224976,679.600464,-830.554565,1398.797119,696.890320,-599.937744,1293.430786,696.002991,-601.699341,1206.630249,782.909180,-786.296997,1424.635620,509.106323,-633.476868,1424.138672,408.827759,-652.069031,1228.103516,388.588806,-646.793945,1128.000610,,,,435.683899,-545.315552,1070.199097,532.528870,-476.833527,1004.797913,491.114380,-492.687683,947.212524,495.095459,-368.927948,943.108582,470.862793,-438.484894,924.139648,836.502747,-619.383240,1447.619507,982.214478,-587.777893,1282.389526,1024.923096,-561.141479,1191.148682,,,,1035.232666,-492.221191,1073.909790,951.110535,-425.223175,979.959045,1006.783020,-475.471039,954.432312,1013.740417,-343.928741,942.854004,1034.977417,-426.942627,924.022400,581.510254,-773.070190,918.557800,,,,645.864746,-988.335876,951.597168,787.067139,-988.643066,963.701355,529.863281,-844.508240,927.829895,901.791870,-852.260864,962.726746,524.521851,-847.566162,817.156738,543.396667,-855.612061,709.884033,562.413147,-845.710693,628.169312,562.032043,-928.982666,620.335083,554.571411,-941.811340,704.087219,567.212646,-922.844482,536.586304,,,,565.557312,-996.227112,411.780914,573.925171,-967.904358,354.798370,574.439331,-1048.482300,316.908325,574.708740,-1074.408081,371.285217,623.938660,-1134.781006,152.726379,,,,703.714539,-1207.162231,137.935059,632.354004,-971.660278,48.735016,918.761292,-824.534851,857.954163,568.183411,-1029.491699,32.925236,883.286987,-725.340942,721.631836,846.012756,-675.035645,659.310425,,,,906.561096,-785.631042,666.495605,886.442017,-741.819214,548.861755,,,,880.524048,-809.598572,454.242706,911.927185,-780.137512,373.197113,888.862793,-830.876831,352.926697,849.155762,-855.692932,430.132782,870.653015,-835.172546,134.070099,,,,795.400635,-908.427979,90.590271,863.848267,-633.009033,86.321510,919.930298,-699.219299,70.581886
27678,0,445.858124,-178.008240,834.877808,426.798340,-208.015579,817.583740,437.120300,-245.496643,799.066589,1016.928772,-138.134766,834.699219,1051.032593,-154.140350,824.872864,1068.345825,-186.569595,806.109192,1011.039734,-285.339111,261.908630,489.925812,-298.060059,260.956299,487.386810,56.323925,255.326248,1013.569092,63.389488,251.953476,622.765808,-430.130432,1466.475098,740.557800,-428.327637,1475.301270,606.411804,-568.282104,1540.697632,767.225098,-559.431030,1545.839722,604.274048,-566.570190,1403.313477,,,,685.562683,-757.125366,1443.338135,681.273315,-825.402466,1398.584473,698.212708,-594.981445,1293.775391,697.116272,-596.591797,1207.163208,784.415771,-781.286133,1424.744751,510.971710,-628.580627,1425.112915,409.302032,-648.746887,1229.721436,388.019287,-644.954712,1129.787354,,,,435.415588,-543.924927,1070.753174,532.958191,-475.232819,1004.881958,492.469574,-491.774261,946.835876,494.765839,-369.192474,943.551086,471.133301,-438.200897,923.510986,837.930725,-614.418945,1447.945557,984.182312,-584.680481,1282.585938,1026.814087,-559.264526,1191.358887,,,,1036.403809,-491.248505,1073.582764,951.007446,-425.167297,980.184875,1006.701843,-475.365875,954.470337,1013.549072,-343.963074,942.896362,1034.745728,-426.928986,924.149475,581.858948,-767.766602,918.149719,827.703308,-749.292908,943.242188,646.786804,-982.515747,951.388123,787.993958,-982.700317,963.108459,530.383423,-838.962524,927.975769,902.459351,-845.982056,961.985657,524.756348,-842.273804,817.307190,543.530518,-850.506775,710.000671,562.835754,-840.841370,627.942200,561.928467,-924.593933,620.920166,554.806946,-936.753174,704.500671,567.239746,-918.205383,536.861694,,,,565.542847,-992.614441,412.481628,573.726746,-964.260681,354.863007,574.532715,-1045.319702,317.931091,575.186462,-1070.492676,372.215973,623.855347,-1132.590820,154.107590,,,,703.717712,-1204.968994,140.431686,632.405518,-971.568542,48.708260,919.252258,-818.238464,857.247986,568.127319,-1029.255981,32.950790,883.654785,-719.442078,720.920044,846.356567,-669.403198,658.702515,877.538757,-722.538696,599.082642,906.188782,-779.213501,665.484253,886.541626,-735.739380,548.091309,,,,881.229187,-802.280334,452.303955,912.284485,-771.164734,371.737701,889.626099,-821.763184,350.727081,850.165955,-848.155334,427.527740,871.184937,-822.616882,131.722717,,,,796.314026,-895.710266,87.133705,863.351318,-620.364746,87.631302,920.112122,-685.847229,70.501106
27679,0,445.829742,-178.125397,834.787964,426.833130,-208.046524,817.576416,437.129364,-245.513077,799.033020,1016.866943,-138.140610,834.675598,1051.053223,-154.131058,824.902588,1068.278076,-186.619125,806.186279,1011.129028,-285.008362,262.049500,489.903046,-298.013885,260.973602,487.367737,56.411438,255.382629,1013.821472,63.486874,252.257019,624.287415,-425.724548,1467.817017,742.385315,-423.417603,1476.259888,608.483826,-563.582336,1541.537720,769.276855,-554.883179,1546.137817,605.591919,-561.431641,1404.358521,,,,687.341003,-752.125366,1443.251465,683.078918,-820.217041,1398.434692,699.645996,-588.197693,1294.388062,698.227356,-591.425171,1207.595459,785.850037,-776.152649,1424.654419,512.825500,-623.717957,1426.163208,409.719299,-645.834167,1231.722656,388.057159,-643.183716,1131.092773,,,,435.282623,-542.537231,1071.222168,532.769226,-475.577301,1004.941223,490.889801,-492.552948,947.478943,494.819397,-369.146027,943.485046,470.863251,-438.268616,923.843323,839.307617,-609.366821,1448.144165,986.455444,-581.564880,1282.774170,1029.012817,-557.543457,1191.476318,,,,1037.486572,-490.221008,1073.557739,950.921753,-425.061096,980.304077,1006.901733,-475.341858,954.683411,1013.238770,-343.561401,942.336243,1034.594971,-426.917175,924.244568,,,,,,,647.720825,-976.787292,951.096497,788.975525,-976.665710,962.545593,530.999512,-833.529053,928.054321,903.193542,-839.637207,961.136902,525.038208,-837.050110,817.311218,543.807861,-845.357178,709.869934,562.501526,-835.995300,628.013367,562.090271,-919.421265,620.809753,554.896057,-931.619446,704.445618,567.288818,-913.454102,536.700500,,,,565.724609,-988.636475,412.993164,573.420227,-960.974243,355.146637,574.601929,-1041.969604,318.729462,575.439148,-1066.875610,373.235352,623.824341,-1130.240845,155.665161,,,,704.203735,-1202.456177,142.235886,632.815796,-971.440063,48.703621,919.838074,-812.027161,856.508667,568.024414,-1028.983398,32.895576,884.079041,-713.595703,720.026123,846.673706,-663.813721,657.995483,877.805115,-716.705994,598.192749,906.412537,-773.282837,664.903564,886.866638,-729.762085,547.306213,,,,881.647766,-794.513062,450.286682,912.631531,-762.093140,370.274841,890.450317,-812.594971,348.398926,851.659668,-839.468750,423.628784,871.808960,-810.061096,129.516571,,,,797.432678,-883.056702,83.762054,862.350281,-606.710205,87.606361,919.674988,-671.592407,70.332428
