Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,LEAR,RTHIA,
All Timesteps RMSE,0.0399995,0.0558523,0,0,0,0,0,0,0.0408951,0,0.0309602,0.0623579,0,0.0225348,0,0,0.0454249,0.0407273,0.0330727,0.0290569,0.0203411,0.0486725,0.0439114,0.0253783,0.0490784,0.0497555,0.0262796,0.0338419,0.0357172,0.020619,0.0257714,0.0317042,0.0424576,0.0139191,0.0128708,0.0418081,0,0.0244652,0.0669776,0.031622,0,0,0.0245455,0,0,0.0280734,0.061239,0.0417216,0.0252258,0.017273,0.050953,0.0699867,0.0343984,0.0606973,0.0388635,0.0628108,0.0427215,0.0461601,0.0701535,0.0222631,0.0322593,0.0158173,0.0156326,0.0471039,0.0634395,0,0,0,0,0,0,0,0,0.0648473,0
0,0.0471908,0.0623892,0,0,0,0,0,0,0.0511997,0,0.0304351,0.0596507,0,0.019239,0,0,0.0470695,0.0407837,0.0408624,0.0199182,0.0202223,0.0414737,0.0461723,0.0249099,0.0464346,0.0487862,0.024517,0.0300984,0.0308159,0.0178702,0.0245582,0.020637,0.0385126,0.0162854,0.0130527,0.0397701,0,0.0187154,0.0725304,0.031193,0,0,0.0317436,0,0,0.0265519,0.0542589,0.0301976,0.0363504,0.00827276,0.0549604,0.0707305,0.0411881,0.0656971,0.0405579,0.0626823,0.0382024,0.0438184,0.0717674,0.0126203,0.0246451,0.00641871,0.0170556,0.0552566,0.0533574,0,0,0,0,0,0,0,0,0,0
1,0.0480727,0.0622571,0,0,0,0,0,0,0.0463,0,0.0309443,0,0,0.0215885,0,0,0.0461986,0.0400004,0.045604,0.0258819,0.0185129,0.0409935,0.046068,0.0255931,0.0502884,0.0509421,0.0225837,0.0283086,0.0282737,0.0177296,0.0256749,0.0266437,0.0382959,0.0153498,0.0131401,0.0372322,0,0.0178817,0.0712591,0.0310604,0,0,0.0336917,0,0,0.0263366,0.0558552,0.0316117,0.0357801,0.00650446,0.0543031,0.070797,0.0416207,0.0642427,0.0423763,0.0623263,0.0388585,0.0436313,0.0705658,0.0150927,0.0234388,0.00761219,0.0165647,0.0552311,0.0526862,0,0,0,0,0,0,0,0,0,0
2,0.0459997,0.0630428,0,0,0,0,0,0,0.04907,0,0.0301719,0.0615119,0,0.0206567,0,0,0.0466234,0.0398246,0.0417329,0.0205409,0.0206916,0.0435339,0.0466689,0.023933,0.0473407,0.04921,0.0232401,0.0302193,0.030842,0.0177814,0.0240411,0.0244384,0.0379756,0.0159637,0.0132725,0.027441,0,0.016571,0.0708035,0.029782,0,0,0.0346365,0,0,0.0268854,0.0570049,0.0284327,0.037514,0.0101024,0.056095,0.0709552,0.034205,0.058209,0.0392922,0.0659135,0.0445011,0.0473082,0.0743117,0.0312802,0.0230659,0.00762427,0.01667,0.054526,0.0541719,0,0,0,0,0,0,0,0,0.0787782,0
3,0.0472445,0.0634776,0,0,0,0,0,0,0.0499728,0,0.0364527,0,0,0.0178313,0,0,0.0392568,0.0417326,0.048119,0.0292062,0.0156937,0.0423772,0.0449087,0.0268644,0,0.0551577,0.0227917,0.0241073,0.0236257,0.0166276,0.0268315,0.0320147,0.0382934,0.0246429,0,0.0317149,0,0.0180815,0.0708229,0.0292288,0,0,0.0351944,0,0,0.0272826,0.0576784,0.0290834,0.0356758,0.00535014,0.0539588,0.0708068,0,0.0621151,0.0449268,0.0619072,0.0399893,0.0438089,0.0707992,0.0209968,0.0225908,0.00755623,0.0168677,0.0555918,0.0524989,0,0,0,0,0,0,0,0,0.0603689,0
4,0.0470131,0.0641853,0,0,0,0,0,0,0.0484547,0,0.0293969,0.0598841,0,0.0170235,0,0,0.0399709,0.0411753,0.0420851,0.0202312,0.0206772,0.0429663,0.0444629,0.0251879,0.0476846,0.0495526,0.0224443,0.0308846,0.0312068,0.0179334,0.0234614,0.0270579,0.0383657,0.0248376,0,0.0352685,0,0.0184222,0.0713162,0.0284031,0,0,0.0350984,0,0,0.0273974,0.0505662,0.0316653,0.0407386,0.00225253,0.0544057,0.0705903,0,0.0665118,0.0446768,0.0596976,0.0365466,0.0415941,0.0689561,0.0157628,0.0219636,0.00769031,0.016909,0.0563846,0.0528619,0,0,0,0,0,0,0,0,0.0227747,0
5,0.046852,0.0646286,0,0,0,0,0,0,0.0481828,0,0.0289544,0.0594876,0,0.016418,0,0,0.0405398,0.0416631,0.0421857,0.0195895,0.0208008,0.0432661,0.0444101,0.0254012,0.0475676,0.049766,0.0218128,0.0309748,0.0316172,0.0180494,0.0231167,0.0283008,0.0382229,0.025099,0,0.0388243,0,0.019235,0.0716591,0.0276157,0,0,0.0352428,0,0,0.0279454,0.0501379,0.0330221,0.0416473,0.00343177,0.0542731,0.0701182,0,0.0689554,0.0457292,0.0588502,0.0348363,0.0406,0.0680458,0.0127278,0.0217647,0.00777748,0.0172168,0.0569598,0.0530242,0,0,0,0,0,0,0,0,0.0216443,0
6,0.0463335,0.0650401,0,0,0,0,0,0,0.0478093,0,0.0285222,0.059232,0,0.0160879,0,0,0.0410116,0.0418582,0.0420739,0.018689,0.0209668,0.0436042,0.0446191,0.0255074,0.0472896,0.0499999,0.0212537,0.0311268,0.0319954,0.0181895,0.0228358,0.0297306,0.0381258,0.0253854,0,0.0396711,0,0.0193161,0.0716771,0.0269013,0,0,0.0356544,0,0,0.0285955,0.0505338,0.0326543,0.0418464,0.00276363,0.054251,0.0695546,0,0.0694777,0.0454415,0.058942,0.034869,0.0408152,0.0683311,0.0120463,0.0218074,0.00780197,0.0174296,0.0571457,0.0534076,0,0,0,0,0,0,0,0,0.0202013,0
7,0.0457092,0.0653678,0,0,0,0,0,0,0.0476338,0,0.0281441,0.0588749,0,0.0158632,0,0,0.0413571,0.0421504,0.0419323,0.0183936,0.0210249,0.0437934,0.0449675,0.0255482,0.047645,0.0503413,0.0209309,0.0317562,0.0321975,0.0183624,0.02246,0.031493,0.0382771,0.0256183,0,0.0400297,0,0.0193615,0.0717982,0.0263339,0,0,0.0359855,0,0,0.0291448,0.0508276,0.0320756,0.0418356,0.00207747,0.0542884,0.0689562,0,0.0695439,0.0447295,0.0588815,0.0350674,0.0410473,0.0684864,0.0117083,0.0217632,0.00784112,0.0175948,0.0571827,0.0537396,0,0,0,0,0,0,0,0,0.0183163,0
8,0.0457298,0.0657759,0,0,0,0,0,0,0.0519138,0,0.0285813,0.0606451,0,0.0158076,0,0,0.0415498,0.0440101,0.0439811,0.0213754,0.0203783,0.0439352,0.0453371,0.0281914,0,0.0526896,0.0201759,0.0295521,0.0307162,0.016014,0.0213392,0.0296453,0.0384243,0.0254475,0,0.0409953,0,0.0199295,0.0725301,0.0258853,0,0,0.0358861,0,0,0.0296201,0.0512525,0.0320542,0.0406402,0.00169535,0.0538234,0.0676757,0,0.0697804,0.0447057,0.0584405,0.0345446,0.0408687,0.0678132,0.011579,0.0217871,0.00787512,0.0176728,0.0575161,0.0533669,0,0,0,0,0,0,0,0,0.0172896,0
