Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,
All Timesteps RMSE,0.0395756,0.0589942,0,0,0,0,0,0,0.0311968,0,0.0240027,0.0470502,0,0,0.0239177,0,0,0.0575347,0.0353226,0.0304725,0.0253701,0.0262442,0.0495834,0.0417616,0.0274532,0.0416055,0.0423309,0.024277,0.0434596,0.0456417,0.0299575,0.0297439,0.0319034,0.0533876,0.0168699,0.0162943,0.0366893,0,0.024305,0.0505209,0.027859,0,0,0.0323834,0,0,0.029741,0.0496078,0.0446542,0.0236608,0.0189693,0.0498323,0.0753529,0.0393702,0.0657458,0.0559516,0.0326215,0.070897,0.0494921,0.0519745,0.0787753,0.033812,0.029834,0.0204753,0.020765,0.0513267,0.061527,0,0,0,0,0,0,0,0
0,0.0346224,0.0692198,0,0,0,0,0,0,0.0365073,0,0.015534,0.0440118,0,0,0.0202914,0,0,0.0555868,0.0368585,0.0296525,0.0172396,0.0227029,0.0573011,0.0566475,0.0220423,0.0441421,0.0471072,0.0210763,0.0406396,0.0437889,0.0261653,0.0239337,0.0328017,0.0397455,0.0206488,0.0204854,0.024865,0,0.0190181,0.0458778,0.0230615,0,0,0.051592,0,0,0.0293664,0.0447557,0.0401936,0.0284015,0.0164035,0.0605366,0.082785,0.0430022,0.0729287,0.0575218,0.0309968,0.0702876,0.0475806,0.0507268,0.0776642,0.0452891,0.0192041,0.00793759,0.0152734,0.0530415,0.0575345,0,0,0,0,0,0,0,0
1,0.0345974,0.0700403,0,0,0,0,0,0,0.0347835,0,0.0158958,0.0436189,0,0,0.0273228,0,0,0.0620977,0.0369437,0.0298924,0.0168834,0.0228605,0.0572316,0.0538918,0.0220696,0.0446947,0.0474505,0.0211221,0.0406155,0.0438646,0.0263576,0.0240734,0.0330299,0.0479052,0.0181408,0.0171298,0.024817,0,0.0187852,0.0463597,0.022714,0,0,0.0514361,0,0,0.0294419,0.0442364,0.0400738,0.0286104,0.0161284,0.0606529,0.0820939,0.0424994,0.0725147,0.057529,0.0307026,0.070163,0.0475356,0.0497901,0.0776224,0.0447756,0.018562,0.0080241,0.0154753,0.0535545,0.0578017,0,0,0,0,0,0,0,0
2,0.0341248,0.0704656,0,0,0,0,0,0,0.0336495,0,0.0165295,0.043698,0,0,0.0273225,0,0,0.062251,0.0370443,0.0305844,0.0164679,0.0231693,0.0566428,0.0542629,0.0223452,0.0449985,0.047499,0.0210198,0.0408462,0.0440038,0.0268685,0.0243024,0.0339532,0.0479476,0.0183323,0.0170049,0.0250558,0,0.0187371,0.0469618,0.0225469,0,0,0.0513441,0,0,0.0297392,0.0435989,0.0400542,0.028518,0.015794,0.0601266,0.0816281,0.0421697,0.0724473,0.0573951,0.0306865,0.0701699,0.0475399,0.050216,0.0777774,0.044115,0.0181075,0.00819721,0.0155999,0.0535775,0.0582405,0,0,0,0,0,0,0,0
3,0.0338175,0.0709994,0,0,0,0,0,0,0.0324351,0,0.0173999,0.0440932,0,0,0.0272643,0,0,0.0622856,0.0371204,0.0318121,0.015993,0.0236298,0.0564273,0.0543371,0.022749,0.045255,0.0474441,0.0208169,0.0411617,0.0440834,0.027434,0.0246935,0.0348404,0.0480123,0.0184688,0.0168345,0.0252759,0,0.0186724,0.0475533,0.0223394,0,0,0.0512033,0,0,0.0300766,0.0430264,0.04002,0.0286428,0.0153968,0.0598567,0.0808357,0.0419458,0.0724912,0.0571154,0.0309386,0.0703322,0.0478034,0.0504153,0.0780657,0.0435956,0.0177201,0.00831268,0.0156843,0.0536324,0.0586813,0,0,0,0,0,0,0,0
4,0.0336751,0.0716373,0,0,0,0,0,0,0.0311078,0,0.0185217,0.0436597,0,0,0.0271468,0,0,0.0620949,0.0372127,0.0333198,0.0156493,0.0241251,0.0565627,0.0541165,0.0232146,0.0457548,0.0473209,0.0204928,0.0414896,0.0441959,0.0279444,0.0253134,0.0358545,0.0480181,0.0186978,0.0165232,0.0254908,0,0.0187366,0.0480856,0.0220785,0,0,0.0509794,0,0,0.0302082,0.0427544,0.039965,0.0290372,0.0149844,0.0598119,0.0797685,0.0419953,0.072538,0.0568031,0.031359,0.0706133,0.0480149,0.0511446,0.0783142,0.0427632,0.0175187,0.00832264,0.0157757,0.0538437,0.0591556,0,0,0,0,0,0,0,0
5,0.0338912,0.0710779,0,0,0,0,0,0,0.0322839,0,0.0188803,0.0415781,0,0,0.0266319,0,0,0.061641,0.0374851,0.0357023,0.0114122,0.025722,0.0565455,0.0556233,0.0224817,0.0461242,0.0475386,0.0225244,0.0398159,0.0424925,0.0266571,0.0257198,0.0352979,0.048722,0.0191522,0.016029,0.0245536,0,0.0188322,0.0490547,0.0232248,0,0,0.0508828,0,0,0.030305,0.0417352,0.0392583,0.0317869,0.0133975,0.0608759,0.0794064,0.0423127,0.0725732,0.0571805,0.031804,0.0709336,0.0482486,0.0516935,0.0789283,0.0437398,0.0175723,0.00834216,0.0159762,0.0528968,0.0602669,0,0,0,0,0,0,0,0
6,0.0323946,0.0722773,0,0,0,0,0,0,0.0299703,0,0.0207909,0.0434693,0,0,0.0266279,0,0,0.0614884,0.037545,0.0361863,0.0153445,0.0248555,0.0568437,0.0532078,0.0242503,0.0468799,0.0466932,0.0197302,0.042042,0.0442614,0.0289348,0.0268625,0.0392672,0.0482952,0.0190113,0.0160356,0.025811,0,0.0190091,0.048804,0.0208377,0,0,0.0505864,0,0,0.030565,0.0422173,0.0396649,0.0295446,0.014255,0.0591404,0.0783914,0.0418283,0.0727226,0.0571369,0.0318047,0.0710583,0.0481738,0.0513396,0.0785119,0.040467,0.0171279,0.00830593,0.0161923,0.0546513,0.0600407,0,0,0,0,0,0,0,0
7,0.0332109,0.0714004,0,0,0,0,0,0,0.0303056,0,0.0214367,0.0441163,0,0,0.0256413,0,0,0.0610054,0.0373539,0.0372823,0.0154654,0.0252508,0.057459,0.0549021,0.0245599,0.0471126,0.0463152,0.019485,0.0423584,0.0443384,0.0294248,0.0275971,0.0415818,0.0496957,0.0196007,0.0154763,0.0260505,0,0.0192049,0.048811,0.0221315,0,0,0.0500338,0,0,0.0304496,0.0423288,0.0397454,0.0301309,0.0137268,0.0594976,0.0778155,0.042156,0.0728338,0.0573495,0.0322038,0.0705352,0.047884,0.0513302,0.0782252,0.0393267,0.0168869,0.00824084,0.016273,0.0542735,0.0602921,0,0,0,0,0,0,0,0
8,0.0301304,0.072335,0,0,0,0,0,0,0.0307542,0,0.021698,0.0436868,0,0,0.0268759,0,0,0.0617169,0.0379055,0.0380957,0.0154504,0.0253256,0.0559599,0.0520057,0.0251398,0.0473647,0.0462411,0.0192499,0.0424479,0.0442055,0.0297452,0.0279524,0.0431662,0.0475925,0.0194782,0.0157451,0.0258427,0,0.0193335,0.0491371,0.019591,0,0,0.0499418,0,0,0.0306043,0.0417164,0.0392934,0.0290478,0.0137329,0.0571024,0.0775329,0.0420541,0.0726517,0.0568516,0.0318079,0.0706846,0.0482075,0.0517025,0.0785703,0.0393214,0.0169579,0.00851237,0.0163543,0.0560148,0.0611941,0,0,0,0,0,0,0,0
9,0.0322519,0.0717319,0,0,0,0,0,0,0.0310321,0,0.0217436,0.0444996,0,0,0.0252514,0,0,0.0610194,0.0373934,0.0386265,0.0156585,0.0256104,0.0571361,0.0536244,0.025162,0.0473916,0.0461227,0.0194036,0.0426393,0.0442893,0.0302984,0.0282851,0.0449284,0.0499509,0.0201618,0.0149838,0.0258655,0,0.0195911,0.048942,0.0213753,0,0,0.0493911,0,0,0.0305078,0.0422193,0.0392706,0.0301579,0.0129996,0.058454,0.0767837,0.0422983,0.0727263,0.0569436,0.03252,0.070183,0.0480358,0.0511543,0.0782664,0.0383589,0.016344,0.0083148,0.0166378,0.0553764,0.0609609,0,0,0,0,0,0,0,0
10,0.032103,0.0723701,0,0,0,0,0,0,0.0311021,0,0.0218677,0.0446828,0,0,0.0250152,0,0,0.0610071,0.037379,0.0389808,0.0157482,0.0258112,0.0569578,0.0532782,0.025356,0.0474746,0.045878,0.0194827,0.0426623,0.0442929,0.0305145,0.0284727,0.0459297,0.0503164,0.0204187,0.0148124,0.0261069,0,0.0197619,0.0487769,0.0212901,0,0,0.0490617,0,0,0.0306149,0.0423079,0.0388692,0.0302623,0.0126379,0.0581844,0.0761442,0.0422788,0.072617,0.0568159,0.0326083,0.0700603,0.0480656,0.0510896,0.078286,0.0370925,0.0162101,0.00847892,0.0168379,0.0559743,0.06119,0,0,0,0,0,0,0,0
11,0.0319389,0.0727147,0,0,0,0,0,0,0.0310238,0,0.022004,0.0448628,0,0,0.0248034,0,0,0.0609514,0.037411,0.0391975,0.0158435,0.0258363,0.0567363,0.0528207,0.0255728,0.0476892,0.0458004,0.0195716,0.0427313,0.0443055,0.0306489,0.0287065,0.0460128,0.0505494,0.0204697,0.0147052,0.02645,0,0.0199401,0.0486195,0.0211135,0,0,0.0488053,0,0,0.0306543,0.0424157,0.0383681,0.030316,0.0124971,0.0579138,0.0754483,0.0423545,0.0724536,0.0567116,0.0326691,0.0700241,0.0480118,0.051223,0.0783311,0.0356425,0.0160334,0.00837266,0.0171158,0.0567299,0.0613818,0,0,0,0,0,0,0,0
12,0.0317759,0.072703,0,0,0,0,0,0,0.0309611,0,0.0221643,0.0451118,0,0,0.0246483,0,0,0.0608616,0.0374529,0.0393713,0.0159883,0.0258251,0.0564928,0.0523935,0.0258104,0.0480172,0.0458017,0.0196704,0.0428737,0.0443279,0.0308089,0.0290254,0.0459823,0.0506313,0.0206137,0.0145413,0.0266762,0,0.0201011,0.0484032,0.0209364,0,0,0.0486841,0,0,0.0309779,0.0424685,0.0378914,0.0302832,0.0127612,0.0576509,0.0746971,0.0425992,0.0722869,0.0567953,0.0327039,0.0700284,0.0479954,0.0513299,0.0784108,0.0347028,0.0159149,0.0087146,0.0173331,0.0576238,0.0615054,0,0,0,0,0,0,0,0
