Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
All Timesteps RMSE,0.0379823,0.0582534,0,0,0,0,0,0,0.0337845,0,0.0263166,0.0637063,0,0,0.0216244,0,0,0.045807,0.0411754,0.0351963,0.0294417,0.0206875,0.0484067,0.0396521,0.0242815,0.0496954,0.0507524,0.0256969,0.0355512,0.0380968,0.0217822,0.024803,0.0306686,0.0430522,0.0132996,0.0125092,0.038661,0,0.0207562,0.0666199,0.0300985,0,0.0284299,0,0,0.0255463,0.0604861,0.0359148,0.024972,0.0144237,0.0513277,0.0668875,0.0366925,0.0683081,0.0620613,0.0393159,0.0622438,0.0421863,0.0464522,0.0697954,0.0201761,0.0299638,0.0131956,0.0144371,0.0496566,0.0637081,0,0,0,0,0,0,0,0,0,0
0,0.0458512,0.0513575,0,0,0,0,0,0,0.0382386,0,0.0242817,0.0658123,0,0,0.0205266,0,0,0.0457615,0.0387258,0.0399284,0.0228829,0.0166645,0.0419659,0.0401923,0.0218894,0.0477748,0.0516494,0.0268972,0.0316039,0.0350312,0.016812,0.0239058,0.0289275,0.0405836,0.0130501,0.0118685,0.0313531,0,0.0137327,0.0720902,0.0349764,0,0.023299,0,0,0.0189791,0.0587987,0.03777,0.0379983,0.010954,0.0558098,0.0748883,0.0383913,0.0776502,0.0630408,0.0348452,0.0712597,0.0501794,0.0537743,0.0802414,0.0433754,0.0296089,0.00508205,0.0134033,0.0474341,0.0597673,0,0,0,0,0,0,0,0,0,0
1,0.0462755,0.0520056,0,0,0,0,0,0,0.0385858,0,0.0245036,0.0658873,0,0,0.0203449,0,0,0.0455099,0.0391073,0.0410532,0.0226341,0.016529,0.0412257,0.0399034,0.0225269,0.0479557,0.0516535,0.0270733,0.0312921,0.0346852,0.0165145,0.0238586,0.0295472,0.0408288,0.0128582,0.0120571,0.0322871,0,0.0154061,0.0734306,0.035043,0,0.0229452,0,0,0.0191388,0.058082,0.0389389,0.0396841,0.0100365,0.0554258,0.0748776,0.0409667,0.0798736,0,0.049044,0.069047,0.0474317,0.0517411,0.078699,0.0389264,0.0301459,0.00485531,0.0137093,0.0480301,0.0585885,0,0,0,0,0,0,0,0,0,0
2,0.0452402,0.052252,0,0,0,0,0,0,0.0383646,0,0.0241017,0.0664775,0,0,0.0202393,0,0,0.0457503,0.0379124,0.0406679,0.0235167,0.0168358,0.0422704,0.0409092,0.0216695,0.04781,0.0512311,0.0268532,0.0315781,0.035063,0.016749,0.0237888,0.0302566,0.0405679,0.0131096,0.0121291,0.0328621,0,0.0150745,0.0699796,0.0344255,0,0.0234055,0,0,0.0191721,0.059055,0.0389994,0.0368186,0.0152614,0.056159,0.0748784,0.036351,0.075608,0,0.0911857,0.0718283,0.0505638,0.053791,0.0806873,0.0403103,0.0298344,0.00475981,0.01372,0.0477439,0.0592603,0,0,0,0,0,0,0,0,0,0
3,0.044607,0.0523947,0,0,0,0,0,0,0.0383344,0,0.0239177,0.0667166,0,0,0.0199443,0,0,0.0459245,0.0375464,0.0405916,0.0236507,0.0167622,0.0428055,0.0414803,0.0214055,0.0477749,0.0512382,0.0267641,0.0315901,0.0351834,0.0167739,0.0235741,0.0309249,0.0400898,0.0130718,0.0121627,0.0329199,0,0.014839,0.0688081,0.033924,0,0.0240193,0,0,0.0191785,0.059654,0.039102,0.0361264,0.0170478,0.0566432,0.0750432,0.0346567,0.0743551,0,0.109543,0.0727877,0.0516293,0.054581,0.0808533,0.0394413,0.0295001,0.00468434,0.0138987,0.0476225,0.0594618,0,0,0,0,0,0,0,0,0,0
4,0.0458192,0.0522045,0,0,0,0,0,0,0.0416027,0,0.0264876,0.0671862,0,0,0.0193896,0,0,0.0457844,0.0437568,0.0433946,0.0167567,0.0153028,0.0430148,0.0401844,0.0241276,0.0491032,0.0544321,0.0304115,0.0291881,0.0324882,0.0147914,0.0242921,0.031395,0.0403151,0.012901,0.0122425,0.0297861,0,0.0178622,0,0.0343721,0,0.0246464,0,0,0.0190349,0.0667932,0.0392268,0.0576413,0.012789,0.0591234,0.0766124,0.0480173,0.0834641,0,0,0.0582012,0.0385278,0.0445315,0.0718143,0.0339194,0.0295375,0.00451138,0.0142779,0.0485517,0.0572038,0,0,0,0,0,0,0,0,0,0
5,0.0451654,0.0528674,0,0,0,0,0,0,0.0383796,0,0.0245777,0.0665943,0,0,0.0189801,0,0,0.0458922,0.0392403,0.042193,0.0218269,0.0161761,0.0415255,0.0410401,0.0225103,0.0482845,0.0519535,0.0268954,0.0307629,0.0344176,0.0160015,0.0228649,0.032121,0.0400828,0.0128484,0.012562,0.0310976,0,0.0135243,0.0739046,0.0338523,0,0.0253529,0,0,0.0191875,0.0596489,0.0354694,0.0411493,0.00556496,0.0563399,0.07569,0.0411507,0.0772844,0.0653481,0,0.0683047,0.0474382,0.0522739,0.0791576,0.034538,0.029091,0.00434295,0.0145891,0.0481913,0.0575998,0,0,0,0,0,0,0,0,0,0
6,0.0447379,0.0534068,0,0,0,0,0,0,0.0377516,0,0.0294762,0,0,0,0.0186841,0,0,0.046074,0.0421464,0.0448898,0.0226078,0.0122814,0.0437589,0.0412206,0.0227034,0.0516982,0.0570292,0.0299523,0.0263096,0.0279258,0.0135428,0.0251771,0.0414124,0.0397337,0.0127245,0.0125309,0.0335062,0,0.0168319,0,0.0335988,0,0.0262421,0,0,0.0195591,0.0687118,0.0365052,0.0509771,0.00483286,0.0605192,0.0762925,0.0417717,0.0773306,0.0699943,0,0.0624064,0.0420879,0.0477108,0.0731696,0.0269953,0.0290386,0.00422696,0.0153401,0.0484783,0.0572741,0,0,0,0,0,0,0,0,0,0
7,0.0451212,0.0536282,0,0,0,0,0,0,0.0376909,0,0.0245452,0.0658972,0,0,0.0183474,0,0,0.0461637,0.03926,0.0430604,0.0217576,0.0161201,0.0416545,0.0416481,0.0226827,0.0482625,0.0519383,0.0268113,0.0306363,0.0344472,0.0157711,0.0219588,0.0335674,0.0395304,0.0128186,0.0125589,0.0317746,0,0.0139005,0.0732539,0.0331428,0,0.0277215,0,0,0.0195711,0.0595268,0.0341578,0.04107,0.00569282,0.0564379,0.0756301,0.0409652,0.0773019,0.0651935,0,0.0678374,0.0469209,0.0520954,0.0774729,0.0304922,0.0280211,0.00415702,0.0151874,0.049005,0.0570556,0,0,0,0,0,0,0,0,0,0
8,0.04526,0.053835,0,0,0,0,0,0,0.0368636,0,0.0263583,0,0,0,0.0179156,0,0,0.046352,0.0393499,0.0469185,0.0270156,0.0154617,0.0414912,0.0416361,0.0235417,0.0516682,0.054859,0.0258397,0.0277808,0.0312443,0.0136946,0.0211183,0.0352772,0.0392224,0.0128363,0.0125024,0.0337679,0,0.0151401,0.0732429,0.0328497,0,0.028602,0,0,0.0198909,0.063344,0.0334146,0.0400102,0.00601719,0.057,0.0760844,0.0407589,0.075883,0.0653572,0,0.0670493,0.0460309,0.0513208,0.0763923,0.0245159,0.0278336,0.0042048,0.0156022,0.049888,0.0563999,0,0,0,0,0,0,0,0,0,0
9,0.0449665,0.0548796,0,0,0,0,0,0,0.0376928,0,0.0243663,0.0655876,0,0,0.0174751,0,0,0.0466499,0.0394685,0.0431754,0.0214287,0.0160603,0.0420603,0.0421604,0.0229006,0.0485198,0.0519089,0.0265886,0.0305082,0.0344513,0.0156663,0.0213283,0.0349107,0.0393539,0.0129592,0.012716,0.0322632,0,0.0145235,0.0727934,0.0320199,0,0.0287444,0,0,0.0198263,0.0593612,0.0333915,0.0412107,0.00596244,0.0565132,0.0759485,0.0408377,0.0763875,0.0652811,0,0.0672682,0.0464865,0.0516516,0.0768386,0.0260111,0.0276383,0.00387156,0.0155558,0.0502477,0.0561376,0,0,0,0,0,0,0,0,0,0
10,0.0452933,0.0550706,0,0,0,0,0,0,0.0370682,0,0.0260702,0,0,0,0.0172376,0,0,0.0472938,0.0398196,0.0471599,0.0263929,0.0152973,0.042144,0.0421256,0.0235642,0.0518154,0.0548197,0.025811,0.0278643,0.0314054,0.0136514,0.020605,0.0367053,0.0388943,0.0130593,0.0127483,0.0356832,0,0.0156451,0.072945,0.0319698,0,0.0295151,0,0,0.0200995,0.0631702,0.0328969,0.0401016,0.00655948,0.0571414,0.0760333,0.0403202,0.075313,0.0651267,0,0.0666128,0.0458985,0.0509428,0.0758705,0.0200753,0.027123,0.00384184,0.0159771,0.0502634,0.0555565,0,0,0,0,0,0,0,0,0,0
11,0.0445613,0.0555885,0,0,0,0,0,0,0.0385307,0,0.0272786,0,0,0,0.0168665,0,0,0.0478403,0.0427988,0.0470379,0.0216058,0.0141183,0.0445692,0.0428226,0.0236767,0.0516481,0.0564337,0.0289726,0.0268246,0.0300173,0.0129133,0.0218049,0.0391913,0.0389551,0.0131201,0.0129077,0.0373182,0,0.0181618,0,0.030924,0,0.0299754,0,0,0.0203083,0.068296,0.0351377,0.0505766,0.00775885,0.0604021,0.076625,0.0406774,0.0761891,0.0696241,0,0.061172,0.0412036,0.0468235,0.071341,0.0172767,0.0267133,0.00335296,0.0167727,0.0501939,0.0554689,0,0,0,0,0,0,0,0,0,0
