Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,
All Timesteps RMSE,0.0391483,0.0563327,0,0,0,0,0,0,0.0330785,0,0.025739,0.0628358,0,0,0.0289753,0,0,0.04202,0.039057,0.0332455,0.0315878,0.0220241,0.0494947,0.0409227,0.0223832,0.0463108,0.0510022,0.0262316,0.0364445,0.0381915,0.0230736,0.0259659,0.0287127,0.0428873,0.0162533,0.0115384,0.0395588,0,0.0229075,0.0662319,0.0307561,0,0,0.0324274,0,0,0.0258841,0.0605441,0.0351103,0.0237984,0.0172628,0.052031,0.0726184,0.035388,0.068135,0.0625549,0.0394808,0.0652499,0.0445897,0.0475345,0.0717946,0.0202022,0.0310223,0.019444,0.0160544,0.0510933,0.06128,0,0,0,0,0,0,0,0,0
0,0.0373554,0.0460843,0,0,0,0,0,0,0.0375609,0,0.0260847,0.0593403,0,0,0.0303612,0,0,0.0375099,0.0369445,0.0290387,0.0296055,0.0223709,0.036824,0.0334888,0.0230323,0.0420833,0.0480178,0.0251364,0.0383259,0.0390801,0.0262859,0.0288099,0.0156324,0.0508054,0.0172754,0.00811639,0.0477693,0,0.0287172,0.0668292,0.0355416,0,0,0.021847,0,0,0.0220896,0.059756,0.0399683,0.00540532,0.0250855,0.0416142,0.0519933,0.0306121,0.0607277,0.0594287,0.040097,0.0665653,0.0470286,0.0484707,0.0707315,0.0102274,0.0348548,0.0190212,0.00638338,0.0393031,0.0622692,0,0,0,0,0,0,0,0,0
1,0.0376412,0.0459544,0,0,0,0,0,0,0.0371365,0,0.0259958,0.0592362,0,0,0.0302123,0,0,0.0377378,0.0371032,0.0289811,0.0303682,0.0226393,0.0369856,0.0334662,0.0228655,0.0422384,0.0481647,0.0253599,0.0382416,0.0390827,0.026093,0.0294999,0.015646,0.0504923,0.0170909,0.00805895,0.0479815,0,0.0291815,0.0669905,0.0355588,0,0,0.0214317,0,0,0.0223219,0.0596733,0.0403483,0.00554363,0.0253078,0.0416087,0.0525202,0.030655,0.0608207,0.0595926,0.0401503,0.066814,0.0472407,0.0485724,0.07095,0.0107743,0.0349077,0.0191471,0.00627793,0.039076,0.0623983,0,0,0,0,0,0,0,0,0
2,0.0378973,0.0458703,0,0,0,0,0,0,0.0376418,0,0.0261704,0.0594011,0,0,0.0302184,0,0,0.0377857,0.0366326,0.029251,0.0300249,0.0228229,0.0364027,0.0330903,0.022748,0.0426315,0.0481741,0.0249416,0.0380116,0.0390426,0.0257316,0.0284804,0.0152039,0.0498966,0.0174128,0.0082524,0.0483161,0,0.0293871,0.0668709,0.0359142,0,0,0.0205936,0,0,0.0227636,0.0598825,0.0409368,0.00581876,0.0258237,0.0413432,0.0531389,0.0309871,0.0607882,0.0597409,0.0408635,0.0668944,0.0475484,0.0486245,0.0707719,0.0119407,0.0353208,0.0191173,0.00584521,0.0389522,0.0622099,0,0,0,0,0,0,0,0,0
3,0.038131,0.0454265,0,0,0,0,0,0,0.0358591,0,0.0241159,0.0586156,0,0,0.0299374,0,0,0.0380675,0.0366129,0.026858,0.0292293,0.0224912,0.0369379,0.0332916,0.0232836,0.042041,0.0475667,0.02604,0.0392871,0.0396037,0.0279658,0,0.0170462,0.0499784,0.0170758,0.0079693,0.0486161,0,0.029429,0.0671881,0.0356895,0,0,0.0206183,0,0,0.0226542,0.0597222,0.0410818,0.00606382,0.0258849,0.0415881,0.0538466,0.0305032,0.0609986,0.0599291,0.04064,0.0671922,0.0476295,0.0487472,0.0710407,0.0117724,0.0349044,0.0191335,0.00581738,0.0384037,0.0626672,0,0,0,0,0,0,0,0,0
4,0.0387544,0.0451651,0,0,0,0,0,0,0.0364359,0,0.0258967,0.0594198,0,0,0.0296062,0,0,0.0383314,0.0374133,0.0287677,0.031267,0.0223189,0.0373443,0.0333174,0.0231846,0.0423898,0.0481998,0.0253979,0.0383006,0.039156,0.0259362,0.0291089,0.0158935,0.0499514,0.0168285,0.00774329,0.0490232,0,0.0297654,0.0673373,0.0355033,0,0,0.0205085,0,0,0.0225925,0.0599412,0.0414618,0.00572868,0.0259579,0.0417905,0.0540766,0.0302495,0.0611109,0.0601991,0.0405707,0.0674364,0.047644,0.0487665,0.0712237,0.0118201,0.0345415,0.019338,0.00564789,0.0381596,0.0627657,0,0,0,0,0,0,0,0,0
5,0.0391335,0.0449195,0,0,0,0,0,0,0.0359542,0,0.0262224,0.0596208,0,0,0.0294836,0,0,0.0383942,0.0375812,0.0290014,0.0319429,0.0224654,0.0374315,0.0332765,0.0232476,0.0424543,0.0482626,0.0251078,0.0383072,0.0391361,0.0256866,0.0298854,0.015945,0.0497016,0.0168156,0.00768452,0.0495329,0,0.0299674,0.067429,0.0355233,0,0,0.0202781,0,0,0.022573,0.060029,0.0416665,0.00576969,0.0261316,0.0419068,0.0546754,0.0302177,0.0611926,0.0603292,0.0405216,0.0676657,0.0478131,0.0488505,0.0713152,0.01197,0.0343263,0.019255,0.00538802,0.0380053,0.0628669,0,0,0,0,0,0,0,0,0
6,0.0398459,0.0446696,0,0,0,0,0,0,0.0358033,0,0.0276957,0,0,0,0.0297368,0,0,0.0380315,0.0383622,0.0333166,0.0364377,0.020901,0.0367334,0.0328058,0.0231756,0.0457905,0.051226,0.0241019,0.0351573,0.0356135,0.0225153,0.0285711,0.0171733,0.0495394,0.0170927,0.00812,0.0506033,0,0.0301728,0.0668519,0.0359798,0,0,0.0200145,0,0,0.0224274,0.0619736,0.041573,0.00424709,0.0274343,0.0431036,0.0554545,0.0312097,0.0608438,0.0607918,0.0422518,0.067795,0.0480965,0.0489498,0.0710587,0.0114969,0.0344676,0.0189119,0.00554124,0.0379237,0.0626169,0,0,0,0,0,0,0,0,0
7,0.0401132,0.0444989,0,0,0,0,0,0,0.0357809,0,0.0277182,0,0,0,0.0295379,0,0,0.0380478,0.0383234,0.0334994,0.0363103,0.0208719,0.0367456,0.0328226,0.0232058,0.0459385,0.0512823,0.0242183,0.0352478,0.0356123,0.0223673,0.0284499,0.0172529,0.0493987,0.0169939,0.00817451,0.0506508,0,0.0303431,0.0668316,0.0360811,0,0,0.0196887,0,0,0.0225253,0.0620748,0.0417396,0.00411278,0.0275403,0.0431537,0.0559032,0.0312218,0.0608967,0.0608834,0.0419498,0.0679792,0.0482656,0.0490838,0.0711862,0.0117236,0.034532,0.0189045,0.00543399,0.0376552,0.0627556,0,0,0,0,0,0,0,0,0
8,0.0403705,0.0443133,0,0,0,0,0,0,0.0357208,0,0.0275519,0,0,0,0.0293036,0,0,0.0381568,0.0384271,0.0334889,0.0360548,0.0208392,0.036919,0.0328908,0.0233308,0.0459654,0.051342,0.0243097,0.0354252,0.0356222,0.0223358,0.0281911,0.017404,0.0492852,0.0169115,0.00812691,0.0507937,0,0.0305426,0.0668795,0.0360596,0,0,0.0195076,0,0,0.0225538,0.0620842,0.0419301,0.00392989,0.0274327,0.0432026,0.0562728,0.0311455,0.0610068,0.061015,0.0419712,0.0680611,0.0482597,0.0490995,0.0713185,0.0118268,0.0343104,0.0189752,0.00537159,0.0373557,0.0629187,0,0,0,0,0,0,0,0,0
