Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHI,IMUR_B,
All Timesteps RMSE,0.035674,0.0333536,0,0,0,0,0,0.0350075,0,0.0322234,0.0423831,0,0,0.0219878,0,0,0.0528275,0.0437097,0.0400942,0.019137,0.0268865,0.0498533,0.0302265,0.0519296,0.0476207,0.0205475,0.0388292,0.0390502,0.0261707,0.0305382,0.0560383,0.0491976,0.0115894,0.0148583,0.0363134,0,0.0208821,0.0411791,0.0309859,0,0,0.0196876,0,0,0.0197035,0.051277,0.043885,0.0188921,0.0283362,0.0520757,0.0439298,0.0362711,0.0670269,0.0725644,0.050693,0.066306,0.0460279,0.0492436,0.0758023,0.0340253,0.0278914,0.00585987,0.00960655,0.0396269,0.076246,0,0,0,0,0,0,0,0,0.034596,0,0
0,0.0324472,0.040373,0,0,0,0,0,0.052948,0,0.0291768,0.0358113,0,0,0.0199017,0,0,0.0553126,0.0430508,0.0393366,0.0275623,0.0287474,0.0369193,0.0413529,0.045736,0.0473431,0.028008,0.0452133,0.044895,0.0322496,0.0396475,0.0250431,0.0484133,0.011693,0.0120409,0.0442242,0,0.0258812,0.0479209,0.0230998,0,0,0.0159301,0,0,0.0229554,0.0502496,0.039959,0.0244004,0.0243648,0.0364642,0.0438109,0.0424066,0.0689514,0.0718968,0.0508995,0.0674016,0.0476314,0.0506433,0.0758193,0.0116284,0.0311402,0.00271734,0.00413889,0.0474443,0.0680533,0,0,0,0,0,0,0,0,0,0,0
1,0.0327564,0.0404291,0,0,0,0,0,0.0524343,0,0.0299101,0.036765,0,0,0.0198554,0,0,0.0554335,0.0413828,0.040399,0.0267485,0.0282348,0.0364934,0.0411362,0.0452764,0.0480628,0.028031,0.0451343,0.045098,0.0321637,0.0394978,0.0263486,0.0483424,0.0116575,0.0119792,0.0446895,0,0.0263338,0.0475046,0.023424,0,0,0.0160336,0,0,0.0232303,0.0514185,0.040327,0.0238798,0.0247838,0.0366202,0.0442297,0.0423149,0.0684977,0.071909,0.0515071,0.0673806,0.0475538,0.0503955,0.0756756,0.0115284,0.03121,0.00250865,0.00431046,0.0473463,0.0682446,0,0,0,0,0,0,0,0,0.0271874,0,0
2,0.0326559,0.040396,0,0,0,0,0,0.0526615,0,0.0298962,0.0367257,0,0,0.0198844,0,0,0.0554442,0.0415504,0.0403149,0.0271712,0.028183,0.0363852,0.0410249,0.0454548,0.0479093,0.0277251,0.044981,0.0450227,0.0320407,0.0392841,0.026113,0.048391,0.0116053,0.0118887,0.0445914,0,0.0264511,0.0475206,0.0233553,0,0,0.0159362,0,0,0.0233276,0.0513212,0.0404343,0.0242271,0.0247057,0.0364807,0.0441382,0.0423648,0.0686993,0.0719463,0.0514523,0.0671825,0.0473817,0.0502461,0.0755659,0.0117908,0.0313556,0.00247333,0.00417496,0.0473855,0.0679941,0,0,0,0,0,0,0,0,0.0274099,0,0
3,0.0324204,0.040391,0,0,0,0,0,0.0529425,0,0.0291954,0.0358007,0,0,0.0198615,0,0,0.0554148,0.0430234,0.0393966,0.0275949,0.0287173,0.0368788,0.0413368,0.0456455,0.0473735,0.0280017,0.0451589,0.045064,0.0321769,0.0395441,0.0251185,0.0484491,0.0117115,0.0120636,0.043954,0,0.0259831,0.0479163,0.0230135,0,0,0.0158484,0,0,0.0231212,0.0503142,0.0400786,0.0244695,0.0243815,0.036447,0.0437632,0.0420024,0.0688606,0.0718211,0.0509514,0.067294,0.0475382,0.050527,0.0757997,0.0118,0.0315062,0.00272567,0.00414589,0.0473781,0.0679357,0,0,0,0,0,0,0,0,0,0,0
4,0.0326121,0.040396,0,0,0,0,0,0.0526392,0,0.0299013,0.0367503,0,0,0.0198375,0,0,0.0554782,0.041565,0.0404996,0.0273431,0.0281395,0.0362789,0.0410247,0.045691,0.0479223,0.0276506,0.044901,0.0449684,0.031847,0.0391801,0.0262354,0.0483844,0.0114867,0.0118937,0.0448216,0,0.0264837,0.0475665,0.0232667,0,0,0.0159143,0,0,0.0234139,0.0513347,0.0404793,0.0243525,0.0247018,0.0364077,0.0440871,0.0422997,0.0687139,0.0719494,0.0515452,0.067073,0.0473446,0.0502237,0.0754888,0.0118371,0.0312898,0.00242253,0.00412573,0.0473734,0.0679352,0,0,0,0,0,0,0,0,0.027206,0,0
5,0.0327184,0.0402995,0,0,0,0,0,0.0522722,0,0.0299765,0.0367055,0,0,0.0198235,0,0,0.0554068,0.0413962,0.0404397,0.0268622,0.0282596,0.0363982,0.0412027,0.0455761,0.048074,0.0279854,0.0450838,0.045164,0.0320714,0.0394635,0.0264372,0.0484208,0.01163,0.012101,0.0446385,0,0.0262766,0.047494,0.0233475,0,0,0.0160604,0,0,0.0232732,0.0514677,0.0402481,0.0239568,0.024801,0.0365706,0.0441673,0.0419902,0.06841,0.0718738,0.0515373,0.0673539,0.0475673,0.0504386,0.0756623,0.0114953,0.0311897,0.00252849,0.00437122,0.0471849,0.0682101,0,0,0,0,0,0,0,0,0.026727,0,0
6,0.0326923,0.0402916,0,0,0,0,0,0.0523167,0,0.0300256,0.0367303,0,0,0.0198355,0,0,0.0554034,0.0414104,0.0404031,0.0268368,0.0282321,0.0363871,0.0411607,0.0456121,0.0480589,0.0279866,0.0450727,0.0451502,0.0320688,0.0394139,0.0264315,0.0485233,0.0115887,0.0120572,0.0445472,0,0.0263042,0.0475386,0.0233081,0,0,0.0160071,0,0,0.0232907,0.051485,0.0403041,0.023982,0.0247817,0.0365494,0.0441231,0.0420076,0.0684117,0.0718907,0.0514897,0.067334,0.0475412,0.0504009,0.0756415,0.0115222,0.0312232,0.00253177,0.0043677,0.0472026,0.0681903,0,0,0,0,0,0,0,0,0.0266888,0,0
7,0.0326702,0.0402509,0,0,0,0,0,0.0523099,0,0.0299989,0.0367654,0,0,0.0198392,0,0,0.0553951,0.0414213,0.0404296,0.0268308,0.0282203,0.0364088,0.041105,0.045604,0.048047,0.0279904,0.0450642,0.0451432,0.032062,0.0393968,0.0264097,0.0485507,0.0115835,0.0120423,0.0445728,0,0.0262985,0.0475534,0.0232845,0,0,0.0159682,0,0,0.0233172,0.051503,0.0402502,0.023961,0.0247987,0.0365623,0.0441017,0.0420667,0.0684003,0.0718842,0.0514852,0.0673346,0.0475304,0.0504341,0.0756577,0.0114888,0.0312714,0.00254801,0.00439397,0.0471827,0.068198,0,0,0,0,0,0,0,0,0.0266818,0,0
8,0.0326407,0.0402222,0,0,0,0,0,0.0522964,0,0.029961,0.0367611,0,0,0.0198467,0,0,0.0553744,0.0414284,0.0404396,0.0268407,0.0282294,0.0364165,0.0410724,0.0455952,0.048029,0.027991,0.0450436,0.0451206,0.0320489,0.0393942,0.0263671,0.0485429,0.0115977,0.0120589,0.0445387,0,0.0262917,0.0475541,0.0233199,0,0,0.0159381,0,0,0.0233424,0.0515005,0.0401931,0.0239183,0.0247843,0.0365656,0.0440984,0.0421336,0.0683919,0.0718848,0.0515312,0.0673297,0.047529,0.050433,0.0756773,0.0114772,0.031297,0.00255155,0.00443503,0.047161,0.0682029,0,0,0,0,0,0,0,0,0.026688,0,0
