Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,,x76
All Timesteps RMSE,0.0370984,0.0324817,0,0,0,0,0,0.0342246,0,0.031806,0.0410308,0,0,0.0218681,0,0,0.0513658,0.0431329,0.039194,0.0191238,0.0267324,0.0507152,0.0280762,0.0339168,0.0523176,0.0491735,0.0207143,0.0391434,0.0395525,0.0260906,0.0303017,0.0582254,0.051397,0.0110143,0.0132511,0.0369836,0,0.0204646,0.0399544,0.0318992,0,0,0.0181933,0,0,0.0193872,0.0508867,0.0429096,0.0171835,0.0258973,0.0518588,0.0441088,0.0373403,0.0684423,0.073828,0.0584154,0.0674917,0.0469027,0.0503046,0.0769854,0.032646,0.0287937,0.00690256,0.00757622,0.0389925,0.0754003,0,0,0,0,0,0,0,0,0,0,0
0,0.0333958,0.0395857,0,0,0,0,0,0.0470859,0,0.0320295,0.0376569,0,0,0.0196178,0,0,0.0538148,0.0444763,0.0403732,0.0253245,0.0272561,0.0433252,0.0317497,0.0335083,0.0482523,0.0488485,0.0271999,0.0448153,0.0448141,0.0309174,0.0377196,0.0314373,0.0496038,0.0100293,0.0119101,0.0461252,0,0.0270544,0.0457778,0.0288201,0,0,0.0166095,0,0,0.0242937,0.0485037,0.042542,0.0227425,0.0255165,0.0401702,0.0479641,0.0403821,0.0660586,0.0726584,0.0523841,0.0716235,0.0521147,0.0539464,0.0780957,0.0139635,0.029344,0.00289303,0.00980112,0.0455299,0.0667792,0,0,0,0,0,0,0,0,0,0,0
1,0.0333615,0.0396042,0,0,0,0,0,0.0470082,0,0.0317479,0.0375529,0,0,0.0197707,0,0,0.0537413,0.0446099,0.0404231,0.0252775,0.0272978,0.0434324,0.0318324,0.0332856,0.0483192,0.0488259,0.027182,0.0446353,0.0445911,0.0307623,0.0375438,0.0314339,0.0496343,0.0101082,0.0115974,0.0460367,0,0.0271214,0.0457939,0.0288126,0,0,0.0164411,0,0,0.0245194,0.0483494,0.0425144,0.0227307,0.0253641,0.0402234,0.0479241,0.0404119,0.0661629,0.0726724,0.0523344,0.0713541,0.051937,0.0537973,0.0779549,0.0139463,0.0295561,0.00290863,0.0100674,0.0455558,0.0668493,0,0,0,0,0,0,0,0,0,0,0
2,0.0334021,0.0394627,0,0,0,0,0,0.0468646,0,0.0318058,0.0375603,0,0,0.0200904,0,0,0.0535436,0.0445694,0.0401857,0.0251862,0.0273462,0.0436049,0.0318456,0.0335171,0.0483517,0.0487878,0.0271534,0.044533,0.0445744,0.030605,0.0374601,0.0312688,0.0495321,0.0103895,0.0110783,0.0458902,0,0.0269267,0.04565,0.0289399,0,0,0.0162316,0,0,0.024826,0.0483497,0.0422265,0.022535,0.0253106,0.0403952,0.0479036,0.0404453,0.0661807,0.0726881,0.0523607,0.0713301,0.0518949,0.0537651,0.0779567,0.0137124,0.0297541,0.00331898,0.0103576,0.0453967,0.0670038,0,0,0,0,0,0,0,0,0,0,0
3,0.0333324,0.0393274,0,0,0,0,0,0.0468998,0,0.0319477,0.0374581,0,0,0.0205463,0,0,0.0533602,0.044629,0.0399853,0.025148,0.0273991,0.0438716,0.0317789,0.0337903,0.0484457,0.0487021,0.0270189,0.0443332,0.0447163,0.0303021,0.0372354,0.0309698,0.0494592,0.0104483,0.0108718,0.0458144,0,0.0267872,0.0454802,0.0289663,0,0,0.0156241,0,0,0.0257334,0.0482398,0.0420169,0.0224266,0.0252192,0.0406555,0.0477587,0.040583,0.066288,0.0727187,0.0523469,0.0712596,0.0517699,0.0536817,0.0778942,0.0135383,0.0301257,0.00559965,0.0101909,0.0452614,0.0671561,0,0,0,0,0,0,0,0,0,0,0
4,0.0332561,0.0385112,0,0,0,0,0,0.0477761,0,0.0317666,0.0365481,0,0,0.0215423,0,0,0.0526163,0.0453586,0.0376973,0.0248751,0.0279159,0.0449983,0.0315616,0.0350926,0.0487968,0.0481327,0.0268228,0.0444042,0.0448735,0.0303972,0.0374618,0.028694,0.049525,0.0110214,0.0110288,0.045363,0,0.0261126,0.0446391,0.0291632,0,0,0.014597,0,0,0.0279706,0.0479562,0.0406741,0.0222734,0.0252685,0.0418954,0.0473773,0.0407642,0.066462,0.0724606,0.0520892,0.0713672,0.0518904,0.0540006,0.0782203,0.012628,0.0315048,0.0150848,0.00887068,0.0445115,0.0675605,0,0,0,0,0,0,0,0,0,0,0
5,0.0334681,0.0390735,0,0,0,0,0,0.0466395,0,0.0322896,0.0372117,0,0,0.020753,0,0,0.0532723,0.0445337,0.0395066,0.0248201,0.0275969,0.0441402,0.031801,0.0344944,0.0484791,0.0485218,0.0268117,0.0438492,0.0444919,0.0299579,0.0369059,0.0305765,0.0494275,0.0106169,0.0111598,0.0453024,0,0.026545,0.0452065,0.0291096,0,0,0.0157043,0,0,0.0255658,0.0483602,0.0415198,0.022121,0.0251177,0.0411397,0.0478421,0.0407477,0.0663281,0.0727339,0.0524717,0.070976,0.0515821,0.0535829,0.0778699,0.0131634,0.0301111,0.00570229,0.0103462,0.0449666,0.0675053,0,0,0,0,0,0,0,0,0,0,0
6,0.0337432,0.0391465,0,0,0,0,0,0.0464226,0,0.0325389,0.037058,0,0,0.0192666,0,0,0.0538095,0.0443175,0.0393186,0.0244623,0.0277632,0.0440539,0.0315466,0.0344373,0.0484419,0.0483438,0.0267109,0.0437043,0.0443241,0.0298942,0.0367687,0.0304255,0.0495708,0.0102767,0.0128296,0.0450318,0,0.0263595,0.0451228,0.0292448,0,0,0.0172965,0,0,0.0233487,0.0484408,0.0413123,0.0220208,0.0251153,0.0413167,0.0481759,0.040842,0.0663067,0.0727896,0.0525979,0.0708671,0.0515571,0.0535562,0.0778545,0.0129949,0.0295165,0.00343406,0.00887496,0.0449002,0.0675437,0,0,0,0,0,0,0,0,0,0,0
7,0.033746,0.0391556,0,0,0,0,0,0.0463427,0,0.0325478,0.0369936,0,0,0.0193214,0,0,0.0537947,0.0443517,0.0392481,0.024273,0.0279653,0.044242,0.0315393,0.0347342,0.0486711,0.0481888,0.0265223,0.0434137,0.0440437,0.0295822,0.0364339,0.0302623,0.0495217,0.0103453,0.0128309,0.0449475,0,0.0262897,0.0450339,0.0293121,0,0,0.0172584,0,0,0.0233222,0.0485453,0.0412366,0.0219969,0.0250367,0.0415725,0.0481662,0.0409343,0.0663592,0.072835,0.0526211,0.0706588,0.0514065,0.053425,0.0777693,0.0129131,0.0295028,0.00339726,0.00889318,0.0448618,0.0676151,0,0,0,0,0,0,0,0,0,0,0
8,0.0338319,0.0390626,0,0,0,0,0,0.0461356,0,0.032682,0.0372086,0,0,0.0194389,0,0,0.0537315,0.0444194,0.0390039,0.0239637,0.0281425,0.0444644,0.0315803,0.0350089,0.0487257,0.0480426,0.0263844,0.0431916,0.0437839,0.029346,0.0361829,0.0300565,0.049442,0.0104887,0.012988,0.0447248,0,0.0261327,0.0448908,0.0294261,0,0,0.017267,0,0,0.0232469,0.0486437,0.0409982,0.0219201,0.0250233,0.0418993,0.0481739,0.041044,0.0663684,0.0728558,0.052624,0.0705729,0.0513227,0.0533651,0.0777248,0.0126893,0.0293794,0.00336598,0.00895877,0.0447298,0.0677636,0,0,0,0,0,0,0,0,0,0,0
9,0.0339498,0.0389646,0,0,0,0,0,0.0459247,0,0.0328544,0.0374561,0,0,0.0195251,0,0,0.0536458,0.0445419,0.0387404,0.0236801,0.0283595,0.0446735,0.031644,0.0352808,0.0486237,0.0478937,0.0262598,0.0429559,0.0434176,0.0291662,0.0359005,0.0299022,0.0493888,0.010583,0.0131199,0.0445415,0,0.026014,0.0447357,0.0295325,0,0,0.017283,0,0,0.0232115,0.0486719,0.0407239,0.0218417,0.0249797,0.0422254,0.0481511,0.041141,0.0664983,0.0728848,0.0526063,0.0705236,0.0511766,0.0532784,0.0776674,0.0124617,0.0290481,0.00337342,0.00903355,0.0446038,0.0679534,0,0,0,0,0,0,0,0,0,0,0
10,0.0340337,0.0388913,0,0,0,0,0,0.0457078,0,0.0330412,0.0373004,0,0,0.0195925,0,0,0.0535517,0.0446053,0.0384947,0.0234792,0.0286157,0.0448607,0.0316467,0.0355714,0.0485574,0.0476858,0.0261084,0.0426791,0.0428019,0.0290028,0.0355918,0.0298779,0.0493452,0.0106822,0.0131069,0.0444416,0,0.025877,0.0445786,0.0296252,0,0,0.0172866,0,0,0.0232336,0.0487549,0.0404545,0.0217488,0.0248845,0.0425213,0.0481254,0.0412363,0.0665745,0.0729385,0.0526249,0.0704657,0.0510117,0.0532427,0.077612,0.0122614,0.0288737,0.00345851,0.00909125,0.0444805,0.0681311,0,0,0,0,0,0,0,0,0,0,0
