Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
All Timesteps RMSE,0.0372346,0.0333365,0,0,0,0,0,0,0.0350663,0,0.031989,0.0404041,0,0,0.0212844,0,0,0.0512664,0.0434879,0.0413836,0.0203251,0.0269767,0.0507634,0.0285575,0.0339755,0.0534841,0.0502512,0.021245,0.0398796,0.0403076,0.0263531,0.0309207,0.0671562,0.0515107,0.010867,0.0129555,0.0385403,0,0.0209621,0.0404244,0.0318676,0,0,0.0178303,0,0,0.0196912,0.0508609,0.0427222,0.0172831,0.0280834,0.0518144,0.0445844,0.0380414,0.0687427,0.0763319,0.0582749,0.0684268,0.0480184,0.0510553,0.0772568,0.030388,0.0289442,0.00657173,0.00791561,0.0402225,0.0746964,0,0,0,0,0,0,0,0,0
0,0.0378755,0.0308476,0,0,0,0,0,0,0.0253036,0,0.0321696,0.0422461,0,0,0.0242223,0,0,0.0497385,0.0430327,0.0433855,0.0133398,0.0235312,0.0550483,0.0277044,0.0332572,0.0554112,0.0523958,0.0155956,0.0355554,0.035662,0.0232432,0.0251301,0.0834889,0.0512075,0.0103904,0.0113915,0.0290327,0,0.0158683,0.0343085,0.0329241,0,0,0.0149296,0,0,0.0182962,0.0550118,0.0451876,0.0121266,0.0361709,0.0574923,0.0434955,0.0340901,0.0673448,0.07656,0.042723,0.0682157,0.0465577,0.049318,0.0778887,0.0382419,0.027072,0.00819436,0.00528423,0.0367059,0.0803157,0,0,0,0,0,0,0,0,0
1,0.0368068,0.0307159,0,0,0,0,0,0,0.0258367,0,0.0332409,0.0435685,0,0,0.0244816,0,0,0.0492022,0.0423835,0.0448747,0.0165201,0.021394,0.0547596,0.0272941,0.0336004,0.0588139,0,0.0161701,0.0336922,0.0335371,0.0209855,0.0231181,0.0841113,0.0518846,0.0101514,0.0107763,0.0284587,0,0.0166958,0.0360426,0.0321429,0,0,0.0147635,0,0,0.0179064,0.0549563,0.0460124,0.0139683,0.0348303,0.0572995,0.0424968,0.0367337,0.0686438,0.0792702,0,0.0660431,0.0454942,0.0483585,0.0767783,0.0398573,0.0276805,0.00864571,0.0046045,0.0377447,0.0783412,0,0,0,0,0,0,0,0,0
2,0.0375831,0.0306278,0,0,0,0,0,0,0.0257572,0,0.0322639,0.0418346,0,0,0.0241786,0,0,0.0496386,0.0432339,0.0436964,0.0135069,0.0240759,0.0553404,0.0281153,0.0332146,0.0555871,0.0493601,0.015115,0.0357488,0.0356598,0.0231138,0.025035,0.0854325,0.0511424,0.0104259,0.0112485,0.0289353,0,0.0160011,0.034688,0.0327216,0,0,0.0151249,0,0,0.0180872,0.0551821,0.0455586,0.0120639,0.0363069,0.0578753,0.0431236,0.0336348,0.0668763,0.0766429,0.0442131,0.067599,0.0463869,0.0494633,0.0781051,0.0387431,0.0272231,0.00813817,0.00499697,0.0367342,0.0804485,0,0,0,0,0,0,0,0,0
3,0.0370806,0.030655,0,0,0,0,0,0,0.026236,0,0.032656,0.0417012,0,0,0.0248067,0,0,0.0488354,0.0434666,0.044227,0.013357,0.0224592,0.0543253,0.0264707,0.0341417,0.0569136,0.0510309,0.0150083,0.0353358,0.0352024,0.0227687,0.0244,0.087318,0.0518409,0.0100838,0.0101508,0.0282847,0,0.0179705,0.035084,0.0327752,0,0,0.0149397,0,0,0.018196,0.052344,0.0472198,0.0157389,0.0342844,0.0585689,0.0434796,0.0371554,0.0727641,0,0.046961,0.0642198,0.0423779,0.0463785,0.0759138,0.0371256,0.0273905,0.00810389,0.00500636,0.0376471,0.0786641,0,0,0,0,0,0,0,0,0
4,0.037047,0.0306517,0,0,0,0,0,0,0.026572,0,0.032809,0.0418176,0,0,0.0248295,0,0,0.048763,0.0434909,0.04432,0.0132994,0.0231865,0.0545093,0.0266816,0.0341403,0.0568934,0.0520082,0.0148682,0.0354172,0.0352278,0.0228561,0.0245125,0.0883669,0.0519695,0.00997678,0.0102481,0.0282725,0,0.0180298,0.0348314,0.0327539,0,0,0.0150683,0,0,0.0182421,0.0523882,0.0473241,0.0155047,0.0347346,0.0588524,0.0433831,0.0368528,0.0726805,0,0.0477299,0.0641036,0.042347,0.0460704,0.0757035,0.037249,0.0274031,0.00794037,0.00480632,0.0376062,0.0788707,0,0,0,0,0,0,0,0,0
5,0.0369791,0.0307386,0,0,0,0,0,0,0.0269151,0,0.0328713,0.042148,0,0,0.0248364,0,0,0.0487349,0.0436185,0.0444804,0.013186,0.0242848,0.054818,0.0268348,0.0342576,0.0568257,0.0523799,0.0147871,0.0354081,0.0351377,0.022886,0.0245991,0.0892632,0.0520198,0.00982837,0.0107961,0.0283642,0,0.0180599,0.0344587,0.032667,0,0,0.0152145,0,0,0.0182316,0.0525331,0.0474034,0.0153067,0.0350333,0.0590637,0.0432606,0.0367246,0.0726213,0,0.0477726,0.0639929,0.0422436,0.0458977,0.0755937,0.0373473,0.0273732,0.00779009,0.00463184,0.0376558,0.0789546,0,0,0,0,0,0,0,0,0
6,0.0368532,0.0308557,0,0,0,0,0,0,0.0272336,0,0.0327185,0.042455,0,0,0.0248708,0,0,0.0487644,0.0437683,0.0447481,0.0130622,0.0248157,0.055183,0.0269715,0.0343764,0.0567485,0.0522158,0.0147778,0.0354399,0.0350766,0.0229826,0.0247356,0.0900255,0.0519394,0.00988951,0.0108389,0.0283755,0,0.0180385,0.0339807,0.0326126,0,0,0.015362,0,0,0.018147,0.0525878,0.0474256,0.0151446,0.0354271,0.059111,0.0431582,0.0366875,0.0725333,0,0.0468197,0.0638432,0.0421561,0.0459356,0.07552,0.0374423,0.0273332,0.00761916,0.00445194,0.0377627,0.0789765,0,0,0,0,0,0,0,0,0
7,0.0367687,0.0309767,0,0,0,0,0,0,0.02758,0,0.0326711,0.0426959,0,0,0.0248659,0,0,0.0487881,0.0439126,0.0451314,0.0130269,0.0252301,0.0555011,0.0272198,0.0338616,0.0568391,0.0518464,0.0147463,0.0355577,0.0350045,0.0230741,0.0248984,0.0907721,0.0517815,0.0101897,0.010239,0.0283326,0,0.0180651,0.0337648,0.0325582,0,0,0.0155438,0,0,0.0180538,0.052303,0.0474653,0.0150179,0.0360248,0.059093,0.0430844,0.0364108,0.0723603,0,0.0463593,0.0637579,0.0420446,0.0459469,0.0755487,0.0374979,0.0273102,0.00742773,0.00427867,0.0378959,0.0789135,0,0,0,0,0,0,0,0,0
8,0.0363459,0.0309122,0,0,0,0,0,0,0.0280075,0,0.0334578,0.0431205,0,0,0.0242151,0,0,0.0494383,0.0438012,0.0467264,0.0155416,0.0254158,0.0570713,0.0299187,0.0329661,0.057909,0,0.0154957,0.0338039,0.0332321,0.0214988,0.0241169,0.0901645,0.0511689,0.0106965,0.0109147,0.0285912,0,0.0163448,0.035106,0.0316809,0,0,0.0159176,0,0,0.0175971,0.0537164,0.0460422,0.0111323,0.0384953,0.0581996,0.0416516,0.0327921,0.0672035,0.0746181,0.0439698,0.0662003,0.0454833,0.0485658,0.077328,0.0393388,0.0276196,0.00765116,0.00326127,0.0376218,0.0799073,0,0,0,0,0,0,0,0,0
