Trajectories
100
,,Wheel Barrow:WBR,,,Wheel Barrow:WBL,,,Wheel Barrow:WFL,,,Wheel Barrow:WFM,,,Wheel Barrow:WFR,,,Wheel Barrow:IMUR_T,,,Wheel Barrow:IMUR_M,,,Wheel Barrow:IMUR_B,,,Wheel Barrow:IMUL_R,,,Wheel Barrow:IMUL_M,,,Wheel Barrow:IMUL_L,,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10650,0,901.603760,-507.000031,711.889893,557.508972,-489.344635,719.849426,455.345673,182.611145,691.656738,769.291138,469.816711,668.540161,1080.848267,148.943268,677.770020,,,,,,,1017.960999,-814.781982,542.075439,,,,,,,415.848602,-735.606201,673.876465,635.668518,-889.969299,1603.424072,755.488831,-894.612854,1601.423218,614.857239,-1040.539429,1564.641113,776.076355,-1037.951538,1558.822144,608.174255,-956.408936,1465.867310,767.281860,-936.669678,1450.636597,682.502991,-1138.173828,1399.073364,672.855896,-1183.945801,1327.161377,685.080200,-937.680908,1315.956055,686.748718,-903.694946,1230.469116,781.723511,-1156.041870,1348.296143,477.458099,-1018.723755,1383.713623,417.028931,-1021.745056,1160.002808,418.171906,-1034.246460,1057.683838,,,,394.155670,-982.052917,948.668762,437.722809,-949.682617,806.157959,404.119659,-1017.867554,805.934875,393.342590,-955.813049,690.296387,374.558685,-1011.736633,745.739929,877.381653,-1014.654297,1375.737671,951.895752,-1005.008362,1151.758545,973.485596,-997.983215,1043.883057,,,,999.956543,-997.768616,903.732483,956.493408,-956.975159,763.085083,997.295044,-1021.305542,776.203125,1001.317749,-973.031128,662.535400,1017.213318,-1027.011353,723.688660,,,,809.187500,-944.571594,918.214722,604.959045,-1166.694092,916.890991,745.960815,-1178.234863,918.187134,506.133026,-1018.527039,907.467773,871.431763,-1052.071777,922.651489,498.705536,-1012.908325,796.540405,514.873779,-1016.664734,700.378113,531.821899,-999.209106,620.148132,526.329041,-1081.319946,602.433044,520.807861,-1102.947388,684.349121,531.108032,-1081.617065,509.147400,,,,,,,537.121033,-1163.265015,330.236450,541.678162,-1249.420898,310.508087,544.631531,-1263.680908,368.771515,594.010132,-1363.096313,156.765091,,,,660.244385,-1442.500122,150.162460,602.985779,-1198.713501,44.499580,886.322449,-1025.986816,817.007019,557.553040,-1276.528809,28.096943,866.619141,-931.213745,714.570740,828.729248,-868.913513,663.755737,,,,869.747498,-985.760010,648.814026,842.334717,-934.436768,508.112488,,,,817.746399,-964.006531,390.437775,845.290344,-909.324036,322.016144,814.387878,-946.897949,288.192719,778.057068,-991.900330,355.221466,778.599121,-866.344604,89.998276,,,,698.157104,-920.670105,38.415974,777.752991,-652.143677,72.957893,843.908875,-723.504944,53.612923
10651,0,903.352600,-498.073364,712.809326,558.869507,-481.197998,721.082458,456.374542,191.059891,691.866760,769.892944,478.609467,667.869202,1081.835938,157.988388,677.534912,1042.338623,-778.533875,607.924255,,,,1019.957275,-806.024536,543.351501,,,,,,,417.689117,-727.371521,675.507507,638.295715,-881.133179,1604.706665,757.976685,-885.652771,1602.394897,615.862915,-1035.805908,1568.041870,778.536499,-1028.898438,1559.678955,610.511475,-946.958130,1467.359375,769.441650,-926.653931,1451.839233,684.448975,-1128.994873,1399.758057,674.619873,-1174.508179,1327.686646,686.976196,-928.285950,1317.150269,689.012329,-893.540710,1231.665283,783.605225,-1146.725952,1348.971436,479.520508,-1009.481323,1385.063232,418.829681,-1013.409363,1161.115112,420.072784,-1025.915894,1059.069092,,,,395.766479,-973.989685,950.051880,439.050751,-941.505310,807.398560,406.063538,-1009.402161,807.530029,395.384521,-947.438232,691.639954,376.437866,-1003.508545,747.135437,879.190735,-1005.334717,1377.102661,953.872375,-996.062073,1153.104370,975.732056,-988.984802,1045.197998,,,,1002.153870,-988.874695,904.889160,958.977661,-947.568115,764.146362,999.579590,-1012.201904,777.624573,1003.594849,-964.010681,663.827271,1019.706970,-1018.198486,725.078186,,,,812.426514,-935.131714,919.048706,605.885315,-1156.589966,916.762878,746.931458,-1168.709473,919.176758,511.134613,-1000.434143,909.402771,873.733276,-1043.658813,923.675659,500.964111,-1000.528564,796.695190,516.104065,-1002.447266,700.385193,532.253601,-983.312805,620.433350,526.380432,-1065.180054,601.256042,521.482361,-1088.321045,682.446045,529.935303,-1063.554199,507.822205,,,,529.022339,-1163.612793,394.410370,535.558167,-1147.847046,330.009125,540.885071,-1234.375000,312.534973,543.952942,-1247.125977,371.244659,592.923767,-1352.190674,162.873322,,,,659.948547,-1431.375122,161.847046,603.421326,-1197.674316,43.522602,888.702087,-1018.208862,817.564026,556.641174,-1275.498657,28.044788,869.949585,-924.536255,714.291809,833.160339,-861.622498,662.916748,,,,871.352234,-979.481750,648.968506,844.224304,-929.161072,507.989166,,,,818.848633,-959.365845,391.032501,846.397217,-905.752808,321.618042,814.980713,-943.431458,288.522247,778.447632,-987.064575,356.347076,778.317810,-865.320740,90.005653,,,,697.825684,-920.677368,38.608543,776.856934,-651.661926,69.856567,843.983643,-723.474365,52.293938
10652,0,905.157715,-488.970764,713.314148,560.884338,-472.094269,722.142273,457.406281,199.483826,692.108337,770.655823,487.306732,667.677551,1082.584595,167.065704,677.500244,1044.348022,-769.593262,609.213501,,,,1021.964783,-797.179260,544.702332,,,,,,,419.455505,-719.049377,677.022461,640.722107,-872.364197,1605.739868,760.433594,-876.701782,1603.248779,618.412109,-1026.328003,1568.941406,780.959717,-1020.210632,1560.490967,612.715149,-937.673706,1468.757935,771.606079,-916.860229,1452.901855,686.373718,-1119.940674,1400.408569,676.439148,-1165.264160,1328.300537,688.791260,-919.201111,1318.341919,691.049377,-884.311279,1233.008667,785.447449,-1137.454956,1349.559082,481.541260,-1000.498901,1386.384277,420.111511,-1005.516785,1163.055054,421.801300,-1017.600525,1060.612549,,,,397.306213,-965.744202,951.441162,440.875366,-932.656738,808.925842,407.764801,-1000.945435,808.904358,397.280701,-939.196716,692.945923,378.365204,-994.938416,748.560974,881.055847,-996.580139,1378.481812,956.010437,-987.206848,1154.476929,977.924072,-979.916321,1046.384521,,,,1004.641296,-979.991577,906.359924,961.083374,-939.261902,765.658813,1002.021667,-1003.034119,779.031982,1005.777100,-955.036194,665.107178,1022.070312,-1009.018311,726.471375,,,,815.907227,-925.814819,919.386841,607.111938,-1146.507202,916.561462,748.068726,-1159.338623,919.843018,513.558716,-989.024231,908.982483,876.137024,-1035.397339,924.640869,503.381134,-987.983765,796.632568,517.349426,-987.668518,700.166931,532.563599,-966.873291,620.460449,526.326538,-1048.344482,599.520752,522.260437,-1073.370117,680.553162,528.753235,-1044.552856,506.303558,,,,,,,533.834351,-1131.777832,329.590210,540.067383,-1218.330811,315.085144,543.099060,-1229.605225,373.772308,591.818787,-1340.296387,169.744171,,,,658.863770,-1419.096069,174.879837,603.241821,-1196.574585,42.396694,890.738892,-1010.667542,817.968628,556.135559,-1273.686523,28.230949,872.983704,-918.138733,713.764526,837.059753,-854.704468,661.933228,,,,872.879333,-973.775208,649.197510,845.729614,-924.492615,507.865265,,,,819.180664,-955.093323,391.289734,847.142761,-903.075378,321.307068,814.848999,-940.203857,288.435822,778.199646,-982.819580,357.339539,777.973450,-864.483582,89.894875,,,,697.938232,-920.424622,38.760757,776.180542,-650.945679,67.966042,844.290527,-722.775879,50.877308
10653,0,906.779114,-480.072327,714.593506,562.105713,-464.390167,723.461792,458.333344,207.976730,692.514160,771.185547,496.146667,667.313293,1083.544800,176.035446,677.723206,1046.261475,-760.640503,610.323975,,,,1023.885254,-788.323181,545.902710,,,,,,,421.391815,-710.653687,678.293396,643.509888,-863.399475,1606.929443,762.860840,-867.936829,1604.101196,620.715942,-1015.689026,1568.869141,783.221558,-1011.270020,1561.190430,615.009644,-928.486389,1470.251953,773.601440,-907.365356,1453.854248,688.205200,-1111.029663,1400.879517,678.188599,-1156.136353,1328.734009,690.712036,-908.591309,1320.068359,693.040222,-875.329224,1234.138794,787.214661,-1128.365112,1350.041138,483.486420,-991.667053,1387.619141,421.595459,-997.269165,1164.414185,423.457184,-1009.243591,1061.995728,,,,398.904541,-957.453430,952.899353,442.364258,-924.309509,810.377930,409.422302,-992.599731,810.176941,399.081696,-931.165833,694.441650,380.172180,-986.546814,749.812073,883.162720,-986.086670,1379.514893,958.173035,-978.349304,1155.866089,980.099182,-970.744019,1047.490112,,,,1007.066223,-970.979553,907.799622,963.730042,-929.609253,766.740906,1004.433167,-993.935059,780.369202,1007.938477,-946.038025,666.368408,1024.457031,-999.912048,727.776367,,,,819.393433,-917.027710,919.212646,608.548401,-1136.649536,916.227844,749.393066,-1150.240601,920.439392,516.485535,-978.693054,909.183044,878.274902,-1027.026367,925.422302,505.506744,-975.747314,796.392334,518.348816,-972.921082,699.859558,532.817688,-949.914490,620.627075,526.206970,-1031.030884,597.766479,523.007812,-1057.914307,678.233582,527.650574,-1024.851685,504.670502,,,,,,,532.660828,-1114.727905,329.788910,539.129272,-1201.942383,317.765808,542.296570,-1211.301880,376.672852,590.483765,-1327.494995,177.353958,,,,657.546265,-1405.315063,188.746201,602.687256,-1194.977783,40.515232,892.378479,-1003.367920,818.445801,555.499634,-1271.180786,28.819374,875.492065,-911.927551,713.264771,840.873108,-848.759583,660.690369,,,,874.263367,-968.528198,649.475708,847.003479,-920.306824,507.684601,,,,819.183777,-951.473633,391.743011,847.212708,-900.342346,320.852509,814.494446,-938.193298,289.160004,777.722656,-979.121948,358.207611,777.562622,-863.896667,89.897423,,,,697.798096,-920.313965,38.754890,775.379150,-649.990906,65.966736,844.423767,-721.938354,51.684528
10654,0,908.523621,-471.208344,715.447754,564.150452,-455.415680,724.160217,459.333405,216.328613,692.898132,771.890259,504.734985,667.175415,1084.880493,185.058578,677.539795,1048.144043,-751.777954,611.366150,,,,1025.806274,-779.500244,547.024231,,,,,,,423.239227,-702.481506,679.691528,645.814331,-854.788391,1608.189575,765.305054,-859.429504,1605.115967,622.994812,-1006.897217,1569.861572,785.399292,-1002.590881,1561.841431,616.828186,-919.976379,1471.308594,775.682434,-898.586304,1454.677856,690.116211,-1102.253540,1401.589966,679.971558,-1147.256958,1329.266113,692.607605,-899.821411,1321.049683,694.786926,-866.788757,1235.003174,789.009155,-1119.343872,1350.634521,485.350555,-983.045105,1388.784546,423.259735,-988.721252,1165.734253,425.132263,-1001.034973,1063.311890,,,,400.486847,-949.255737,954.042297,443.501770,-916.320007,811.750916,411.193634,-984.140991,811.533630,401.077423,-922.964722,695.446228,382.026947,-978.583679,750.794373,885.044312,-977.166138,1380.668579,960.226318,-969.318542,1157.047974,982.218628,-961.989380,1048.871948,,,,1009.195557,-961.869080,909.043701,966.138489,-920.606384,768.022766,1006.999268,-985.060791,781.635254,1010.107056,-937.080505,667.484253,1026.777832,-990.996704,728.903687,,,,822.463684,-907.394409,919.767700,610.191589,-1126.995972,915.635559,750.942261,-1141.473267,921.231262,518.257568,-969.598999,908.637939,880.230835,-1018.655884,926.306396,507.744843,-963.313965,796.054504,519.464722,-957.657654,699.601196,532.972473,-932.892578,620.503906,526.123352,-1013.223022,595.831726,523.584351,-1042.166016,675.697754,527.045959,-1004.198059,503.124359,,,,,,,531.429016,-1097.369995,330.443542,538.335083,-1184.705078,321.171204,541.720703,-1192.047119,380.483643,588.998779,-1313.832642,185.802658,,,,655.422424,-1390.376221,203.521530,601.895020,-1192.688110,38.122406,894.048340,-996.114990,819.020386,554.642273,-1267.996582,30.118149,877.693420,-905.357544,712.893250,843.359070,-842.381042,659.628662,,,,875.481140,-963.026245,649.841797,848.132385,-916.209656,507.598175,,,,819.050964,-947.894409,392.088806,847.363708,-898.033997,320.623871,814.199829,-935.907654,289.515198,777.467285,-975.842285,359.169312,777.127075,-863.357483,89.893509,,,,697.914612,-919.996033,38.327774,776.197144,-650.218628,65.464607,844.098450,-721.787292,50.616138
10655,0,910.241211,-462.337463,715.880920,565.802979,-446.732086,725.138123,460.053833,224.419113,693.435791,772.491760,513.429626,667.295410,1085.797485,194.208771,677.663757,1050.059814,-742.915405,612.318848,,,,1027.716431,-770.716187,548.014038,,,,,,,425.187805,-694.093628,680.706482,647.884094,-846.423340,1609.209717,767.389526,-850.835510,1605.828369,625.160828,-998.249512,1570.813110,787.325073,-995.703613,1562.442017,619.604370,-910.550598,1472.659790,777.584167,-890.360229,1455.285767,691.963440,-1093.534668,1402.308105,681.743286,-1138.470459,1329.879517,694.436218,-891.234741,1321.916260,696.420959,-857.348633,1235.515015,790.734985,-1110.442383,1351.223389,487.202667,-974.493042,1389.704468,424.749359,-980.272156,1166.735718,426.738373,-992.826172,1064.297119,,,,402.177246,-941.052246,955.066223,445.336945,-908.068787,813.018188,412.992859,-975.896057,812.481812,403.245361,-914.714417,696.390381,383.979645,-970.160522,751.632996,886.782349,-968.322205,1381.812012,961.997375,-960.151489,1158.080078,984.316406,-952.910522,1049.907104,,,,1011.363525,-952.922241,910.310181,968.175903,-912.101807,769.405029,1009.029602,-975.961792,782.665405,1012.124207,-928.168579,668.537048,1028.915039,-981.734131,729.974548,,,,825.069458,-899.198975,920.531189,611.872131,-1117.758301,914.711365,752.542297,-1132.959229,922.207275,520.365173,-960.080566,908.449768,882.145935,-1010.433777,927.457397,509.674316,-951.130920,795.705383,520.621826,-942.742554,699.468262,533.458252,-915.390381,621.071350,526.138489,-995.194031,594.265442,524.061829,-1026.177246,673.268005,526.865295,-983.294250,502.763702,,,,525.906006,-1084.153320,396.801147,530.463440,-1079.205566,331.632141,537.588379,-1166.786987,325.358368,541.191223,-1172.221924,384.656067,587.322144,-1298.883057,194.548264,,,,654.368835,-1373.914795,217.367218,600.761108,-1189.403564,34.520870,895.722961,-988.884888,819.885254,553.546326,-1264.579834,31.903759,879.677979,-899.359436,712.959961,846.116333,-836.930359,659.079407,,,,876.811584,-957.770142,650.504517,849.323303,-912.158813,507.718506,,,,819.550110,-944.466248,391.991455,847.858643,-895.673584,320.318817,814.444336,-933.702209,289.815948,777.863586,-972.873169,359.978455,777.423950,-863.146912,90.257782,,,,697.844727,-919.949951,38.448383,775.217896,-650.364746,64.581612,843.979126,-721.471863,50.328518
10656,0,911.951660,-453.472687,716.773926,567.519043,-438.023895,725.943054,461.087372,232.924896,693.810364,773.049561,522.054199,667.170349,1086.712891,203.259171,677.694763,1051.870361,-734.037170,613.106995,,,,1029.529175,-761.893433,548.851990,,,,,,,426.957611,-685.915039,681.802063,650.119751,-837.768066,1610.115479,769.531921,-842.341003,1606.521362,627.198669,-989.656067,1571.630859,789.414917,-985.428284,1562.978394,620.731995,-903.098450,1473.505005,779.347900,-882.668640,1455.648071,693.726013,-1084.842163,1403.032471,683.500610,-1129.781250,1330.664062,696.263000,-882.555298,1322.729492,698.059875,-849.840881,1236.731079,792.520264,-1101.581665,1352.027466,488.984802,-966.062683,1390.446167,426.477142,-972.058960,1167.674316,428.501129,-984.592407,1065.101562,,,,403.976044,-933.040588,955.722473,447.244080,-899.655212,813.448303,414.867065,-967.861877,813.286926,405.206696,-906.653625,697.102600,385.989838,-962.102051,752.615479,888.586670,-959.456238,1382.730347,964.168457,-951.085693,1159.095703,986.144226,-943.902466,1050.808105,,,,1013.294922,-943.959717,911.167297,969.969543,-902.354858,769.938354,1011.054871,-967.000732,783.592529,1014.131531,-919.318787,669.423584,1031.110229,-973.132996,730.888794,,,,827.473328,-890.557434,920.966125,613.565125,-1108.941162,913.746094,754.088745,-1124.736816,923.391785,522.336853,-949.978638,908.051819,883.865967,-1002.295837,928.744812,511.626831,-938.957642,795.937805,521.574158,-924.503967,700.025635,534.154724,-897.817932,622.109314,526.285095,-977.073425,593.165894,524.593018,-1010.128052,671.402039,526.575317,-962.334045,502.440521,,,,,,,529.550659,-1060.698486,333.478668,536.909485,-1148.079956,329.755219,540.675964,-1151.787476,389.353821,,,,,,,652.632202,-1355.794312,231.419052,599.618591,-1185.767212,31.054205,897.487671,-981.613464,820.957275,552.375854,-1260.732788,34.672340,881.381592,-893.083984,713.176086,847.788879,-831.029175,658.740723,,,,878.363647,-952.690186,651.264160,850.614746,-908.038086,508.047943,,,,820.656555,-941.503540,392.520874,848.786316,-893.220520,320.278473,815.292908,-931.550720,290.140961,778.842712,-970.073792,360.738129,776.881226,-862.315918,90.160889,,,,698.111816,-919.666260,38.529892,775.376099,-649.555481,63.303574,843.888794,-721.209412,49.940453
10657,0,913.574707,-444.782471,717.377869,568.959839,-430.077576,726.631409,462.015686,241.181519,694.001709,773.772888,530.576355,667.309509,1087.437622,211.952515,677.843079,1053.727539,-725.162476,613.846375,,,,1031.364746,-753.076294,549.573120,,,,,,,428.779053,-677.675354,682.668030,651.685120,-829.769531,1610.772095,771.368591,-833.853882,1607.104004,629.280396,-982.434448,1573.475708,791.108032,-978.495544,1563.577148,622.419434,-894.878723,1474.291382,780.953064,-875.147583,1455.950684,695.529907,-1076.226196,1403.853516,685.333923,-1121.208496,1331.616577,697.921021,-874.229309,1323.221313,699.805176,-841.438660,1237.340820,794.361633,-1092.816650,1352.870605,490.702332,-957.592468,1390.837646,428.304352,-963.835449,1168.411743,430.287262,-976.656494,1065.722290,,,,405.880127,-925.101929,956.266663,447.736816,-893.485168,814.423889,416.885834,-959.684631,813.911621,407.265350,-898.341187,697.986694,387.933258,-954.169495,753.416077,890.249023,-950.539124,1383.526733,966.383606,-941.929016,1160.096069,987.805481,-935.197998,1051.608643,,,,1015.133240,-935.340881,912.024292,971.691284,-894.974243,771.085144,1013.272278,-958.368774,784.435852,1016.190430,-910.416626,670.388367,1033.171631,-964.233337,731.796326,,,,829.437195,-882.905823,921.886719,615.217590,-1100.532715,912.860168,755.553223,-1116.620850,924.675781,524.220947,-941.853271,908.537720,885.523254,-994.389587,930.138733,513.349854,-927.226562,796.352783,522.666321,-908.995178,700.901489,534.879089,-880.674500,623.808411,526.626160,-959.063232,592.807312,525.227905,-994.134521,670.151978,526.587158,-941.380615,503.033508,,,,523.248474,-1045.667603,402.576630,529.508606,-1040.870483,336.205872,536.345520,-1128.515625,334.297577,540.122681,-1131.281250,393.853394,583.450195,-1266.679321,212.920258,,,,650.790222,-1336.044922,245.076736,598.879395,-1183.113037,28.956480,899.309082,-974.418213,822.190613,551.522522,-1256.367920,38.037727,883.108459,-886.731262,713.448853,850.004944,-825.738831,658.629944,,,,879.829712,-947.369080,652.417786,852.066345,-903.989624,508.441620,,,,822.185364,-938.577454,392.911865,849.901855,-890.556396,320.418365,816.666077,-929.451782,290.591522,780.384033,-967.579285,361.508514,776.894531,-862.043396,90.032784,,,,698.139343,-919.588684,38.482750,776.052795,-649.761475,63.345730,843.891785,-720.979553,49.752083
10658,0,914.751648,-436.128174,717.585449,570.571899,-421.673187,727.177307,462.772430,249.401169,694.426147,774.313232,539.261292,667.349731,1088.217529,220.893921,677.911682,1055.457275,-716.245972,614.328552,,,,1033.168213,-744.340271,550.214478,,,,,,,,,,653.721802,-821.116333,1611.768066,773.329163,-825.523926,1607.946655,631.017944,-972.806213,1573.254150,793.137329,-968.392212,1564.128784,624.011414,-886.584290,1475.015015,782.418274,-867.363220,1456.478516,697.348328,-1067.722412,1404.831665,687.194336,-1112.848267,1332.653320,699.546326,-865.657471,1323.886475,701.883606,-832.033691,1237.673462,796.231140,-1084.256958,1353.820435,492.539185,-949.067078,1391.670654,430.130737,-955.823853,1168.964844,432.226196,-968.881165,1066.271484,,,,407.814453,-917.393188,956.867493,450.681213,-883.672302,814.893677,418.967590,-951.731873,814.427490,409.224518,-890.155396,698.677185,389.962921,-945.913086,753.988770,891.997375,-941.444702,1384.053101,967.758484,-932.697510,1160.672485,989.320801,-926.705383,1052.316650,,,,1016.628723,-926.342529,912.525208,973.902405,-885.025208,771.486694,1014.875061,-949.340637,785.218689,1018.143555,-901.585754,671.262939,1035.078857,-954.994019,732.683960,,,,831.463440,-874.311218,922.540894,616.725403,-1092.479004,912.443909,756.940674,-1108.761719,926.072021,525.942566,-933.483948,909.040771,887.111328,-986.594788,931.483582,515.074036,-915.832458,797.276855,523.891174,-893.976501,702.403381,536.003784,-863.663513,626.073120,527.114868,-941.444397,593.193115,525.870728,-978.311279,669.355042,526.431396,-920.744812,503.682312,,,,523.121338,-1024.486450,405.254791,529.486389,-1021.094177,338.937531,535.851379,-1108.833130,338.610535,539.659546,-1110.336792,398.457550,582.997192,-1248.001465,220.586517,,,,648.819702,-1315.029785,258.868439,597.316406,-1178.781006,26.766314,901.029846,-967.221497,823.495789,550.948242,-1251.259277,43.345234,884.688293,-880.991089,714.002869,851.078247,-819.974487,658.360046,,,,881.518372,-940.951660,653.387512,853.532410,-900.064392,508.873108,,,,823.591431,-935.600037,393.141693,851.220032,-888.244873,320.545868,818.127441,-927.543701,291.000916,781.910278,-965.007080,361.478241,777.075256,-861.938843,89.936737,,,,697.944275,-919.755554,38.751953,775.745178,-649.566772,62.838970,844.062988,-720.524536,49.812725
