Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.0827408
1,1,-0.0632477
1,2,-0.0136566
1,3,-0.00171661
1,4,0.0458908
1,5,0.0511932
1,6,0.0517273
1,7,0.0539017
1,8,0.0424194
1,9,0.0376129
2,0,0.0174332
2,1,0.0242615
2,2,0.00534058
2,3,-0.0450516
2,4,-0.0880432
2,5,-0.0948334
2,6,-0.121231
2,7,-0.126724
2,8,-0.0705338
2,9,-0.0597
3,0,-0.0257492
3,1,-0.0261688
3,2,0.0390244
3,3,0.0155258
3,4,0.0340652
3,5,0.0370026
3,6,-0.0101089
3,7,-0.0701904
3,8,-0.022316
3,9,-0.0650406
4,0,-0.0638199
4,1,-0.15522
4,2,-0.133324
4,3,-0.196457
4,4,-0.112305
4,5,-0.0939941
4,6,-0.0505447
4,7,-0.0448227
4,8,-0.033493
4,9,0.0324631
5,0,-0.0183487
5,1,0.0291443
5,2,-0.0208282
5,3,-0.022583
5,4,-0.0370407
5,5,-0.0311661
5,6,-0.0541306
5,7,-0.127907
5,8,-0.151749
5,9,-0.170288
6,0,-0.109787
6,1,-0.110741
6,2,-0.0485229
6,3,-0.0492859
6,4,0.00087738
6,5,-0.00766754
6,6,-0.0197601
6,7,0.00217438
6,8,0.0388336
6,9,-0.00232697
7,0,0.0110245
7,1,0.00530243
7,2,0.00732422
7,3,-0.0704956
7,4,-0.126305
7,5,-0.112114
7,6,-0.109978
7,7,-0.0917053
7,8,-0.0524902
7,9,-0.0240326
8,0,0.00358582
8,1,0.0222015
8,2,0.0317764
8,3,0.0378418
8,4,0.0597
8,5,0.06073
8,6,0.0629044
8,7,0.0595474
8,8,0.0658798
8,9,0.0143814
9,0,-0.0331879
9,1,-0.0864029
9,2,-0.0740051
9,3,-0.0362396
9,4,-0.0443268
9,5,-0.0298691
9,6,0.0389099
9,7,0.0398254
9,8,0.0872421
9,9,0.0817871
10,0,0.103531
10,1,0.0828934
10,2,0.088501
10,3,0.069046
10,4,0.0794983
10,5,0.0960922
10,6,0.031662
10,7,-0.0180435
10,8,-0.0208282
10,9,-0.0503922
11,0,-0.0270462
11,1,0.0150299
11,2,0.0202942
11,3,0.0438309
11,4,0.0733948
11,5,0.11528
11,6,0.132828
11,7,0.131264
11,8,0.105553
11,9,0.094986
12,0,0.0672531
12,1,0.0834656
12,2,0.090332
12,3,0.0119019
12,4,-0.000953674
12,5,-0.0231552
12,6,-0.00419617
12,7,-0.0107956
12,8,-0.00259399
12,9,0.030365
13,0,0.0618744
13,1,0.0743103
13,2,0.0815964
13,3,0.0944519
13,4,0.107956
13,5,0.108185
13,6,0.0935745
13,7,0.07061
13,8,0.0828934
13,9,0.0249863
14,0,-0.0202942
14,1,-0.0598907
14,2,-0.0669479
14,3,-0.0905609
14,4,-0.0388718
14,5,-0.00217438
14,6,-0.0123215
14,7,0.0307083
14,8,0.0598526
14,9,0.067482
15,0,0.0439835
15,1,-0.00732422
15,2,0.0341034
15,3,0.0203705
15,4,0.0391388
15,5,0.0294495
15,6,-0.0498199
15,7,-0.0959015
15,8,-0.111046
15,9,-0.116081
16,0,-0.0996017
16,1,-0.0975037
16,2,-0.0481033
16,3,-0.027771
16,4,0.00553131
16,5,0.00137329
16,6,0.0136948
16,7,0.0436401
16,8,0.0335312
16,9,0.00846863
17,0,-0.000457764
17,1,-0.00431061
17,2,-0.0445938
17,3,-0.0834656
17,4,-0.128326
17,5,-0.139923
17,6,-0.136566
17,7,-0.116577
17,8,-0.0526047
17,9,-0.0771713
18,0,-0.0423431
18,1,-0.0636292
18,2,0.00301361
18,3,0.0156784
18,4,-0.00862122
18,5,0.00392914
18,6,0.00392914
18,7,-0.0168228
18,8,-0.00164032
18,9,-0.0422287
19,0,-0.0289154
19,1,-0.134735
19,2,-0.133324
19,3,-0.136375
19,4,-0.061264
19,5,-0.0680923
19,6,-0.0367355
19,7,-0.0352859
19,8,0.0211334
19,9,0.0454712
20,0,0.0227356
20,1,0.0340652
20,2,0.0154114
20,3,0.0308228
20,4,0.0180817
20,5,0.00862122
20,6,-0.033989
20,7,-0.0847626
20,8,-0.106468
20,9,-0.103073
21,0,-0.114746
21,1,-0.0749207
21,2,-0.0339508
21,3,-0.0295258
21,4,0.0192642
21,5,0.0383759
21,6,0.0722504
21,7,0.0682068
21,8,0.0713348
21,9,0.0452423
22,0,0.0366974
22,1,0.0465393
22,2,0.0289536
22,3,-0.0330734
22,4,-0.055275
22,5,-0.092926
22,6,-0.0743484
22,7,-0.0266647
22,8,-0.0235748
22,9,0.0216675
23,0,0.00591278
23,1,0.0320816
23,2,0.0966644
23,3,0.0624084
23,4,0.113678
23,5,0.0771332
23,6,0.0458527
23,7,0.0629044
23,8,0.0501251
23,9,0.0661087
24,0,-0.0165558
24,1,-0.056839
24,2,-0.0707626
24,3,-0.042305
24,4,-0.0555038
24,5,-0.0151825
24,6,0.014534
24,7,0.0507355
24,8,0.102501
24,9,0.120583
25,0,0.103149
25,1,0.0949097
25,2,0.0854492
25,3,0.118027
25,4,0.126648
25,5,0.089035
25,6,0.0181961
25,7,-0.013504
25,8,-0.059166
25,9,-0.0318146
26,0,-0.0158691
26,1,-0.0511932
26,2,0.00038147
26,3,0.0478745
26,4,0.0958633
26,5,0.160446
26,6,0.11631
26,7,0.0863266
26,8,0.100021
26,9,0.0794601
27,0,0.0787354
27,1,0.0735474
27,2,0.0726318
27,3,-0.0121307
27,4,-0.01091
27,5,-0.0557709
27,6,-0.0273895
27,7,-0.0330734
27,8,-0.0117493
27,9,-0.0150681
28,0,0.0221252
28,1,0.0352097
28,2,0.0600433
28,3,0.0605774
28,4,0.0651932
28,5,0.0695038
28,6,0.0495911
28,7,0.0447083
28,8,0.0284576
28,9,0.0141907
29,0,-0.0585175
29,1,-0.112038
29,2,-0.0870895
29,3,-0.123787
29,4,-0.0965118
29,5,-0.0825882
29,6,-0.0473022
29,7,-0.0218964
29,8,0.0198364
29,9,0.0679016
30,0,-0.00961304
30,1,-0.00667572
30,2,-0.00457764
30,3,-0.0094986
30,4,0.0587845
30,5,-0.0247192
30,6,-0.0551605
30,7,-0.106659
30,8,-0.157394
30,9,-0.164146
31,0,-0.144272
31,1,-0.110474
31,2,-0.116348
31,3,-0.086174
31,4,-0.0608444
31,5,0.00598907
31,6,0.0333786
31,7,0.00320435
31,8,0.0166321
31,9,0.0138855
32,0,-3.8147e-05
32,1,-0.0716782
32,2,-0.0347137
32,3,-0.0554276
32,4,-0.115051
32,5,-0.150223
32,6,-0.160408
32,7,-0.145569
32,8,-0.0526047
32,9,-0.0583649
33,0,0.0211716
33,1,-0.0429153
33,2,-0.0214386
33,3,0.0265884
33,4,0.0275803
33,5,0.0281525
33,6,0.0426865
33,7,-0.00347137
33,8,-0.000648499
33,9,-0.0342941
34,0,-0.0165939
34,1,-0.0865555
34,2,-0.0896454
34,3,-0.124969
34,4,-0.0734711
34,5,-0.0533676
34,6,-0.0252151
34,7,0.00679016
34,8,0.0225067
34,9,0.0701523
35,0,0.0284576
35,1,0.022583
35,2,0.0484085
35,3,0.053978
35,4,0.0376511
35,5,0.0325012
35,6,-0.0208282
35,7,-0.0438309
35,8,-0.0984192
35,9,-0.0891876
36,0,-0.0912476
36,1,-0.0470352
36,2,-0.0260925
36,3,0.0370026
36,4,0.0421906
36,5,0.0393677
36,6,0.0359344
36,7,0.0839615
36,8,0.108643
36,9,0.0990295
37,0,0.0681686
37,1,0.0698853
37,2,0.0244904
37,3,-0.0145721
37,4,-0.0328064
37,5,-0.0477219
37,6,-0.0524521
37,7,-0.0439453
37,8,-0.0313568
37,9,0.044632
38,0,0.0564957
38,1,0.0840759
38,2,0.0685883
38,3,0.111198
38,4,0.085144
38,5,0.0865555
38,6,0.106277
38,7,0.104256
38,8,0.0867844
38,9,0.0460434
39,0,0.014801
39,1,-0.0346756
39,2,-0.0353622
39,3,-0.0318527
39,4,-0.0466156
39,5,0.0213623
39,6,0.0298309
39,7,0.0732422
39,8,0.113297
39,9,0.124435
40,0,0.0987244
40,1,0.0842667
40,2,0.170555
40,3,0.0895309
40,4,0.0826263
40,5,0.0961304
40,6,0.0254059
40,7,-0.017128
40,8,-0.0418854
