Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RANK,RTHII,IMUL_R,IMUL_M,LASI,IMUR_M
All Timesteps RMSE,0.0522482,0.0379904,0,0,0,0.0390683,0,0.0347432,0,0,0.0204158,0,0,0.0591908,0.0392253,0.0350968,0.0295909,0.0206469,0.0509009,0.030846,0.0325061,0.0454576,0.0417489,0.0250443,0.0329543,0.0358473,0.0252236,0.0268956,0.0385648,0.0473485,0.0189424,0.023288,0.19686,0,0.0533015,0.0366484,0,0,0.0141034,0,0,0.0173004,0.0504372,0.241206,0.0345261,0.025388,0.0523881,0.0359422,0.0456152,0.0748992,0.0388263,0.0602103,0.0397986,0.0469369,0.0693684,0.057085,0.0341045,0.0107127,0.00764222,0.044162,0.0677503,0,0,0,0,0,0,0,0,0.0271652,0.0549965,0,0,0.044545,0
0,0.05226,0.0376493,0,0,0,0.0369422,0,0.0355924,0,0,0.019793,0,0,0.0612851,0.0458158,0.052124,0.0215057,0.0118973,0.0523344,0.034044,0.0308486,0.0509292,0.0524635,0.0179499,0.0327961,0.032961,0.0208478,0.0161392,0.0737865,0.0455234,0.01841,0.0238494,0.185906,0,0.0596617,0.0368488,0,0,0.0163947,0,0,0.0171894,0.04527,0.240879,0.0424648,0.0217215,0.0555879,0.0410323,0.0517135,0.0898706,0.0428344,0.0564828,0.0319332,0.0435976,0.0639753,0.068702,0.0303553,0.00771387,0.0105609,0.0447182,0.0673964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0527406,0.0381793,0,0,0,0.0358022,0,0.0373668,0,0,0.0193893,0,0,0.0610619,0.047573,0.0548664,0.0247687,0.0133076,0.0530969,0.0336405,0.0310902,0.0536216,0,0.0192941,0.0318154,0.0305923,0.0198799,0.0161958,0.0776072,0.0459002,0.0177068,0.023553,0.185829,0,0.0612474,0.0356127,0,0,0.0157135,0,0,0.0168332,0.0453434,0.241116,0.0405567,0.0215388,0.0539361,0.0393277,0.0527555,0.0905725,0.0434699,0.0560079,0.0300555,0.0432601,0.0633262,0.0681483,0.0313863,0.00850956,0.00973892,0.0449826,0.0666379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0529313,0.0381807,0,0,0,0.0337563,0,0.0366711,0,0,0.0193733,0,0,0.0609356,0.0472449,0.0518503,0.0241574,0.0148166,0.0529683,0.0334888,0.0318816,0.0533365,0,0.0183294,0.0350612,0,0.0232596,0.0186285,0.0777416,0.0459386,0.0177738,0.0236134,0.185148,0,0.0614881,0.0357678,0,0,0.0159064,0,0,0.0166669,0.0455467,0.240346,0.0403839,0.0219131,0.0539278,0.0393825,0.0524559,0.0903096,0.0434859,0.056542,0.0301943,0.0437554,0.0637725,0.0707707,0.0314183,0.00867437,0.00956908,0.0442456,0.0671341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.052812,0.0381328,0,0,0,0.0342718,0,0.0366634,0,0,0.0199426,0,0,0.0609043,0.0463487,0.0509163,0.0208724,0.0133196,0.0525283,0.0336153,0.031412,0.0516155,0.0539845,0.0181757,0.0341435,0.0340383,0.0251231,0.0215622,0.076109,0.0454331,0.0177732,0.0239706,0.188901,0,0.0595884,0.0366092,0,0,0.0158862,0,0,0.0169028,0.044074,0.242085,0.0409663,0.0202313,0.0545462,0.0399448,0.0519461,0.0874324,0.0431296,0.0574229,0.0323367,0.0451931,0.064508,0.059894,0.0314109,0.00847325,0.00976556,0.0435261,0.0682447,0,0,0,0,0,0,0,0,0.0132463,0,0,0,0,0
4,0.0530526,0.0383132,0,0,0,0.0340302,0,0.035783,0,0,0.0194755,0,0,0.060585,0.0477957,0.0474532,0.023325,0,0.0528025,0.0333586,0.0327808,0.0553088,0,0.0169989,0,0.0366458,0.026534,0.0224641,0.071041,0.0459794,0.0173349,0.0235487,0.190607,0,0.0614231,0.0356718,0,0,0.0150227,0,0,0.0164608,0.0435674,0.243087,0.0392942,0.0195121,0.0530025,0.0384651,0.0507189,0.0850063,0.0432308,0.0568456,0.0328657,0.0447289,0.0638325,0.0559215,0.0323994,0.00908302,0.00879141,0.0439588,0.0677061,0,0,0,0,0,0,0,0,0.0148796,0,0,0,0,0
5,0.0527775,0.0383594,0,0,0,0.0339615,0,0.0330212,0,0,0.0194638,0,0,0.0600258,0.0500439,0.0424133,0.0264447,0,0.0521275,0.0329632,0.0377633,0,0,0.0126313,0,0.0381552,0.0270277,0.0227638,0.0643456,0.0463105,0.0169904,0.0232637,0.19355,0,0.0621782,0.0350339,0,0,0.0143294,0,0,0.0159829,0.0433839,0.243859,0.0391177,0.0187592,0.0513701,0.0371899,0.0502344,0.0821317,0.0429876,0.055697,0.0331305,0.0433341,0.062631,0.0517259,0.0334885,0.00976005,0.0077871,0.0447051,0.066442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0503814,0.0382836,0,0,0,0.0260337,0,0.0369373,0,0,0.0211327,0,0,0.0609547,0.0479898,0.0345464,0.0166458,0.115622,0.0533947,0.0328748,0.0391995,0.053073,0,0.012414,0,0.0490759,0.0390447,0.0327377,0.0635482,0.0440251,0.0173049,0.0243159,0.198,0,0.0601271,0.0385198,0,0,0.0137247,0,0,0.0160151,0.0399952,0.243678,0.043637,0.0165733,0.055947,0.037568,0.0490904,0.0783618,0.0404934,0.0556533,0.0346327,0.0439974,0.0633857,0.0438533,0,0.0095387,0.00767144,0.0445236,0.0689198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0530154,0.0376942,0,0,0,0.0249964,0,0.0367325,0,0,0.0202508,0,0,0.0606205,0.0477547,0.0313913,0.0148144,0.125323,0.051951,0.0334815,0.0398543,0.052013,0,0.0131745,0,0.0502561,0.0402888,0.0338829,0.0604788,0.0451794,0.0173073,0.0238152,0.20196,0,0.060432,0.0373657,0,0,0.0158247,0,0,0.0172862,0.0393361,0.24259,0.0443065,0.0158147,0.0549833,0.0403727,0.0477285,0.074486,0.0395054,0.0551624,0.0351934,0.0442526,0.0638718,0.0375554,0.0313929,0.00822305,0.00989024,0.0442411,0.0700633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0487607,0.0395442,0,0,0,0.0247769,0,0.0365749,0,0,0.0217698,0,0,0.0609586,0.0477449,0.0307431,0.0194686,0.108596,0.0507362,0.0319774,0,0.0546941,0,0.0106901,0,0.0494962,0.0396164,0.0333354,0.0589882,0.0438097,0.0169593,0.0240288,0,0,0.0605431,0.0390364,0,0,0.0120402,0,0,0.0185416,0.0428082,0.179213,0.0449626,0.0141922,0.053621,0.0380066,0.0424004,0.0665507,0.0331477,0.0694972,0.0532808,0.0710253,0.0904932,0.0505556,0,0.00859641,0.00678976,0.0471115,0.0671535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0529542,0.0375048,0,0,0,0.0333814,0,0.033082,0,0,0.0204263,0,0,0.0607948,0.0447651,0.0399747,0.0229824,0,0.0537573,0.0342688,0.030771,0.0533371,0,0.0183178,0,0.0353676,0.0263422,0.0223832,0.0582051,0.0450867,0.0175158,0.02427,0,0,0.05743,0.0359315,0,0,0.0145999,0,0,0.0163564,0.0432216,0.206975,0.0351998,0.0192115,0.0517575,0.0383276,0.0487704,0.0661508,0.0407491,0.059406,0.0402288,0.05473,0.0761785,0.0294594,0.0327908,0.00912648,0.00783389,0.0454146,0.0690226,0,0,0,0,0,0,0,0,0.142188,0,0,0,0,0
10,0.0530369,0.0379617,0,0,0,0.0352742,0,0.0328987,0,0,0.0262744,0,0,0.0592868,0.0444299,0.0422211,0.0257683,0.0182831,0.0543484,0.037946,0.0270646,0.0520527,0,0.0212334,0.0335378,0.0319011,0.023953,0.0206577,0.0591976,0.0441291,0.017108,0.0211089,0,0,0.0577035,0.0352141,0,0,0.0119189,0,0,0.0192763,0.0435805,0.208157,0.0332871,0.019651,0.050704,0.037125,0.0490936,0.0662739,0.0409427,0.0590488,0.0397714,0.0540012,0.0754124,0.0328608,0.0336818,0.00906071,0.0115508,0.0459297,0.0684427,0,0,0,0,0,0,0,0,0.146722,0,0,0,0,0
11,0.052699,0.0386324,0,0,0,0.0364818,0,0.0324055,0,0,0.0201237,0,0,0.0607016,0.0441117,0.0425916,0.0268044,0.0166225,0.0548769,0.0337093,0.0262967,0.0523632,0,0.0219453,0.0316212,0.0299692,0.0227972,0.0196942,0.0572559,0.0454671,0.0171696,0.0237901,0,0,0.0583306,0.0353048,0,0,0.0139959,0,0,0.0168557,0.0441627,0.209007,0.0329241,0.0198078,0.0505068,0.0375011,0.0490187,0.0659625,0.0409262,0.0588828,0.0396897,0.0537486,0.0749366,0.029808,0.0333423,0.00933475,0.00752733,0.0459457,0.0679234,0,0,0,0,0,0,0,0,0.147733,0,0,0,0,0
12,0.0525135,0.0386998,0,0,0,0.0368106,0,0.0310536,0,0,0.020235,0,0,0.0604965,0.0437307,0.0401589,0.02625,0,0.0552389,0.0334261,0.0285546,0.0533987,0,0.0206048,0.0328721,0.0307854,0.0230237,0.0197252,0.0521619,0.045355,0.0169951,0.0239615,0,0,0.0587458,0.0357182,0,0,0.0137506,0,0,0.0176977,0.0447719,0.208255,0.0328712,0.0193814,0.050666,0.0376697,0.0479137,0.0651286,0.0402842,0.0590518,0.0402552,0.0542444,0.0752875,0.0297334,0.0333103,0.00897394,0.00827651,0.0459468,0.0680129,0,0,0,0,0,0,0,0,0.140736,0,0,0,0,0
13,0.0505172,0.0389536,0,0,0,0.0353977,0,0.0311266,0,0,0.0207711,0,0,0.0592439,0.043137,0.0354824,0.0266151,0,0.0510445,0.0324339,0.0319649,0.0537729,0,0.0175565,0,0.0343834,0.0260256,0.021617,0.0491653,0.0459919,0.0157221,0.0230392,0,0,0.0642951,0.037451,0,0,0.0138376,0,0,0.0191325,0.0489927,0.183775,0.0378031,0.0174514,0.0481205,0.0398208,0.0397261,0.0611382,0.0324861,0.0691617,0.0533237,0.0695593,0.0894873,0.0384882,0.0325738,0.00762918,0.00944759,0.0474441,0.0656249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0477931,0.0404711,0,0,0,0.0379146,0,0.0313072,0,0,0.0217172,0,0,0.0596013,0.0435807,0.0401966,0.0276853,0.0161497,0.05403,0.0304695,0.0297422,0.0522374,0,0.0191114,0.0310461,0.0298407,0.0232732,0.0204408,0.0505711,0.0447908,0.0155811,0.0236683,0,0,0.0647785,0.0383894,0,0,0.0102765,0,0,0.0197215,0.0486279,0.184172,0.0372456,0.018314,0.0499571,0.0359635,0.0397334,0.0627443,0.033552,0.0686553,0.0525182,0.0686721,0.0879166,0.0461531,0,0.00939891,0.00613481,0.0481403,0.0645841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0517062,0.0382187,0,0,0,0.0381584,0,0.0283598,0,0,0.0200478,0,0,0.0588749,0.0439596,0.0383455,0.0259061,0.0155807,0.0558574,0.0315688,0.0274204,0.0493522,0,0,0.0301736,0.0305209,0.0245446,0.021922,0.0505101,0.0466672,0.0168677,0.0234261,0.204007,0,0.0668856,0.036289,0,0,0.013874,0,0,0.0169031,0.0441257,0.239716,0.0366378,0.0189626,0.0507284,0.0377326,0.0486144,0.0736497,0.043234,0.0522024,0.0318654,0.0423331,0.0614447,0.0466558,0.0333881,0.00908969,0.00832567,0.0446951,0.0666926,0,0,0,0,0,0,0,0,0.0260242,0,0,0,0,0
