Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,LASI,LKNE,RTIBP,IMUR_M,IMUL_M,LTHII,RTHII
All Timesteps RMSE,0.0492677,0.039032,0,0,0,0.0418067,0,0.0310379,0,0,0.0225721,0,0,0.0616531,0.0396162,0.0307564,0.0301328,0.0481844,0.0333167,0.0326859,0.0437477,0.0260128,0.0336042,0.0361176,0.0258278,0.0273813,0.0332765,0.0426759,0.019846,0.0261225,0.0493284,0,0.021524,0.0516572,0.0389152,0,0,0.0147816,0,0,0.018286,0.0498074,0.0384187,0.033258,0.0229177,0.0488557,0.0389108,0.0426511,0.0617001,0.0351354,0.0616763,0.0454361,0.0485755,0.0346193,0.0331969,0.0101627,0.00803925,0.0467124,0.0659477,0,0,0,0,0,0,0,0,0,0.0437038,0.0156194,0.0730204,0,0,0.0416929,0.05141
0,0.048168,0.04125,0,0,0,0.0300967,0,0.0347836,0,0,0.0204609,0,0,0.0595042,0.035809,0.0304091,0.0387532,0.0514014,0.0299752,0.0348442,0.0446922,0.0276904,0.0308701,0.0341101,0.0222763,0.0276931,0.036476,0.0475734,0.0215322,0.0225682,0.0461015,0,0.0229837,0.0560407,0.0403762,0,0,0.0141784,0,0,0.0179532,0.0579317,0.0405606,0.0223802,0.0143861,0.0399585,0.0389697,0.037116,0.060265,0.0274482,0.0606835,0.0430511,0.0471978,0.0229098,0.034958,0.00959993,0.00592042,0.050807,0.0656359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0478695,0.0415837,0,0,0,0.0310758,0,0.0344231,0,0,0.0204935,0,0,0.0591247,0.0373253,0.0294216,0.0345465,0.0504204,0.0293088,0.0350409,0.0442562,0.0282865,0.0317514,0.0363172,0.0230831,0.0284625,0.0372194,0.0478496,0.0213232,0.0218551,0.0468067,0,0.0232389,0.0573047,0.0403012,0,0,0.0139864,0,0,0.0179633,0.0555304,0.0435308,0.0246627,0.0139799,0.0411437,0.0386582,0.0379749,0.0640107,0.0270931,0.058737,0.0422926,0.0441205,0.0180119,0.0352756,0.00987822,0.00574938,0.0508625,0.0651399,0,0,0,0,0,0,0,0,0,0.045814,0.0116004,0.0653626,0,0,0,0
2,0.0478276,0.0417712,0,0,0,0.0306671,0,0.0346437,0,0,0.0206422,0,0,0.0592614,0.0368079,0.0295634,0.0347654,0.0500185,0.0293931,0.0346648,0.0440728,0.0277358,0.0310961,0.0356974,0.0225232,0.0277798,0.0375651,0.0476834,0.0214814,0.0221048,0.0450351,0,0.0231125,0.0562415,0.0403329,0,0,0.0141528,0,0,0.018149,0.0556233,0.0432602,0.0249255,0.0141135,0.0417191,0.0389998,0.0380541,0.0645855,0.0274042,0.0591001,0.0435163,0.0439079,0.0135451,0.0350294,0.00962699,0.00589422,0.0507669,0.0652084,0,0,0,0,0,0,0,0,0,0.0449929,0.0109516,0.0661914,0,0,0,0
3,0.0477554,0.0418754,0,0,0,0.0300564,0,0.0348245,0,0,0.020826,0,0,0.0595603,0.0366504,0.0293274,0.0350787,0.0498578,0.0295025,0.0343029,0.0440327,0.0271723,0.0305788,0.0352047,0.0220264,0.0272765,0.0374124,0.0474707,0.0217317,0.0224428,0.0440424,0,0.0234134,0.0546374,0.0404699,0,0,0.0144611,0,0,0.0183983,0.0555899,0.04298,0.0250945,0.0151703,0.0425467,0.0395003,0.0380898,0.0649262,0.027703,0.0593629,0.044597,0.0438548,0.00961176,0.034681,0.0094216,0.00610976,0.0505106,0.0653653,0,0,0,0,0,0,0,0,0,0.0442321,0.00938301,0.065987,0,0,0,0
4,0.0476427,0.0418956,0,0,0,0.0293826,0,0.0351611,0,0,0.021046,0,0,0.0599782,0.0366639,0.0289975,0.0355317,0.0500225,0.0297184,0.0340024,0.0441155,0.0265004,0.030258,0.0348123,0.0217227,0.0268395,0.0371971,0.0471445,0.0221954,0.0230469,0.0440338,0,0.0237352,0.0530768,0.0406494,0,0,0.0148531,0,0,0.0185978,0.0555747,0.04198,0.0252464,0.0167157,0.0435202,0.0400639,0.0383364,0.0651596,0.0279352,0.0590039,0.0452781,0.0435864,0.0070203,0.0342478,0.00903948,0.00645369,0.0500611,0.0653612,0,0,0,0,0,0,0,0,0,0.0437001,0.00866473,0.0664281,0,0,0,0
5,0.0475186,0.0418444,0,0,0,0.0286132,0,0.0354713,0,0,0.0213023,0,0,0.0604868,0.0365047,0.0285429,0.0359623,0.050474,0.0300266,0.0340009,0.0441723,0.0257555,0.0300696,0.0345324,0.0215727,0.0264189,0.0375068,0.0466701,0.0225168,0.0238104,0.044728,0,0.0235376,0.0516043,0.0408156,0,0,0.0151776,0,0,0.0187388,0.0556259,0.0402956,0.0254035,0.0188931,0.0445285,0.0406868,0.0388375,0.0655228,0.0283315,0.0583699,0.0453606,0.0429993,0.00785018,0.0337847,0.00859097,0.00687749,0.0495854,0.0651582,0,0,0,0,0,0,0,0,0,0.0434078,0.00861849,0.0673727,0,0,0,0
6,0.0475156,0.0417009,0,0,0,0.0280833,0,0.035587,0,0,0.0215211,0,0,0.0609965,0.0359266,0.0281828,0.0363648,0.0512439,0.0305131,0.0343443,0.0440469,0.0251919,0.0299795,0.0343413,0.0213825,0.0260596,0.0379158,0.0460442,0.0226919,0.0247499,0.0457801,0,0.022555,0.0503469,0.0408259,0,0,0.0154719,0,0,0.0188727,0.0557804,0.0381605,0.0254813,0.0215329,0.0455245,0.0411936,0.039485,0.0658938,0.0288078,0.0575774,0.0448504,0.0418724,0.0112778,0.0333114,0.00820378,0.00731766,0.0495485,0.0650404,0,0,0,0,0,0,0,0,0,0.0433249,0.00883953,0.0678425,0,0,0,0
7,0.0476156,0.0415667,0,0,0,0.0275261,0,0.0360102,0,0,0.0217864,0,0,0.0615043,0.0350518,0.0276259,0.0368924,0.0521343,0.0310201,0.0350425,0.0436419,0.0246955,0.0304341,0.0345675,0.0213343,0.0255007,0.0380414,0.0453307,0.0228393,0.0257311,0.0462124,0,0.0210511,0.0490857,0.0407921,0,0,0.0161152,0,0,0.0190131,0.0560837,0.0357992,0.0255831,0.0244018,0.0466648,0.0416928,0.0395606,0.0658554,0.0293758,0.0566535,0.0438336,0.0407138,0.0150806,0.0328344,0.0079318,0.00772729,0.0495964,0.0651727,0,0,0,0,0,0,0,0,0,0.0432843,0,0.0677043,0,0,0,0
8,0.0477991,0.0414709,0,0,0,0.0279842,0,0.0355637,0,0,0.0219634,0,0,0.0619108,0.0345705,0.0283173,0.038059,0.053089,0.0322677,0.0341983,0.0436243,0.0248733,0.0300584,0.0344293,0.0212042,0.0258789,0.0387938,0.0446927,0.0225413,0.0267732,0.0455415,0,0.0192854,0.0481582,0.0406167,0,0,0.0164372,0,0,0.0190052,0.0563001,0.0332376,0.0255771,0.0274187,0.0477346,0.0420261,0.0394583,0.0658551,0.0299448,0.05536,0.0425597,0.0393769,0.0193283,0.0325871,0.00776983,0.00800241,0.0497949,0.065301,0,0,0,0,0,0,0,0,0,0.0433899,0.00944009,0.0671576,0,0,0,0
