Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,RTOE,IMUR_M
All Timesteps RMSE,0.0475556,0.0385084,0,0,0,0,0,0.0470053,0,0.0291125,0.0424584,0,0,0.0287986,0,0,0.0641126,0.0395923,0.030915,0.0263588,0.0167547,0.0434409,0.0345232,0.0329626,0.0408436,0.0385684,0.0278272,0.0359852,0.0382647,0.0280221,0.0287338,0.0317149,0.0345386,0.0176144,0.0297818,0.0486025,0,0.0213201,0.0531933,0.0415584,0,0,0.011809,0,0,0.0172214,0.0492579,0.03761,0.0342117,0.0215177,0.0461395,0.0406414,0.0418429,0.0585651,0.0342186,0.0619671,0.0447726,0.0484389,0.072424,0.0352871,0.0132778,0.00848642,0.0455527,0.0683814,0,0,0,0,0,0,0,0,0.0482634,0.0323906,0
0,0.048296,0.0390232,0,0,0,0,0,0.0382239,0,0.0357762,0.0470177,0,0,0.0283714,0,0,0.0672861,0.0312658,0.028647,0.0316255,0.0169996,0.0413709,0.0415657,0.0335542,0.0375735,0.0343656,0.0258438,0.0346069,0.0373108,0.0257049,0.0295282,0.0247502,0.0340923,0.0203381,0.0343212,0.0587039,0,0.0149342,0.0395771,0.0397356,0,0,0.0121359,0,0,0.0158992,0.0560937,0.0439291,0.0349627,0.0371534,0.0527684,0.0377273,0.0364875,0.0619374,0.0288811,0.0549995,0.0411665,0.0399509,0.0694897,0.0368488,0.0130377,0.00606621,0.0469924,0.0686644,0,0,0,0,0,0,0,0,0,0,0
1,0.0482448,0.0393024,0,0,0,0,0,0.0379769,0,0.03612,0.0475517,0,0,0.0283845,0,0,0.0672187,0.0308187,0.0295722,0.0314006,0.0175694,0.0412746,0.0411999,0.0331529,0.0381241,0.0340793,0.026308,0.0348543,0.0373706,0.0259823,0.0296173,0.0244251,0.0341473,0.0199909,0.0346079,0.0595046,0,0.0154225,0.0396614,0.0395675,0,0,0.0118679,0,0,0.0159122,0.0559622,0.0445663,0.035449,0.0362396,0.0534799,0.0377904,0.036877,0.062527,0.0291727,0.0556327,0.0417758,0.0409105,0.0700637,0.0366795,0.0131372,0.00590997,0.0473658,0.0678892,0,0,0,0,0,0,0,0,0,0,0
2,0.0481544,0.0393129,0,0,0,0,0,0.0379089,0,0.0364335,0.0479993,0,0,0.0283847,0,0,0.0673978,0.0305125,0.0302882,0.0312298,0.0179005,0.0413122,0.0409605,0.0329552,0.0380654,0.0341125,0.02638,0.0348833,0.0375571,0.0260657,0.0295527,0.0245478,0.0341336,0.0199646,0.0346735,0.0599223,0,0.0157829,0.0400385,0.0394532,0,0,0.0118104,0,0,0.0160532,0.0557807,0.0454063,0.0359951,0.0350428,0.054211,0.0377919,0.0373098,0.0631604,0.0294811,0.0564113,0.0424081,0.0417394,0.0705476,0.0367056,0.0130194,0.00619134,0.0474474,0.067598,0,0,0,0,0,0,0,0,0,0,0
3,0.0481007,0.0392716,0,0,0,0,0,0.0379609,0,0.0368103,0.0482122,0,0,0.0284675,0,0,0.0678246,0.030134,0.0306744,0.0309598,0.0180458,0.0413351,0.0410584,0.0331021,0.038638,0.034227,0.0263538,0.0349029,0.0377457,0.026017,0.0294755,0.0247905,0.0340838,0.0200565,0.0346496,0.060046,0,0.0161341,0.0405622,0.0393509,0,0,0.0118458,0,0,0.0162131,0.0555649,0.0463137,0.0365304,0.0336259,0.0549236,0.0378267,0.0377572,0.0636327,0.0298596,0.0572593,0.0429906,0.0422907,0.0709852,0.0366879,0.0129566,0.00644353,0.0473867,0.067493,0,0,0,0,0,0,0,0,0,0,0
4,0.047991,0.0392632,0,0,0,0,0,0.0383096,0,0.03679,0.0487792,0,0,0.0286305,0,0,0.067884,0.0298402,0.0309585,0.0309991,0.0180952,0.0411352,0.0412965,0.0334161,0.0372496,0.0341995,0.026289,0.0348928,0.0378254,0.0259888,0.0294928,0.0244599,0.0340694,0.0201294,0.0344859,0.0604319,0,0.0164585,0.0409719,0.0392658,0,0,0.0118732,0,0,0.0164235,0.0553621,0.0470398,0.0370454,0.0320157,0.0554895,0.037993,0.0380206,0.0641845,0.0304256,0.0582562,0.0435763,0.0427744,0.0714208,0.036621,0.0129809,0.00656123,0.0471191,0.0673271,0,0,0,0,0,0,0,0,0,0,0
5,0.0478545,0.039274,0,0,0,0,0,0.0387241,0,0.0367493,0.0494495,0,0,0.0287807,0,0,0.0675444,0.0297764,0.0313044,0.0309021,0.0182074,0.0407799,0.0414264,0.032736,0.0364957,0.0340917,0.0262115,0.0348943,0.0377725,0.0260689,0.0296004,0.0242029,0.0340244,0.0201985,0.0342893,0.0612924,0,0.0168214,0.041381,0.0391196,0,0,0.011671,0,0,0.0164678,0.0551772,0.0476295,0.037589,0.0302051,0.0559467,0.038125,0.0380399,0.0649279,0.0311117,0.0593569,0.0443105,0.0434964,0.0719665,0.0365599,0.0130055,0.0066427,0.0466446,0.0671734,0,0,0,0,0,0,0,0,0,0,0
6,0.048406,0.0391684,0,0,0,0,0,0.0384251,0,0.0364839,0.0516356,0,0,0.0303555,0,0,0.0677487,0.0273442,0.0316342,0.0317582,0.0183996,0.041255,0.0431252,0.0311516,0.0364438,0.0342341,0.0253628,0.0346112,0.0373309,0.0259491,0.0295209,0.0241869,0.0328081,0.0202326,0.0348596,0.0485601,0,0.0146471,0.0382682,0.0393605,0,0,0.0117656,0,0,0.0165555,0.0566415,0.0519833,0.0344081,0.0269267,0.0563426,0.0387331,0.0374541,0.0635744,0.0305444,0.065087,0.0487158,0.0505351,0.0785588,0.0358213,0.0125433,0.00710647,0.0453015,0.0689948,0,0,0,0,0,0,0,0,0.0526541,0.0724586,0
7,0.0483262,0.0391981,0,0,0,0,0,0.038596,0,0.0364801,0.0518,0,0,0.0305769,0,0,0.0675187,0.027221,0.0319434,0.0316545,0.0184904,0.0408882,0.0429102,0.0310935,0.0364225,0.0342552,0.0253193,0.034639,0.037293,0.0260495,0.0296105,0.0240078,0.0327613,0.0200115,0.0345235,0.0492288,0,0.014684,0.0388052,0.0393144,0,0,0.0115721,0,0,0.016588,0.0563973,0.0523555,0.0348975,0.0253561,0.0564869,0.0387905,0.0382667,0.0642611,0.0311581,0.0650527,0.0495113,0.0507954,0.0793383,0.0357131,0.0125807,0.00704006,0.0447938,0.0689052,0,0,0,0,0,0,0,0,0.0521791,0.0710205,0
8,0.0482534,0.0392479,0,0,0,0,0,0.0386596,0,0.0364695,0.0520822,0,0,0.0307051,0,0,0.0673886,0.0271379,0.0322681,0.0315032,0.0186257,0.0405806,0.0427605,0.0310069,0.0362534,0.0343268,0.0251646,0.0346543,0.0372208,0.0260451,0.0296841,0.0238138,0.0327652,0.0199122,0.034209,0.0494189,0,0.0143711,0.0393567,0.0392596,0,0,0.0114449,0,0,0.0167108,0.0561853,0.0521558,0.0353588,0.0237544,0.0566261,0.038888,0.0389932,0.0652462,0.0317274,0.0661547,0.0502122,0.0513976,0.0796432,0.0356254,0.0126138,0.00725706,0.0445925,0.0687221,0,0,0,0,0,0,0,0,0.0522964,0.0706168,0
