Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,,LHEE,RTHIA,IMUR_T,RHEE,LASI,IMUL_M,IMUR_M
All Timesteps RMSE,0.0534813,0.0303929,0,0,0,0.0378496,0,0.0376334,0,0,0.0207228,0,0,0.053837,0.0433319,0.0322673,0.0172804,0.0442208,0.0198647,0.0351899,0.037313,0.0329506,0.0314666,0.0292961,0.0326921,0.0220103,0.0255122,0.0406481,0.0533,0.0156464,0.0157501,0.0482526,0,0.0293639,0.0608678,0.0390788,0,0,0.0105193,0,0,0.0158121,0.049833,0.0339375,0.0241378,0.0436348,0.0350967,0.0433148,0.0397415,0.0349422,0.0584229,0.0420563,0.0455244,0.0689337,0.0322521,0.0393105,0.0152339,0.00549956,0.0395225,0.0713982,0,0,0,0,0,0,0,0,0,0.0471365,0.0541228,0,0.0440291,0.0505755,0,0
0,0.0539814,0.0316014,0,0,0,0.0303425,0,0.0485312,0,0,0.0195623,0,0,0.0542483,0.0505088,0.0277603,0.0149012,0.0438521,0.0189439,0.028849,0.0408601,0.0430584,0.0221391,0.0289552,0.0273906,0.021692,0.0215075,0.0745438,0.0536451,0.0132814,0.0147487,0.0715745,0,0.104947,0.0673189,0.0391259,0,0,0.00916408,0,0,0.0148469,0.0397287,0.0383343,0.025853,0.0408548,0.0366178,0.0432953,0.0884675,0.0350057,0.0545254,0.0379327,0.040366,0.0558994,0.0358756,0.0376353,0.0130715,0.00685589,0.0388993,0.0727815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0546474,0.0317276,0,0,0,0.0303192,0,0.0477887,0,0,0.0191836,0,0,0.0549355,0.050796,0.0275783,0.015762,0.0450672,0.01941,0.0297818,0.0405797,0.0423448,0.0223683,0.0289364,0.0271114,0.0218265,0.0218437,0.0740791,0.0528589,0.0137574,0.0154702,0.0722043,0,0.102013,0.0648427,0.0385245,0,0,0.00984314,0,0,0.0149476,0.0377843,0.035518,0.01917,0.0399875,0.0361275,0.048121,0.0395938,0.0372201,0.0544509,0.0382638,0.0419921,0.0577742,0.0348608,0.0380761,0.0134564,0.00659166,0.0383536,0.0738135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0545931,0.0312751,0,0,0,0.0366133,0,0.038322,0,0,0.0195989,0,0,0.05455,0.0498962,0.0281294,0.0188479,0.0464063,0.019277,0.0313758,0.0443383,0,0.0198648,0.0315983,0.0301531,0.0215229,0.0187096,0.0755087,0.052925,0.0141092,0.015854,0.0679732,0,0.104105,0.0647902,0.0389417,0,0,0.0105664,0,0,0.0148945,0.0412546,0.0327095,0.0227064,0.0413787,0.0358517,0.0440593,0.0354573,0.0360696,0.0557783,0.0412859,0.0428819,0.0592786,0.0364564,0.0382531,0.0138759,0.00612153,0.0387832,0.0745458,0,0,0,0,0,0,0,0,0,0.0550783,0.0569435,0,0,0,0,0
3,0.054476,0.0311387,0,0,0,0.0355266,0,0.0374288,0,0,0.0198133,0,0,0.0544739,0.0489423,0.0257314,0.0180295,0.0464448,0.0192691,0.0329542,0.0436925,0.0394604,0.0205119,0.0334438,0.0317652,0.0230787,0.0199161,0.075108,0.0530699,0.0141167,0.0157482,0.0675638,0,0.103039,0.0645996,0.0394319,0,0,0.0107922,0,0,0.0151412,0.0412223,0.0333787,0.0236294,0.0419773,0.0364519,0.0439129,0.0348254,0.0362131,0.0562951,0.0420466,0.043659,0.0594876,0.0357667,0.0378749,0.0136546,0.00640819,0.0394404,0.0749897,0,0,0,0,0,0,0,0,0,0.0525252,0.0558227,0,0,0,0,0
4,0.0546602,0.0310905,0,0,0,0.0339457,0,0.0369395,0,0,0.0194753,0,0,0.0546177,0.0512002,0.0318981,0.0261258,0.0474593,0.0193686,0.0341447,0.0490224,0,0.0177923,0,0.0335508,0.023317,0.0185525,0.0714088,0.0535022,0.0138716,0.0154885,0.0669119,0,0.103218,0.0678087,0.0382275,0,0,0.0106897,0,0,0.0151648,0.0427501,0.0311178,0.0245307,0.0402673,0.0350709,0.0431225,0.0352082,0.0368311,0.0558607,0.0418986,0.0435853,0.0588537,0.0344207,0.0385549,0.0141063,0.00619191,0.0400183,0.0737027,0,0,0,0,0,0,0,0,0,0.049838,0.0544281,0,0,0,0,0
5,0.0545491,0.0307956,0,0,0,0.0358935,0,0.037654,0,0,0.0196033,0,0,0.0544546,0.0534413,0.0386168,0.0616052,0.0483593,0.0196378,0.0335552,0.0531134,0,0.0179625,0.0322792,0.0299205,0.0198575,0.0160573,0.0704473,0.0534104,0.0140323,0.0159359,0.0675557,0,0.10492,0.0694304,0.0375633,0,0,0.0103912,0,0,0.0149998,0.0443955,0.0287813,0.0245825,0.0387167,0.0336115,0.0431315,0.0359331,0.0375748,0.0549167,0.041255,0.0426525,0.0580862,0.0352907,0.03956,0.0146411,0.00571286,0.0410147,0.0723724,0,0,0,0,0,0,0,0,0,0.0527867,0.0512122,0,0,0,0,0
6,0.054588,0.0309576,0,0,0,0.0358908,0,0.0357298,0,0,0.0194159,0,0,0.0546227,0.0505922,0.030215,0,0.0485015,0.0194714,0.0346369,0.0499741,0,0.0189446,0.032124,0.0317151,0.0221311,0.0189231,0.0695637,0.0532088,0.0134223,0.0155905,0.0685858,0,0.106343,0.0671029,0.0385749,0,0,0.00991587,0,0,0.0152173,0.0429003,0.0308441,0.0237008,0.0408941,0.0354519,0.0433776,0.0352229,0.0364712,0.0553586,0.0412278,0.0425617,0.0589426,0.036786,0.03819,0.0136472,0.00680744,0.041316,0.0739442,0,0,0,0,0,0,0,0,0,0.050503,0.0518257,0,0,0,0,0
7,0.0542273,0.0309266,0,0,0,0.0358622,0,0.0365377,0,0,0.0198463,0,0,0.0543374,0.0493047,0.0285848,0.0242901,0.0487908,0.0196952,0.0349395,0.0467839,0.0382843,0.0214273,0.0320212,0.0315354,0.0233956,0.020926,0.072016,0.0528637,0.0133256,0.0163409,0.0686802,0,0.106795,0.0666407,0.0392127,0,0,0.00999218,0,0,0.0153224,0.0429541,0.0310847,0.0241962,0.041414,0.0359353,0.0436495,0.0349437,0.036732,0.055859,0.0420352,0.0431645,0.0591504,0.0369865,0.0381249,0.0137089,0.00701402,0.0411686,0.0741462,0,0,0,0,0,0,0,0,0,0.0514191,0.0526381,0,0,0,0,0
8,0.054126,0.0309477,0,0,0,0.035978,0,0.0361786,0,0,0.0197438,0,0,0.054569,0.0491527,0.0265537,0.0222601,0.0491436,0.0192602,0.0356477,0.0459941,0.0367069,0.0231465,0.0328966,0.0320252,0.0241014,0.0220265,0.0714891,0.0528963,0.014233,0.0161522,0.0654282,0,0.10188,0.0679573,0.0395803,0,0,0.0108148,0,0,0.0148655,0.0434329,0.0321237,0.0233454,0.042196,0.0370172,0.043421,0.0357293,0.0362358,0.0552843,0.0418176,0.0430753,0.0597458,0.0351177,0.0378665,0.013389,0.0063535,0.0411285,0.0743947,0,0,0,0,0,0,0,0,0,0.0510517,0.0523815,0,0,0,0,0
9,0.0490179,0.032784,0,0,0,0.0483319,0,0.0256655,0,0,0.0215682,0,0,0.0533271,0.0466833,0.0292026,0.01228,0.0479481,0.0168319,0.0348694,0.0427542,0.0361885,0.0263219,0.0308014,0.0312935,0.0232698,0.0207134,0,0.0530538,0.0136985,0.0152229,0.0480093,0,0,0.0713111,0.0423816,0,0,0.0100589,0,0,0.0160883,0.0510955,0.0358651,0.0183303,0.0435207,0.0352718,0.0405453,0.0407157,0.0318115,0.051971,0.0337378,0.0418323,0.0672162,0.023165,0,0.0153836,0.00439547,0.0429602,0.0710836,0,0,0,0,0,0,0,0,0,0.0472045,0.0501299,0,0,0,0,0
10,0.0535212,0.0310769,0,0,0,0.0357062,0,0.0348129,0,0,0.0198987,0,0,0.0540113,0.0494266,0.0268811,0,0.048552,0.0179646,0.0377467,0.0514433,0.03798,0.0218549,0.0331863,0.0330784,0.0241253,0.021828,0.0665544,0.0537541,0.0137675,0.0149376,0.0450904,0,0,0.0736695,0.040014,0,0,0.0109178,0,0,0.0149379,0.0508891,0.0348625,0.0193394,0.0431629,0.0377069,0.0393396,0.0396252,0.0310483,0.0523452,0.0362376,0.0423529,0.0663318,0.0218784,0.0375751,0.0130121,0.00666394,0.040494,0.0732114,0,0,0,0,0,0,0,0,0,0.0484511,0.0487951,0,0,0,0,0
11,0.0501526,0.0327095,0,0,0,0.0363186,0,0.0355269,0,0,0.0205335,0,0,0.0542041,0.0502692,0.0280884,0.0227343,0.0505491,0.0174146,0.0381085,0.0494569,0.0381665,0.0239184,0.0317543,0.0319644,0.0241178,0.0224757,0.0682337,0.0521755,0.0137618,0.0157877,0.044637,0,0.0318221,0.0731977,0.0412251,0,0,0.0105342,0,0,0.0153945,0.0486491,0.0344424,0.0212361,0.0437697,0.034146,0.04067,0.0392403,0.0328306,0.0537027,0.0392468,0.0438856,0.0649541,0.0204626,0,0.0159124,0.00490184,0.0403557,0.0719699,0,0,0,0,0,0,0,0,0,0.0498544,0.0494882,0,0,0,0,0
12,0.0529726,0.0313245,0,0,0,0.0381769,0,0.0308813,0,0,0.0205499,0,0,0.053588,0.0490293,0.0268762,0.0201895,0.0482189,0.0179356,0.0383147,0.0472689,0.0365373,0.026367,0.0320764,0.0324363,0.0251667,0.0233727,0.0763366,0.0531784,0.0143738,0.0157863,0.0455699,0,0.0312512,0.0742527,0.0402917,0,0,0.0107698,0,0,0.0153511,0.0494112,0.0348598,0.0201702,0.0425784,0.0375387,0.041065,0.0404316,0.0328365,0.0527287,0.0368567,0.0431186,0.065532,0.0188258,0.0376849,0.0131461,0.00602115,0.0389888,0.0728954,0,0,0,0,0,0,0,0,0,0.0465915,0.0504049,0,0,0,0,0
13,0.0534425,0.0313814,0,0,0,0.0379513,0,0.0306592,0,0,0.0203922,0,0,0.0540824,0.0490083,0.0279197,0.0206663,0.0490827,0.0185711,0.0390398,0.0475251,0.0357579,0.0271016,0.0325519,0.0329623,0.0257133,0.0241247,0.0746484,0.0527612,0.0146551,0.016481,0.0471942,0,0.0267269,0.0712811,0.0399302,0,0,0.010556,0,0,0.0153694,0.0476388,0.0316254,0.0203098,0.0422492,0.0372188,0.0435608,0.0389848,0.0348269,0.0552447,0.0397575,0.0455621,0.0663602,0.0218291,0.0375779,0.0133705,0.0059697,0.0380643,0.073511,0,0,0,0,0,0,0,0,0,0.0466274,0.0512927,0,0.0423023,0,0,0
14,0.0535445,0.031257,0,0,0,0.0382675,0,0.0313159,0,0,0.0203404,0,0,0.0540106,0.0499402,0.0312734,0.0209185,0.0492028,0.0188324,0.0388274,0.0490505,0,0.0272127,0.0308269,0.0313353,0.0243568,0.0233919,0.0718497,0.0529686,0.0143343,0.0168613,0.046671,0,0.0279061,0.0723509,0.0394767,0,0,0.0104977,0,0,0.0154194,0.0485504,0.0302841,0.020591,0.041259,0.0364872,0.0436675,0.0394376,0.0349971,0.0547188,0.0396189,0.0453123,0.0661445,0.0219156,0.0379325,0.0134809,0.00582548,0.0385228,0.0729165,0,0,0,0,0,0,0,0,0,0.0480783,0.0508413,0,0.0435149,0,0,0
