Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,LTIB,,LASI,IMUR_M
All Timesteps RMSE,0.0532011,0.0334777,0,0,0,0,0,0.0443785,0,0.0314076,0,0,0.0198525,0,0,0.0571908,0.0401652,0.0307591,0.0156939,0.0458628,0.0244328,0.0338055,0.0369446,0.0338949,0.0290438,0.0346833,0.0249281,0.0270523,0.0333862,0.0498415,0.0180703,0.0197164,0.0449367,0,0.0223418,0.0561134,0.037412,0,0,0.0119958,0,0,0.016846,0.0503725,0.042878,0.0351395,0.023215,0.0477886,0.0343992,0.0421804,0.055967,0.0424172,0.0351952,0.0590548,0.041818,0.0463123,0.0701876,0.0332125,0.0372778,0.0137903,0.00647086,0.0408339,0.0692736,0,0,0,0,0,0,0,0,0.0340146,0.0326843,0,0.0479614,0
0,0.0531862,0.0323959,0,0,0,0,0,0.0439591,0,0.0336409,0,0,0.0188991,0,0,0.0574825,0.0382793,0.0327652,0.0114479,0.0357163,0.0251334,0.0292864,0.0357809,0.0333048,0.0251824,0.027554,0.0173123,0.0225336,0.0224031,0.0500508,0.0169038,0.0212107,0.042224,0,0.0201285,0.0567642,0.0365446,0,0,0.0107413,0,0,0.0162084,0.0491223,0.037224,0.0388877,0.0179995,0.0488576,0.0322292,0.0441762,0.0602786,0.0418401,0.0403422,0.0613096,0.041028,0.0471117,0.0703025,0.0257927,0.0364767,0.0136302,0.00613108,0.0409725,0.0675916,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0530979,0.0328699,0,0,0,0,0,0.0485223,0,0.0286457,0,0,0.0190126,0,0,0.0574349,0.0388306,0.030975,0.0144813,0.0360691,0.024598,0.0318917,0.0370321,0.0313377,0.025396,0.0294395,0.0191501,0.0231123,0.0173524,0.0498909,0.0163366,0.0213856,0.0424855,0,0.0202221,0.0551744,0.0367935,0,0,0.0108069,0,0,0.0161806,0.0485102,0.0373557,0.0393063,0.0182633,0.0489019,0.0330254,0.0447905,0.0596642,0.0422735,0.0396979,0.0611791,0.0407138,0.0466736,0.0702445,0.0262592,0.036192,0.0134425,0.00628171,0.0408203,0.0680787,0,0,0,0,0,0,0,0,0.0410162,0.0281437,0,0,0
2,0.0530517,0.0331097,0,0,0,0,0,0.0465922,0,0.0263244,0,0,0.0190687,0,0,0.0574991,0.0389781,0.0293854,0.0160311,0.0365232,0.0247183,0.0329334,0.0365899,0.0300153,0.0257846,0.0313449,0.0205704,0.0226299,0.0206837,0.049691,0.0161497,0.0213721,0.0429423,0,0.0203527,0.0542718,0.0369999,0,0,0.0110269,0,0,0.0161397,0.0477925,0.0371133,0.0396997,0.0187082,0.0491278,0.0336739,0.045489,0.0591592,0.0422663,0.0393142,0.0611179,0.0405174,0.046606,0.0701406,0.0264553,0.0358543,0.0133,0.00645895,0.0407911,0.0684791,0,0,0,0,0,0,0,0,0.0385836,0,0,0,0
3,0.0530877,0.0332978,0,0,0,0,0,0.0482333,0,0.0264576,0,0,0.0190476,0,0,0.057514,0.0402293,0.0293671,0.0139761,0.0372232,0.0250418,0.0316063,0.0381702,0.0320259,0.0244651,0.0298021,0.0183901,0.0206541,0.0212445,0.0495611,0.0160502,0.0213509,0.0434734,0,0.0205973,0.0552504,0.0367662,0,0,0.0111733,0,0,0.0160464,0.0475226,0.0365134,0.03927,0.0191436,0.0486438,0.0336183,0.0452402,0.0584554,0.0425407,0.0390287,0.0607321,0.0402951,0.046568,0.0697846,0.0261486,0.0359248,0.0134389,0.00620714,0.0405814,0.0683225,0,0,0,0,0,0,0,0,0.0403699,0.0283997,0,0,0
4,0.0530108,0.0333669,0,0,0,0,0,0.0466335,0,0.024137,0,0,0.0190871,0,0,0.0575717,0.0402915,0.0277458,0.0155371,0.0376045,0.0255657,0.0325435,0.0376717,0.0309979,0.0244896,0.0318496,0.0196116,0.0197387,0.0255689,0.0492313,0.0156404,0.0216105,0.0434777,0,0.0206826,0.0551562,0.036972,0,0,0.0114067,0,0,0.0158579,0.046922,0.0354016,0.0401017,0.0193899,0.0492332,0.0344748,0.0448848,0.0581452,0.0424577,0.0383937,0.0605164,0.0405193,0.0464814,0.0697955,0.0258484,0.0355078,0.0130284,0.00630692,0.0407096,0.0685997,0,0,0,0,0,0,0,0,0.0375726,0,0,0,0
5,0.0530077,0.0333025,0,0,0,0,0,0.0480761,0,0.0248223,0,0,0.019145,0,0,0.0576478,0.0414176,0.0276595,0.0133466,0.0383604,0.0259466,0.0310501,0.0390067,0.033257,0.0231333,0.0302516,0.0172871,0.0174945,0.0274762,0.0491245,0.0156291,0.0216697,0.0429225,0,0.0206351,0.0562901,0.0367373,0,0,0.0112988,0,0,0.0157821,0.0463884,0.0342466,0.0401134,0.0194821,0.049204,0.0345867,0.0441418,0.0576786,0.0425859,0.0375396,0.0600353,0.0398111,0.0459306,0.0696198,0.0256127,0.035428,0.012871,0.00637629,0.0414353,0.0684288,0,0,0,0,0,0,0,0,0.0396168,0.0270512,0,0,0
6,0.0529019,0.0331342,0,0,0,0,0,0.0478426,0,0.02412,0,0,0.0192131,0,0,0.0577987,0.0421408,0.0269884,0.0127894,0.0391749,0.0263147,0.0305815,0.0393683,0.0342996,0.0223161,0.0303578,0.0168659,0.0161555,0.0316487,0.0490261,0.0156705,0.0217206,0.0422024,0,0.0204607,0.0567705,0.0367942,0,0,0.0116312,0,0,0.0159726,0.045705,0.0333151,0.0404675,0.019429,0.0497458,0.0351018,0.0436084,0.0573574,0.0428414,0.0366439,0.0597132,0.0396429,0.0454918,0.0696068,0.0256138,0.0352528,0.0125889,0.0067533,0.0424219,0.0684817,0,0,0,0,0,0,0,0,0.0396203,0.0276309,0,0,0
7,0.0527713,0.0330669,0,0,0,0,0,0.0473495,0,0.0236284,0,0,0.0192851,0,0,0.0579683,0.0428679,0.0261951,0.0122913,0.0400087,0.0265128,0.0301931,0.0397596,0.0353552,0.0212674,0.0303056,0.0167994,0.0149998,0.0358546,0.0488808,0.0156787,0.0218188,0.0417951,0,0.0203995,0.0573069,0.0369191,0,0,0.0121136,0,0,0.0162747,0.0451736,0.0329998,0.0410556,0.0192716,0.0501872,0.0357871,0.0431333,0.0572238,0.0422601,0.03599,0.0593281,0.0391355,0.0451385,0.0694547,0.0254779,0.034976,0.0123057,0.00716531,0.0432077,0.06848,0,0,0,0,0,0,0,0,0.0396801,0.0281553,0,0,0
8,0.052263,0.0330368,0,0,0,0,0,0.0454467,0,0.0222386,0,0,0.019325,0,0,0.0576869,0.0438025,0.0250838,0.0136896,0.0405472,0.0258486,0.0313635,0.0398671,0.0353088,0.0204477,0.0326028,0.0190868,0.0150335,0.0408858,0.0492866,0.0153473,0.0210698,0.0413112,0,0.0208465,0.0595111,0.0374217,0,0,0.0120277,0,0,0.0165817,0.0442859,0.0336333,0.0445791,0.0162538,0.0511775,0.0368756,0.044868,0.0602288,0,0.0370216,0.0567133,0.0360731,0.0433661,0.0678223,0.0244309,0.0347251,0.0119832,0.00777016,0.0436083,0.0680189,0,0,0,0,0,0,0,0,0.0371896,0,0,0,0
