Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
All Timesteps RMSE,0.0465428,0.0411383,0,0,0,0,0,0,0.0444161,0,0.0307268,0.0449323,0,0,0.0241879,0,0,0.0628122,0.0413703,0.0306074,0.0286597,0.0152035,0.0492655,0.0280527,0.0319719,0.0387687,0.0398083,0.0289009,0.0337327,0.0365528,0.0255053,0.0269567,0.0334268,0.04057,0.0225695,0.0288875,0.043443,0,0.02257,0.0575882,0.0394378,0,0,0.0146522,0,0,0.0184136,0.049453,0.0451411,0.0361486,0.0219,0.0499024,0.0396675,0.0449505,0.0593433,0.0469584,0.0385651,0.0603886,0.0443021,0.0477676,0.0711277,0.0337514,0.0342188,0.0104108,0.00850021,0.0467142,0.0642204,0,0,0,0,0,0,0,0
0,0.0482024,0.0398486,0,0,0,0,0,0,0.0482733,0,0.0345924,0.0525567,0,0,0.0239759,0,0,0.060589,0.0308538,0.0306048,0.0314505,0.0173535,0.0423318,0.0244123,0.0296201,0.0310392,0.0330176,0.0278597,0.0334061,0.035077,0.0254138,0.0293537,0.0172587,0.0429481,0.0220484,0.0263711,0.0411234,0,0.0175057,0.0505191,0.0389212,0,0,0.0139945,0,0,0.0163896,0.052639,0.045291,0.0382697,0.0110666,0.0553252,0.0358303,0.043904,0.0679176,0.0515589,0.0394993,0.0647406,0.0458492,0.0512321,0.0761409,0.0368229,0.0366854,0.0117395,0.00638913,0.044762,0.0652255,0,0,0,0,0,0,0,0
1,0.0481218,0.0399332,0,0,0,0,0,0,0.0488079,0,0.0349674,0.0521195,0,0,0.0237465,0,0,0.0606375,0.0312067,0.0310029,0.0313576,0.0182091,0.0421081,0.0246681,0.0300004,0.0306211,0.0326322,0.0281489,0.0337331,0.0351554,0.0256741,0.0293896,0.0171504,0.0428959,0.0217706,0.0266171,0.0423513,0,0.0187353,0.0507908,0.0387214,0,0,0.0137819,0,0,0.0162457,0.052476,0.0445952,0.0382007,0.0119804,0.0547406,0.0355906,0.0449655,0.066856,0.0525006,0.0405857,0.0646885,0.0458662,0.0515343,0.0757446,0.030922,0.0368453,0.0119031,0.00625597,0.0447797,0.0650807,0,0,0,0,0,0,0,0
2,0.0482017,0.0398699,0,0,0,0,0,0,0.049594,0,0.0353017,0.051666,0,0,0.0236605,0,0,0.0606699,0.0318534,0.0313033,0.0311203,0.0188859,0.0419571,0.0247966,0.0303816,0.0298859,0.0324456,0.0287276,0.0341272,0.0353829,0.0260206,0.0295906,0.01705,0.0429629,0.0217106,0.0267133,0.0438318,0,0.0199348,0.0514334,0.0385391,0,0,0.0135456,0,0,0.0162239,0.0521616,0.044246,0.0377555,0.0138352,0.0542498,0.0352761,0.0462077,0.0650985,0.0540555,0.0418161,0.0647011,0.0461167,0.0517438,0.0755846,0.0264679,0.0369423,0.012005,0.00616833,0.0447369,0.0649793,0,0,0,0,0,0,0,0
3,0.0483059,0.039747,0,0,0,0,0,0,0.0502135,0,0.0355188,0.0512804,0,0,0.0235735,0,0,0.0607367,0.0324636,0.0312693,0.0308092,0.0195213,0.0418337,0.0249641,0.0307302,0.0293681,0.0323829,0.0292918,0.034442,0.0356451,0.0263247,0.0298223,0.0171585,0.0429845,0.0216419,0.0268086,0.0451715,0,0.0210696,0.0521243,0.0383254,0,0,0.0133129,0,0,0.0162289,0.0518935,0.0439333,0.0376923,0.0161816,0.0537856,0.0349686,0.0469106,0.0632245,0.054502,0.0434415,0.0646297,0.0462953,0.0518946,0.0755825,0.0236918,0.0369959,0.0121635,0.00604886,0.0447282,0.0648882,0,0,0,0,0,0,0,0
4,0.0479666,0.0396296,0,0,0,0,0,0,0.051006,0,0.0358027,0.0504699,0,0,0.0232321,0,0,0.0602527,0.033876,0.0313855,0.0301528,0.0199891,0.0409654,0.0243662,0.0315138,0.0291105,0.0324048,0.0300724,0.0348004,0.0358748,0.0267757,0.0301736,0.017408,0.0436315,0.0210639,0.0260961,0.0457677,0,0.0235123,0.0550744,0.038169,0,0,0.012848,0,0,0.0161788,0.0512432,0.045494,0.040834,0.0197123,0.0534276,0.0344632,0.0503106,0.064633,0,0.0477237,0.0608865,0.0427465,0.0492275,0.0735292,0.0203464,0.0373485,0.0125821,0.00575119,0.0450583,0.0636457,0,0,0,0,0,0,0,0
5,0.0480768,0.0395463,0,0,0,0,0,0,0.0516188,0,0.0359595,0.0502547,0,0,0.0231801,0,0,0.060408,0.0343543,0.0314855,0.0300359,0.0204489,0.0408624,0.024677,0.031672,0.0285758,0.0324116,0.0306234,0.0351517,0.0360924,0.0271522,0.030439,0.017496,0.043529,0.0211486,0.0263447,0.0457087,0,0.0246106,0.0556917,0.0379158,0,0,0.0127343,0,0,0.0161451,0.0515187,0.046405,0.0412276,0.022636,0.0529907,0.0343338,0.0508332,0.0623543,0,0.0492028,0.0603106,0.042701,0.0490757,0.0735979,0.0198385,0.0374272,0.0126125,0.00563801,0.0449639,0.0636071,0,0,0,0,0,0,0,0
6,0.0486224,0.0394934,0,0,0,0,0,0,0.0522089,0,0.0360684,0.0502037,0,0,0.0233903,0,0,0.0611098,0.0343914,0.0315683,0.0301665,0.02097,0.041469,0.0258444,0.0315848,0.0275754,0.0324339,0.0311305,0.0355332,0.036288,0.0274701,0.0306421,0.0175227,0.0427701,0.021786,0.0275544,0.0471476,0,0.0245468,0.0544178,0.0375409,0,0,0.0127918,0,0,0.0160742,0.0520161,0.0458879,0.0382298,0.0227528,0.0523975,0.0344428,0.0487964,0.0577489,0.0532931,0.0482995,0.063298,0.045901,0.0514041,0.0756185,0.0219101,0.0372175,0.0124427,0.00565371,0.0445479,0.0645542,0,0,0,0,0,0,0,0
7,0.0483574,0.0398414,0,0,0,0,0,0,0.0490153,0,0.0339881,0.049554,0,0,0.0234835,0,0,0.0615336,0.0347598,0.0304002,0.029699,0.0219621,0.0404884,0.0261744,0.0317677,0.0257359,0.032659,0.0325074,0.0372609,0.0374913,0.0295467,0.0326343,0.0175529,0.0423519,0.0217702,0.0279919,0.0494777,0,0.0244923,0.0548559,0.0376934,0,0,0.0119125,0,0,0.0169592,0.0517569,0.0468432,0.0384003,0.0236815,0.0514184,0.0346716,0.0478694,0.0557658,0.0498082,0.0487025,0.0654806,0.0484057,0.0527702,0.0760666,0.0233384,0.0369947,0.0119775,0.00552859,0.0448755,0.0643379,0,0,0,0,0,0,0,0
8,0.0482599,0.0400074,0,0,0,0,0,0,0.0494019,0,0.0340346,0.0492616,0,0,0.023483,0,0,0.0616997,0.0353105,0.0305929,0.0295774,0.0222304,0.0399858,0.0262478,0.0317985,0.0254919,0.0326235,0.0328842,0.0375982,0.037777,0.0297664,0.0328054,0.0176039,0.0421414,0.0216952,0.0281468,0.0518007,0,0.0251267,0.055007,0.0376698,0,0,0.0114594,0,0,0.0174164,0.0516286,0.0481717,0.0387124,0.0244046,0.0509286,0.0346102,0.047441,0.054717,0.048909,0.049129,0.0670057,0.0497955,0.0533397,0.0763342,0.0250427,0.0367334,0.011815,0.00547508,0.0449416,0.0641703,0,0,0,0,0,0,0,0
