Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,IMUR_M,
All Timesteps RMSE,0.0373259,0.0442358,0,0,0,0,0.034289,0,0.0300182,0.0491576,0,0,0.031174,0,0,0.0564671,0.0264447,0.0205189,0.0244332,0.0623314,0.0192421,0.0305787,0.0231068,0.104391,0.0376787,0.0442068,0.0474259,0.0345031,0.0328423,0.0372378,0.04157,0.0162703,0.0223385,0.0519813,0,0.0230008,0.0408219,0.0593342,0,0,0.00790854,0,0,0.0211085,0.0588453,0.042338,0.043268,0.0273334,0.0732238,0.0434976,0.0443831,0.0601598,0.044966,0.0395368,0.0644632,0.0458407,0.0490912,0.0722996,0.0353696,0.0466791,0.0156422,0.00847356,0.0473273,0.0772598,0,0,0,0,0,0,0,0,0,0,0
0,0.0342648,0.0469573,0,0,0,0,0.0507433,0,0.0281575,0.0565191,0,0,0.0297117,0,0,0.0555551,0.028052,0.0196308,0.0308896,0.0639861,0.0170142,0.0376993,0.028924,0.0263975,0.034239,0.0465234,0.0465163,0.0393032,0.037448,0.0167422,0.044958,0.0134158,0.0222644,0.0491694,0,0.034974,0.0541703,0.0559358,0,0,0.00827344,0,0,0.020631,0.0660086,0.0423142,0.0340322,0.0275315,0.0634379,0.0399767,0.0447748,0.0474615,0.0432199,0.0436452,0.0597401,0.0422132,0.0469737,0.0675714,0.0264956,0.047728,0.0178215,0.00763559,0.0527767,0.0710146,0,0,0,0,0,0,0,0,0,0,0
1,0.0341551,0.0470868,0,0,0,0,0.0508613,0,0.0247228,0.0554186,0,0,0.0296994,0,0,0.0554267,0.0284933,0.0199487,0.0297291,0.0635555,0.0171423,0.0377881,0.0285411,0.0261722,0.0348376,0.0473587,0.0475564,0.037552,0.0358424,0.0248807,0.0448324,0.0132286,0.0219444,0.0487596,0,0.0348094,0.0541961,0.0559716,0,0,0.00805816,0,0,0.0205025,0.0661819,0.0423318,0.0345963,0.0272054,0.0633343,0.039824,0.0447799,0.0473229,0.0429114,0.043288,0.0601423,0.0423249,0.0470724,0.0677655,0.0264195,0.047818,0.0180579,0.00775453,0.0527548,0.0711063,0,0,0,0,0,0,0,0,0,0,0
2,0.0305791,0.0507937,0,0,0,0,0.0442912,0,0.0278337,0.0528406,0,0,0.031168,0,0,0.0563125,0.0297843,0.0230156,0.0280038,0.0643492,0.0175453,0.0355236,0.0276039,0,0.0369005,0.0476826,0.0482183,0.0390549,0.0388435,0.0247119,0.0426696,0.013224,0.0225206,0.0452194,0,0.0312719,0.0534446,0.0578301,0,0,0.0135416,0,0,0.0239647,0.065345,0.0411635,0.0349573,0.0276216,0.0637871,0.0376935,0.0442968,0.046448,0.0423813,0.0422758,0.0615388,0.0448187,0.0486945,0.0684578,0.0234785,0,0.019572,0.00968845,0.0556815,0.0705436,0,0,0,0,0,0,0,0,0,0,0
3,0.0340343,0.048183,0,0,0,0,0.043097,0,0.0285336,0.0524027,0,0,0.0298634,0,0,0.0554142,0.0298929,0.0243835,0.0258288,0.0611515,0.0161004,0.0348503,0.0267434,0,0.0385466,0.0485283,0.049913,0.0397627,0.0396055,0.0273706,0.0450976,0.0118996,0.0199084,0.0557476,0,0.0335107,0.0568499,0.0554989,0,0,0.0070434,0,0,0.0221693,0.0662246,0.0375905,0.0369638,0.0267778,0.0623636,0.0392845,0.0442203,0.0473394,0,0.0417981,0.0575594,0.0418311,0.0444494,0.0647024,0,0.0487001,0.0178543,0.0093276,0.0540098,0.0706131,0,0,0,0,0,0,0,0,0,0,0
4,0.0345179,0.0479293,0,0,0,0,0.0419072,0,0.0289376,0.0524516,0,0,0.0296988,0,0,0.0561984,0.0291613,0.0251668,0.0275822,0.0613722,0.0166838,0.0338152,0.02704,0,0.0388754,0.0484105,0.0502569,0.039843,0.039598,0.0295039,0.0441087,0.013035,0.0200837,0.056998,0,0.0332336,0.0548284,0.0552358,0,0,0.00709934,0,0,0.021867,0.0665197,0.036402,0.0346396,0.0268805,0.0614336,0.039559,0.0427412,0.0452565,0.0416802,0.040923,0.0602491,0.0441059,0.046379,0.0665694,0,0.0483318,0.0175642,0.00923356,0.0538154,0.0711087,0,0,0,0,0,0,0,0,0,0,0
5,0.0346748,0.0482435,0,0,0,0,0.0417355,0,0.0281337,0.0537083,0,0,0.0290402,0,0,0.0568767,0.0277738,0.0246079,0.0305011,0.0618503,0.0165907,0.0324812,0.0282885,0.027983,0.0381133,0.0474903,0.0496526,0.0387781,0.0385709,0.0308361,0.0440403,0.0133368,0.0200935,0.0478476,0,0.0310925,0.0544067,0.054893,0,0,0.0069805,0,0,0.0218981,0.0672764,0.0407616,0.0335496,0.0275608,0.0610553,0.0397538,0.0433797,0.0459287,0.0420433,0.0426037,0.0616549,0.0452165,0.0485953,0.0680664,0.0237642,0.0480878,0.0174115,0.00911241,0.0541373,0.0710549,0,0,0,0,0,0,0,0,0,0,0
6,0.0347344,0.0481845,0,0,0,0,0.039987,0,0.0285143,0.0546128,0,0,0.0288587,0,0,0.0571709,0.0271988,0.023486,0.032162,0.0623091,0.0167938,0.0323294,0.0291991,0.0257805,0.0370418,0.0466211,0.04889,0.0378813,0.0376409,0.0306736,0.0443018,0.0133269,0.0213727,0.0478541,0,0.0307121,0.0546327,0.0545817,0,0,0.00710169,0,0,0.021918,0.067675,0.040939,0.0329357,0.0273282,0.060651,0.0395586,0.0434383,0.0460235,0.0422614,0.0429769,0.0613072,0.0448424,0.0482671,0.0675397,0.0232899,0.0479176,0.0175342,0.00886866,0.0541299,0.0709562,0,0,0,0,0,0,0,0,0,0,0
7,0.0348182,0.0480504,0,0,0,0,0.0383532,0,0.0294128,0.0553095,0,0,0.0287616,0,0,0.0573639,0.0267124,0.0222938,0.0332444,0.0625603,0.0169753,0.0338218,0.0301621,0.0260178,0.0356757,0.0458586,0.0480189,0.037245,0.0368981,0.03013,0.0443594,0.0131371,0.0225485,0.0482413,0,0.0299645,0.0546916,0.0544047,0,0,0.00735607,0,0,0.0219383,0.0677113,0.0408837,0.0325922,0.0269959,0.060374,0.0393548,0.0432029,0.0462325,0.0418241,0.0429851,0.0612655,0.0443543,0.0478603,0.066947,0.0232121,0.0478426,0.0175715,0.00865558,0.05408,0.0709103,0,0,0,0,0,0,0,0,0,0,0
8,0.0351347,0.0478458,0,0,0,0,0.0360464,0,0.0309023,0.0546109,0,0,0.0289269,0,0,0.0575031,0.0264592,0.0198898,0.0331591,0.0628935,0.0176059,0.0368664,0.0304856,0.0449172,0.0351057,0.0465896,0.0484025,0.0379985,0.037449,0.0302757,0.0440362,0.013771,0.0232303,0.048413,0,0.0288937,0.0545012,0.0546023,0,0,0.00744525,0,0,0.0216484,0.0673306,0.0407625,0.0329496,0.0264831,0.0609895,0.0395716,0.0425363,0.0466824,0.0413914,0.0424552,0.0611545,0.0440647,0.0475643,0.0664502,0.0229719,0.047459,0.0174262,0.00855028,0.0538478,0.0717001,0,0,0,0,0,0,0,0,0,0,0
