Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M,IMUL_M
All Timesteps RMSE,0.0486402,0.0391662,0,0,0,0,0.0409963,0,0.0309568,0.0427595,0,0,0.0215331,0,0,0.05989,0.0377769,0.0268699,0.0245849,0.0187762,0.0483242,0.0295145,0.030705,0.0359343,0.037471,0.0290143,0.0357605,0.0389146,0.0266601,0.0273018,0.029814,0.044054,0.01825,0.0246154,0.0508266,0,0.0222078,0.0518007,0.04103,0,0,0.0140595,0,0,0.0180977,0.0504821,0.0407556,0.0317915,0.0250311,0.0512068,0.0411621,0.0402917,0.0626562,0.0489841,0.0338055,0.0615871,0.0429367,0.0470499,0.0716679,0.036377,0.0336612,0.0108645,0.00904394,0.0457756,0.0673841,0,0,0,0,0,0,0,0,0,0
0,0.0478569,0.0395821,0,0,0,0,0.0471477,0,0.0305236,0.0438551,0,0,0.0235221,0,0,0.0568359,0.0439714,0.0323884,0.0243064,0.0160169,0.0491394,0.0191343,0.0386998,0.0407654,0.0397638,0.0361296,0.0417859,0.0430547,0.0333941,0.0339277,0.0235933,0.0465035,0.0180673,0.0212116,0.0459236,0,0.0313135,0.0599343,0.0416378,0,0,0.0149131,0,0,0.0172467,0.0493984,0.038276,0.0266343,0.0202058,0.0461348,0.0432126,0.0401696,0.0570037,0.0450378,0.0348399,0.0587521,0.0391631,0.0453162,0.0669804,0.0223703,0.0325979,0.0093104,0.00888496,0.0455461,0.0661717,0,0,0,0,0,0,0,0,0,0
1,0.0477089,0.0397633,0,0,0,0,0.0473826,0,0.0314921,0.0449865,0,0,0.0231532,0,0,0.0567992,0.043378,0.0338502,0.0270817,0.0165418,0.0490089,0.019214,0.0363445,0.0392449,0,0.036002,0.0407147,0.0420959,0.0327813,0.0334198,0.0230182,0.046952,0.0178995,0.0210577,0.0451819,0,0.0312708,0.0603193,0.0411117,0,0,0.014537,0,0,0.0170409,0.0497234,0.0389932,0.0258745,0.019805,0.0449162,0.0423475,0.0407932,0.0571206,0.0452633,0.03476,0.0583743,0.0391921,0.0452477,0.0668073,0.0216436,0.033187,0.00965763,0.00829321,0.0457095,0.0651451,0,0,0,0,0,0,0,0,0,0
2,0.0472782,0.0399615,0,0,0,0,0.048006,0,0.0295991,0.0455296,0,0,0.0231237,0,0,0.0564359,0.0426715,0.0344636,0.0266506,0,0.0482753,0.018963,0.04051,0.0377067,0,0.0360444,0.0407902,0.0426446,0.031055,0.0311799,0.0277536,0.0473729,0.0173613,0.0204831,0.0455054,0,0.0321875,0.0628249,0.0414039,0,0,0.0143723,0,0,0.0170324,0.050359,0.04119,0.0278966,0.0191729,0.0449735,0.0425313,0.0420518,0.0596897,0,0.0360687,0.055714,0.0368062,0.0431086,0.0646604,0.021544,0.033325,0.00962094,0.00827904,0.0464274,0.0646058,0,0,0,0,0,0,0,0,0,0
3,0.0477681,0.0403916,0,0,0,0,0.0463257,0,0.0314503,0.044703,0,0,0.0227903,0,0,0.0573089,0.0411898,0.0337453,0.0270425,0.0177894,0.0480796,0.0189515,0.040398,0.036598,0.0429698,0.0359738,0.0424836,0.0440867,0.033923,0.0345231,0.0245554,0.0469238,0.0171257,0.0208157,0.0439573,0,0.0291293,0.0584924,0.0414394,0,0,0.0148713,0,0,0.0175309,0.0514313,0.0385809,0.0255141,0.0208089,0.0447104,0.0434399,0.0405772,0.0564574,0.0443196,0.0352179,0.0599744,0.0416801,0.0467022,0.0675874,0.0205757,0.0326866,0.00887393,0.00884502,0.0468702,0.0653264,0,0,0,0,0,0,0,0,0,0
4,0.0477845,0.0407741,0,0,0,0,0.0473199,0,0.031079,0.0450903,0,0,0.0226399,0,0,0.0577573,0.0411231,0.0348204,0.0277102,0.0165592,0.0479664,0.0188782,0.0398099,0.0364784,0.0438103,0.0366268,0.0430527,0.0448122,0.0342428,0.0352451,0.0267573,0.0469063,0.0170706,0.0209539,0.0439556,0,0.028932,0.0584638,0.0412747,0,0,0.015049,0,0,0.017575,0.0518558,0.0390735,0.0251393,0.0205685,0.0442849,0.0436928,0.0404402,0.0565794,0.0442446,0.0350727,0.0599169,0.0418124,0.0466944,0.0676432,0.0207814,0.0327179,0.00862744,0.00895674,0.0473901,0.0652266,0,0,0,0,0,0,0,0,0,0
5,0.0480483,0.0412113,0,0,0,0,0.0466193,0,0.0298543,0.0461131,0,0,0.0220939,0,0,0.058435,0.0417373,0.0366303,0.0294838,0,0.0486253,0.0190562,0.0380993,0.0364372,0,0.0377799,0.0427217,0.0443461,0.034109,0.0355692,0.0308979,0.0467458,0.0170586,0.0213063,0.0441207,0,0.028789,0.0599792,0.0403793,0,0,0.014796,0,0,0.0175218,0.0516708,0.040247,0.0239842,0.0198768,0.0434182,0.043175,0.039906,0.0571336,0.0445976,0.0342738,0.0594289,0.0409641,0.0460534,0.0670778,0.0209544,0.0329686,0.00849604,0.00861904,0.0479237,0.0648396,0,0,0,0,0,0,0,0,0,0
6,0.047575,0.0418105,0,0,0,0,0.0465032,0,0.0295668,0.0452604,0,0,0.0223116,0,0,0.0588181,0.04087,0.0346504,0.0281126,0,0.0480498,0.019222,0.0370528,0.0357986,0.0420521,0.03685,0.0430349,0.0449058,0.0341384,0.0348552,0.0302248,0.046203,0.0173019,0.0218491,0.0443277,0,0.0283025,0.0593623,0.0412107,0,0,0.0151169,0,0,0.0178089,0.0526215,0.0400899,0.0241686,0.0198852,0.0437702,0.0443493,0.0398747,0.0569406,0.0445001,0.0343736,0.0599605,0.0409654,0.0462757,0.06717,0.0203815,0.0326276,0.00797703,0.00934243,0.048589,0.0652312,0,0,0,0,0,0,0,0,0,0
7,0.0474225,0.0418586,0,0,0,0,0.0445134,0,0.0297462,0.0452816,0,0,0.0224951,0,0,0.058842,0.0402891,0.0325001,0.0281079,0,0.048786,0.0195871,0.0369995,0.0358188,0.0399072,0.0356226,0.0421813,0.0439034,0.0333572,0.0337783,0.028642,0.0460398,0.0176221,0.0218391,0.044618,0,0.0275991,0.0595298,0.0411971,0,0,0.0152437,0,0,0.0175325,0.053069,0.0402077,0.0237384,0.0195061,0.0441787,0.0443256,0.0396241,0.0575854,0.0448863,0.0341291,0.0598825,0.0407363,0.0460742,0.0667473,0.0197709,0.0326386,0.0081108,0.00911678,0.0487165,0.0652863,0,0,0,0,0,0,0,0,0,0
8,0.0476851,0.0407675,0,0,0,0,0.0449183,0,0.0309417,0.0453856,0,0,0.0232622,0,0,0.0576457,0.0396825,0.0303963,0.0280874,0.0208781,0.0506538,0.020194,0.0384505,0.0367538,0.0372518,0.0336449,0.0408369,0.0423732,0.031396,0.0316161,0.0253259,0.0464935,0.0183933,0.0213237,0.0466376,0,0.0291402,0.0593313,0.0408599,0,0,0.0156798,0,0,0.0168123,0.0534673,0.0406223,0.0235672,0.0177747,0.0457255,0.0437591,0.0398654,0.0596159,0.0458925,0.0338279,0.0587424,0.0389713,0.0446622,0.0660063,0.0204446,0.0328539,0.00865895,0.00839468,0.047755,0.0654502,0,0,0,0,0,0,0,0,0,0
