Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,IMUR_M,LTHII,
All Timesteps RMSE,0.0480294,0.0414269,0,0,0,0,0.0381956,0,0.0307882,0.0454362,0,0,0.0245657,0,0,0.0619205,0.0380991,0.0290984,0.0282072,0.0173148,0.0481739,0.0293085,0.031106,0.036973,0.0284733,0.0350283,0.0367054,0.0270083,0.0278679,0.0354108,0.0407639,0.0219047,0.0283813,0.0448836,0,0.0217827,0.053449,0.0393958,0,0,0.0138103,0,0,0.0181341,0.0503518,0.0420029,0.0321973,0.0222274,0.049593,0.0370179,0.0419511,0.0625189,0.0491395,0.0353488,0.0610509,0.0429024,0.0472561,0.072019,0.038658,0.0368418,0.0126272,0.00725742,0.0485958,0.0656078,0,0,0,0,0,0,0,0,0,0,0.0432444,0
0,0.0511401,0.0439935,0,0,0,0,0.0495808,0,0.0293003,0.0452219,0,0,0.0245583,0,0,0.0613771,0.0448556,0.0376539,0.0300975,0.0238526,0.0503946,0.0264014,0.044294,0.0413233,0.0379245,0.0403735,0.0413245,0.0324719,0.0327543,0.0364204,0.0426007,0.0227828,0.0294673,0.0538747,0,0.0295789,0.0640296,0.0352271,0,0,0.0123753,0,0,0.0170461,0.0543812,0.045123,0.0257155,0.0210777,0.039894,0.0340035,0.0403528,0.0533197,0.0437911,0.0342144,0.0630458,0.0470575,0.050176,0.0702334,0.0313459,0.0386574,0.0135258,0.00521577,0.0517369,0.0664185,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0508444,0.0442291,0,0,0,0,0.0455031,0,0.0332242,0.0452753,0,0,0.0242406,0,0,0.0614408,0.0446849,0.035423,0.0305051,0.0239939,0.0499662,0.0268601,0.0449118,0.0420102,0.0373784,0.0399463,0.0400803,0.0339243,0.0344196,0.032707,0.042565,0.022987,0.0289967,0.0534679,0,0.0292835,0.0642562,0.0353116,0,0,0.0125095,0,0,0.0169824,0.05442,0.0453708,0.0256851,0.0211678,0.0389468,0.0335468,0.0403457,0.0536782,0.0441605,0.0338797,0.0619033,0.0469604,0.0497773,0.0701589,0.0308374,0.0386831,0.0136657,0.00508631,0.0518059,0.0659572,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0507444,0.044366,0,0,0,0,0.0434595,0,0.0332888,0.0452344,0,0,0.0239791,0,0,0.0615691,0.0440915,0.0329335,0.0309016,0.0229345,0.049885,0.0272587,0.0452377,0.0421536,0.0369259,0.0395182,0.0396004,0.0337253,0.03416,0.0321164,0.0426241,0.0228094,0.0294669,0.0538805,0,0.0289686,0.0642532,0.035322,0,0,0.0127696,0,0,0.016875,0.0545699,0.0452882,0.0255813,0.020761,0.0388456,0.0334462,0.0402111,0.054017,0.0443799,0.033413,0.0617083,0.0468245,0.049301,0.0697865,0.0310839,0.0387341,0.0136984,0.0048769,0.0519291,0.0657883,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0507015,0.0445029,0,0,0,0,0.0407294,0,0.0327998,0.0454913,0,0,0.0237869,0,0,0.0617076,0.043232,0.0305074,0.0313469,0.0214809,0.0501112,0.0276846,0.0453314,0.0418633,0.0361414,0.0391317,0.0394672,0.0329115,0.033468,0.0308985,0.0427196,0.0226983,0.0298677,0.0546448,0,0.0286311,0.064111,0.0352915,0,0,0.0129438,0,0,0.0167639,0.0547313,0.0449155,0.0255102,0.0201596,0.0389288,0.0335038,0.0400707,0.054458,0.0445064,0.0331588,0.0620511,0.0464662,0.0488828,0.0692302,0.0313005,0.0388082,0.0136892,0.00465514,0.052121,0.0657162,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0506888,0.0446089,0,0,0,0,0.0374685,0,0.0324023,0.0458326,0,0,0.0236258,0,0,0.0618747,0.0423337,0.0289035,0.0315913,0.0201463,0.0502256,0.0281982,0.0442989,0.0412054,0.0351737,0.0387034,0.0395135,0.0316332,0.032485,0.0304521,0.042641,0.0228666,0.0298034,0.0553356,0,0.0281691,0.063893,0.0352227,0,0,0.0131159,0,0,0.0166685,0.054891,0.0445572,0.0253873,0.0194868,0.0387666,0.03354,0.0399229,0.0549477,0.0446248,0.0329323,0.0620841,0.0462207,0.0485587,0.0687821,0.0315221,0.038885,0.0136899,0.00443077,0.0523337,0.0657471,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0506799,0.0447437,0,0,0,0,0.035091,0,0.0325721,0.0460891,0,0,0.0235099,0,0,0.0620531,0.0415393,0.0282021,0.0317685,0.0191664,0.0503516,0.028837,0.0423968,0.0403721,0.0345138,0.0379219,0.0395508,0.030218,0.0316016,0.0316833,0.0424614,0.0231917,0.0296107,0.0555362,0,0.0275475,0.0635266,0.0351983,0,0,0.0133826,0,0,0.0165823,0.0549908,0.0443383,0.0252933,0.0187559,0.0385642,0.033693,0.0396885,0.0554504,0.0447376,0.0325605,0.0618552,0.0460406,0.048228,0.0682828,0.031622,0.0389188,0.0136756,0.00424618,0.0525681,0.0657926,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0506928,0.0449135,0,0,0,0,0.033341,0,0.03331,0.0461899,0,0,0.0233977,0,0,0.0622905,0.0407838,0.0283099,0.0320169,0.0193505,0.0505273,0.0294272,0.0402237,0.0395662,0.0342679,0.0370474,0.0391169,0.0290367,0.0311733,0.033898,0.0423621,0.0232817,0.0298912,0.0552062,0,0.026902,0.0631464,0.0351852,0,0,0.0135912,0,0,0.0164992,0.0551567,0.0442442,0.0251456,0.0180128,0.0385579,0.033902,0.0393774,0.0559608,0.0448903,0.0321426,0.0616849,0.0457699,0.0479703,0.0675342,0.0312481,0.038926,0.0136487,0.00412826,0.0528262,0.0658712,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0507213,0.0451327,0,0,0,0,0.031991,0,0.0340555,0.0464072,0,0,0.0232761,0,0,0.0624154,0.0398697,0.0288955,0.0324188,0.0195161,0.0506337,0.0299453,0.0383834,0.0387891,0.0342171,0.0366861,0.0389765,0.0284452,0.0313319,0.035438,0.0423381,0.0231165,0.0304457,0.0550556,0,0.0264597,0.0626692,0.0351736,0,0,0.0136654,0,0,0.0164201,0.0555078,0.0442833,0.0249158,0.0172779,0.0387148,0.0340499,0.0390978,0.0565276,0.045131,0.0317577,0.061497,0.0454585,0.0478408,0.0675298,0.0302041,0.0389853,0.0136577,0.00404074,0.0530923,0.0659794,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0507489,0.0453183,0,0,0,0,0.0312886,0,0.0343224,0.0469187,0,0,0.0232415,0,0,0.0624821,0.0386193,0.0294884,0.0324526,0.0194327,0.0506213,0.0305195,0.0378276,0.0380211,0.0339333,0.0364174,0.0390228,0.0281165,0.0316507,0.0356597,0.042275,0.0230168,0.0305374,0.0548474,0,0.0260485,0.061684,0.0350587,0,0,0.0136299,0,0,0.0164066,0.055987,0.0443633,0.024642,0.0166258,0.0389586,0.0341309,0.0388835,0.0571963,0.0454388,0.0312663,0.0612774,0.0452906,0.0476045,0.0671743,0.028773,0.0391094,0.0137464,0.00398417,0.0532906,0.0661422,0,0,0,0,0,0,0,0,0,0,0,0
