Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,L5FT,LKNE,LTIBA,LTHI,LASI,LHEE,RTHII,IMUL_M,IMUR_M
All Timesteps RMSE,0.0523132,0.039233,0,0,0,0,0.0336333,0,0,0.0204147,0,0,0.0603324,0.0389726,0.031036,0.051874,0.0357698,0.0430322,0.0399314,0.0263023,0.0335412,0.0256103,0.027511,0.0305122,0.0448289,0.017065,0.0250937,0.059003,0,0.0272231,0.0518386,0.0346968,0,0,0.0144386,0,0,0.0165098,0.0537627,0.0478207,0.0340899,0.0244349,0.0525237,0.0350532,0.0429727,0.0607509,0.0358602,0.0600106,0.0459299,0.0469203,0.0717162,0.0919227,0.033495,0.0109672,0.00658773,0.0464185,0.0653305,0,0,0,0,0,0,0,0,0,0.0407236,0.0191101,0.0359325,0.0326817,0.0446635,0.0311075,0.0511176,0,0
0,0.0542836,0.0408901,0,0,0,0,0.0303247,0,0,0.0198316,0,0,0.0605568,0.0605845,0.0343219,0.0586616,0.0357443,0.0165113,0.0606074,0.0173678,0.0316854,0.0157318,0.00917105,0.0375864,0.0458274,0.0149463,0.0230789,0.160127,0,0.0840114,0.06053,0.0315803,0,0,0.0136962,0,0,0.0130949,0.0770193,0.132445,0.0473011,0.0395181,0.0543077,0.0329826,0.0503457,0.0652664,0.0297928,0.0407515,0.0584762,0.0298646,0.0744412,0.403211,0.0380041,0.014063,0.00435774,0.0524631,0.0612781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0547185,0.0409953,0,0,0,0,0.0338091,0,0,0.019894,0,0,0.0597366,0.0632483,0.038661,0.0591727,0.0352472,0.0157469,0,0.0181418,0.0343732,0.0176193,0.0112937,0.037734,0.0462169,0.0159709,0.0233422,0.159291,0,0.080495,0.0635821,0.0307914,0,0,0.0133218,0,0,0.0135924,0.0785082,0.127138,0.0463742,0.0379001,0.0524997,0.0310469,0.0491673,0.065255,0.0294146,0.0392676,0.0568543,0.0282001,0.0741179,0.390777,0.03977,0.015444,0.00385725,0.05362,0.0602021,0,0,0,0,0,0,0,0,0,0.0378683,0,0,0,0,0,0,0,0
2,0.0545152,0.040553,0,0,0,0,0.0349206,0,0,0.0204735,0,0,0.0595595,0.0626017,0.0378937,0.0587384,0.0362043,0.0200129,0,0.0202147,0.0299346,0.0151342,0.00959229,0.0387996,0.0457714,0.0162497,0.0240986,0.158446,0,0.0790968,0.0632141,0.0309834,0,0,0.013015,0,0,0.013761,0.0770962,0.127375,0.0478308,0.0379602,0.0524396,0.0313582,0.0486703,0.06467,0.0295519,0.039557,0.0570365,0.0269877,0.0735279,0.375084,0.0394043,0.0154018,0.00359017,0.0530852,0.0606015,0,0,0,0,0,0,0,0,0,0,0.0194508,0,0,0,0,0,0,0
3,0.0545334,0.0401085,0,0,0,0,0.0291984,0,0,0.0196015,0,0,0.0595068,0.0601265,0.0358682,0.0583496,0.0355999,0.00566574,0,0.0170459,0,0.0206073,0.0132255,0.0406657,0.0466356,0.0152122,0.0225852,0.153945,0,0.0755666,0.0623867,0.0311014,0,0,0.0134721,0,0,0.013284,0.0772973,0.12128,0.0452259,0.0360707,0.0517647,0.0313854,0.0483766,0.0634523,0.0284135,0.0407678,0.0558226,0.0281819,0.0740925,0.364635,0.0394087,0.0154959,0.00437779,0.0525219,0.0611235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0542284,0.0395997,0,0,0,0,0.0367261,0,0,0.0203418,0,0,0.0599018,0.0572593,0.0300266,0.0573695,0.0360977,0.0417035,0,0.0214347,0,0.0166775,0.0126981,0.0432504,0.0457449,0.0158105,0.0234233,0.151614,0,0.0724767,0.0616718,0.0317431,0,0,0.0134398,0,0,0.0135891,0.0762708,0.116908,0.0463917,0.0341968,0.0528077,0.0329341,0.0467556,0.0619536,0.0269529,0.0412297,0.0550408,0.0284143,0.0744549,0.349677,0.0381307,0.0140814,0.00384749,0.0523014,0.0629442,0,0,0,0,0,0,0,0,0,0,0,0.0255294,0,0,0,0,0,0
5,0.0536481,0.03935,0,0,0,0,0.037575,0,0,0.0207194,0,0,0.060929,0.0522158,0.0195579,0.056113,0.0361912,0.0524232,0,0.019528,0,0.0325736,0.0256945,0.0419793,0.0450346,0.0148627,0.0226928,0.144913,0,0.0720876,0.0592663,0.0335858,0,0,0.0139587,0,0,0.0140803,0.0733077,0.111579,0.046334,0.0329714,0.0550928,0.0362022,0.0448452,0.0575532,0.0260325,0.0427465,0.0539483,0.0297003,0.0720473,0.342428,0.0355638,0.0119358,0.00551315,0.0511406,0.0660237,0,0,0,0,0,0,0,0,0,0,0.116359,0.0428701,0.0405116,0,0,0,0,0
6,0.0534965,0.0394518,0,0,0,0,0.0395814,0,0,0.0215226,0,0,0.0601598,0.0542269,0.0243018,0.0560203,0.0363859,0.0564452,0,0.0248831,0,0.0167665,0.0152517,0.0459536,0.0447445,0.0164573,0.0244191,0.146834,0,0.0665232,0.0619505,0.0328183,0,0,0.0133921,0,0,0.01438,0.0770878,0.1081,0.0464199,0.0313208,0.0528292,0.0345883,0.0442565,0.0596178,0.025997,0.0413668,0.0530924,0.0279801,0.0740353,0.317011,0.0367955,0.0128696,0.00352168,0.0517756,0.0642902,0,0,0,0,0,0,0,0,0,0,0,0.0250465,0.0336996,0,0,0,0,0
7,0.0535136,0.0398238,0,0,0,0,0.0421972,0,0,0.0203926,0,0,0.0604856,0.0513182,0.024697,0.0570612,0.0357151,0.0532445,0,0,0.0234096,0.0174997,0.0184123,0.0523508,0.0458273,0.0146525,0.022599,0.137643,0,0.0671493,0.0616999,0.0325973,0,0,0.0137622,0,0,0.0137791,0.0716871,0.100976,0.0434176,0.0310442,0.052221,0.0345162,0.0427608,0.055034,0.0258312,0.0419756,0.0513174,0.0288819,0.0692636,0.313024,0.0368297,0.0131061,0.00447555,0.0520364,0.0639574,0,0,0,0,0,0,0,0,0,0.0388107,0,0.0206649,0.028846,0,0,0,0,0
8,0.0534986,0.0398086,0,0,0,0,0.0408659,0,0,0.0207668,0,0,0.0601557,0.0514485,0.0257677,0.0572817,0.0358666,0.0546679,0,0.0240839,0.0259942,0.0190575,0.0187315,0.0508936,0.0454815,0.0157779,0.023937,0.133854,0,0.0654738,0.0616492,0.0326299,0,0,0.0138907,0,0,0.0138723,0.0705027,0.0968572,0.0423707,0.0304217,0.0516205,0.0346351,0.0410453,0.0531123,0.0262063,0.0424222,0.0504629,0.0287593,0.067734,0.297085,0.0367876,0.0129325,0.00393662,0.0518039,0.0636683,0,0,0,0,0,0,0,0,0,0.036577,0,0.0222301,0.0315113,0,0,0,0,0
